Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto Completo
sexo,N/A,No encontrado,No,No,"SEXO: criterios y sistemas que garanticen la ausencia de discriminación, tanto directa como indirecta, entre personas trabajadoras de uno y otro  [sexo] ."
discriminación,N/A,No encontrado,No,No,"
DISCRIMINACIÓN: en este apartado, los términos de su ejercicio, que se acomodarán a criterios y sistemas que garanticen la ausencia de  [discriminación] , tanto directa como indirecta, entre personas trabajadoras de uno y otro sexo."
empresario,empresario previa,Parcialmente encontrado,Sí,No,"
EMPRESARIO: horaria que se establece en este artículo. Mediante negociación colectiva o acuerdo de empresa o, en su defecto, decisión del  [empresario] previa consulta con los representantes legales de los trabajadores en la empresa, se organizará y documentará este registro de jornada."
derecho,N/A,No encontrado,No,No,"
DERECHO: jornada, para aquellos sectores, trabajos y categorías profesionales que por sus peculiaridades así lo requieran. 8. Las personas trabajadoras tienen  [derecho] a solicitar las adaptaciones de la duración y distribución de la jornada de trabajo, en la ordenación del tiempo de trabajo y en la forma de prestación, incluida la prestación de su trabajo a distancia, para hacer efectivo su derecho a la conciliación de la vida familiar y laboral."
derecho,N/A,No encontrado,No,No,"
DERECHO: de trabajo y en la forma de prestación, incluida la prestación de su trabajo a distancia, para hacer efectivo su  [derecho] a la conciliación de la vida familiar y laboral."
derecho,N/A,No encontrado,No,No,"
DERECHO: necesidades organizativas o productivas de la empresa. En el caso de que tengan hijos o hijas, las personas trabajadoras tienen  [derecho] a efectuar dicha solicitud hasta que los hijos o hijas cumplan doce años."
derecho,N/A,No encontrado,No,No,"
DERECHO: personas trabajadoras tienen derecho a efectuar dicha solicitud hasta que los hijos o hijas cumplan doce años. Asimismo, tendrán ese  [derecho] aquellas que tengan necesidades de cuidado respecto de los hijos e hijas mayores de doce años, el cónyuge o pareja de hecho, familiares por consanguinidad hasta el segundo grado de la persona trabajadora, así como de otras personas dependientes cuando, en este último caso, convivan en el mismo domicilio, y que por razones de edad, accidente o enfermedad no puedan valerse por sí mismos, debiendo justificar las circunstancias en las que fundamenta su petición."
derecho,N/A,No encontrado,No,No,"
DERECHO: se deniegue la petición, se motivarán las razones objetivas en las que se sustenta la decisión. La persona trabajadora tendrá  [derecho] a regresar a la situación anterior a la adaptación una vez concluido el período acordado o previsto o cuando decaigan las causas que motivaron la solicitud."
derecho,N/A,No encontrado,No,No,"
DERECHO: Lo dispuesto en los párrafos anteriores se entiende, en todo caso, sin perjuicio de los permisos a los que tenga  [derecho] la persona trabajadora de acuerdo con lo establecido en el artículo 37 y 48 bis."
accidente,N/A,No encontrado,No,No,"
ACCIDENTE: de otras personas dependientes cuando, en este último caso, convivan en el mismo domicilio, y que por razones de edad,  [accidente] o enfermedad no puedan valerse por sí mismos, debiendo justificar las circunstancias en las que fundamenta su petición."
centro de trabajo,N/A,No encontrado,No,No,"
CENTRO DE TRABAJO: se elaborará por la empresa el calendario laboral, debiendo exponerse un ejemplar del mismo en un lugar visible de cada  [centro de trabajo] ."
jornada,N/A,No encontrado,No,No,"
JORNADA: Artículo 34.  [jornada] ."
jornada,N/A,No encontrado,No,No,"
JORNADA: Artículo 34. Jornada. 1. La duración de la  [jornada] de trabajo será la pactada en los convenios colectivos o contratos de trabajo."
jornada,N/A,No encontrado,No,No,"
JORNADA: la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo. La duración máxima de la  [jornada] ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual."
jornada,N/A,No encontrado,No,No,"
JORNADA: defecto, por acuerdo entre la empresa y los representantes de los trabajadores, se podrá establecer la distribución irregular de la  [jornada] a lo largo del año."
jornada,N/A,No encontrado,No,No,"
JORNADA: de pacto, la empresa podrá distribuir de manera irregular a lo largo del año el diez por ciento de la  [jornada] de trabajo."
jornada,jornada realizada,No encontrado,No,No,"
JORNADA: de la prestación de trabajo resultante de aquella. La compensación de las diferencias, por exceso o por defecto, entre la  [jornada] realizada y la duración máxima de  la jornada ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre la empresa y los representantes de los trabajadores."
jornada,jornada realizada,No encontrado,No,No,"
JORNADA: La compensación de las diferencias, por exceso o por defecto, entre la jornada realizada y la duración máxima de la  [jornada] ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre la empresa y los representantes de los trabajadores."
jornada,N/A,No encontrado,No,No,"
JORNADA: empresa y los representantes de los trabajadores. En defecto de pacto, las diferencias derivadas de la distribución irregular de la  [jornada] deberán quedar compensadas en el plazo de doce meses desde que se produzcan."
jornada,N/A,No encontrado,No,No,"
JORNADA: jornada deberán quedar compensadas en el plazo de doce meses desde que se produzcan. 3. Entre el final de una  [jornada] y el comienzo de la siguiente mediarán, como mínimo, doce horas."
jornada,jornada diaria,No encontrado,No,No,"
JORNADA: si trabajasen para varios empleadores, las horas realizadas con cada uno de ellos. 4. Siempre que la duración de la  [jornada] diaria continuada exceda de seis horas, deberá establecerse un periodo de descanso durante la misma de duración no inferior a quince minutos."
jornada,jornada diaria,No encontrado,No,No,"
JORNADA: el periodo de descanso tendrá una duración mínima de treinta minutos, y deberá establecerse siempre que la duración de la  [jornada] diaria continuada exceda de cuatro horas y media."
jornada,jornada diaria,No encontrado,No,No,"
JORNADA: y media. 5. El tiempo de trabajo se computará de modo que tanto al comienzo como al final de la  [jornada] diaria el trabajador se encuentre en su puesto de trabajo."
