Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
duración máximo de el jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,de trabajo será la pactada en los convenios colectivos o contratos de trabajo. La duración máxima de la jornada ordinaria duración máximo de el jornada duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
jornada ordinario de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,pactada en los convenios colectivos o contratos de trabajo. La duración máxima de la jornada ordinaria de trabajo será de jornada ordinario de  trabajo duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
hora semanal de  trabajo,Encontrado en glosario,Sí,No,Sí,Sí,No,de trabajo. La duración máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de hora semanal de  trabajo
trabajo efectivo de  promedio,Encontrado en glosario,Sí,No,No,Sí,No,duración máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo trabajo efectivo de  promedio duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
distribución irregular de el jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,"representantes de los trabajadores, se podrá establecer la distribución irregular de la jornada a lo largo del año. En defecto distribución irregular de el jornada n de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo"
jornada ordinario de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al jornada ordinario de  trabajo duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo"
diferencia derivado de el distribución,Parcialmente encontrado,No,Sí,Sí,No,No,irregular de la jornada deberán quedar compensadas en el plazo de doce meses desde que se produzcan. 3. Entre el diferencia derivado de el distribución de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
distribución irregular de el jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,deberán quedar compensadas en el plazo de doce meses desde que se produzcan. 3. Entre el final de una jornada distribución irregular de el jornada n de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
hora diaria de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"varios empleadores, las horas realizadas con cada uno de ellos. 4. Siempre que la duración de la jornada diaria continuada hora diaria de  trabajo 1"
tiempo dedicado a el formación,Encontrado en glosario,Sí,No,Sí,Sí,No,"la duración de la jornada diaria continuada exceda de seis horas, deberá establecerse un periodo de descanso durante la misma tiempo dedicado a el formación uración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo"
hora realizado con cada uno,Encontrado en glosario,Sí,No,No,Sí,No,periodo de descanso durante la misma de duración no inferior a quince minutos. Este periodo de descanso se considerará tiempo hora realizado con cada uno a duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
lugar visible de cada centro,Encontrado en glosario,Sí,No,Sí,Sí,No,"en la ordenación y duración de la jornada de trabajo y de los descansos, así como especialidades en las obligaciones lugar visible de cada centro de trabajo"
razón objetiva en el que,Encontrado en glosario,Sí,Sí,No,Sí,No,de acuerdo con lo establecido en el artículo 37 y 48 bis. Las discrepancias surgidas entre la dirección de la razón objetiva en el que
situación anterior a el adaptación,Parcialmente encontrado,No,No,Sí,No,No,"empresa y la persona trabajadora serán resueltas por la jurisdicción social, a través del procedimiento establecido en el artículo 139 situación anterior a el adaptación ión de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo"
persona trabajador de  acuerdo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"defecto, decisión del empresario previa consulta con los representantes legales de los trabajadores en la empresa, se organizará y documentará persona trabajador de  acuerdo uración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo"
procedimiento establecido en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,"permanecerán a disposición de las personas trabajadoras, de sus representantes legales y de la Inspección de Trabajo y Seguridad Social. procedimiento establecido en el artículo 139 de la Ley 36/2011, de 10 de octubre, reguladora de la jurisdicción social"
registro diario de  jornada,Encontrado en glosario,Sí,Sí,Sí,Sí,No,registro diario de  jornada a duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
horario concreto de  inicio,Encontrado en glosario,Sí,No,No,Sí,No,horario concreto de  inicio a duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representante legal de el trabajador n de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo
