Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
actividad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,artículo . dirección y control de la actividad laboral . el trabajador estará obligado a realizar el trabajo convenido bajo la dirección del empresario
trabajo convenido,Parcialmente encontrado,No,Sí,No,No,artículo . dirección y control de la actividad laboral. . el trabajador estará obligado a realizar el trabajo trabajo convenido la dirección del empresario o persona en quien este delegue. . en el cumplimiento de
disposiciones legales,Parcialmente encontrado,No,Sí,Sí,No,"contrato, el trabajador debe al empresario la diligencia y la colaboración en el trabajo que marquen las disposiciones legales, los disposiciones legales y las órdenes o instrucciones adoptadas por aquel en el ejercicio regular de sus facultades"
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,"al empresario la diligencia y la colaboración en el trabajo que marquen las disposiciones legales, los convenios colectivos y las convenios colectivos instrucciones adoptadas por aquel en el ejercicio regular de sus facultades de dirección y, en"
instrucciones adoptadas,Parcialmente encontrado,No,Sí,Sí,No,"colaboración en el trabajo que marquen las disposiciones legales, los convenios colectivos y las órdenes o instrucciones adoptadas por aquel instrucciones adoptadas ejercicio regular de sus facultades de dirección y, en su defecto, por los usos y"
ejercicio regular,Parcialmente encontrado,No,Sí,No,No,"las disposiciones legales, los convenios colectivos y las órdenes o instrucciones adoptadas por aquel en el ejercicio regular de sus ejercicio regular dirección y, en su defecto, por los usos y costumbres. en cualquier caso, el trabajador"
prestaciones recíprocas,Parcialmente encontrado,No,Sí,No,No,"en cualquier caso, el trabajador y el empresario se someterán en sus prestaciones recíprocas a las exigencias de la buena prestaciones recíprocas el empresario podrá adoptar las medidas que estime más oportunas de vigilancia y control para"
deberes laborales,Parcialmente encontrado,No,Sí,Sí,Sí,"para verificar el cumplimiento por el trabajador de sus obligaciones y deberes laborales, guardando en su adopción y aplicación la deberes laborales a su dignidad y teniendo en cuenta, en su caso, la capacidad real de los"
consideración debida,No encontrado,No,No,No,No,"y deberes laborales, guardando en su adopción y aplicación la consideración debida a su dignidad y teniendo en cuenta, en consideración debida la capacidad real de los trabajadores con discapacidad. . el empresario podrá verificar el estado"
capacidad real,Parcialmente encontrado,No,Sí,Sí,No,"y teniendo en cuenta, en su caso, la capacidad real de los trabajadores con discapacidad. . el empresario podrá verificar capacidad real de salud del trabajador que sea alegado por este para justificar sus faltas de asistencia"
personal médico,No encontrado,No,No,No,No,"trabajo, mediante reconocimiento a cargo de personal médico. la negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de personal médico económicos que pudieran existir a cargo del empresario por dichas situaciones. artículo bis. derechos de"
derechos económicos,Parcialmente encontrado,No,Sí,Sí,Sí,determinar la suspensión de los derechos económicos que pudieran existir a cargo del empresario por dichas situaciones. artículo bis. derechos derechos económicos trabajadores a la intimidad en relación con el entorno digital y a la desconexión. los
entorno digital,No encontrado,No,No,No,No,"relación con el entorno digital y a la desconexión. los trabajadores tienen derecho a la intimidad en el uso de entorno digital digitales puestos a su disposición por el empleador, a la desconexión digital y a la"
dispositivos digitales,No encontrado,No,No,No,No,"de los dispositivos digitales puestos a su disposición por el empleador, a la desconexión digital y a la intimidad frente dispositivos digitales de dispositivos de videovigilancia y geolocalización en los términos establecidos en la legislación vigente en"
desconexión digital,No encontrado,No,No,No,No,la desconexión digital y a la intimidad frente al uso de dispositivos de videovigilancia y geolocalización en los términos establecidos desconexión digital legislación vigente en materia de protección de datos personales y garantía de los derechos digitales.
términos establecidos,Parcialmente encontrado,No,Sí,No,No,los términos establecidos en la legislación vigente en materia de protección de datos personales y garantía de los derechos digitales. términos establecidos
legislación vigente,Parcialmente encontrado,No,Sí,Sí,No,la legislación vigente en materia de protección de datos personales y garantía de los derechos digitales. legislación vigente
datos personales,Encontrado en glosario,Sí,No,Sí,Sí,de datos personales y garantía de los derechos digitales. datos personales
derechos digitales,Parcialmente encontrado,No,Sí,No,No,los derechos digitales. derechos digitales
