Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
dirección del empresario,dirección,del,empresario,dirección,empresario,dirección del empresario,No,No,Sí,Sí,No,Parcialmente encontrado,"El trabajador estará obligado a realizar el trabajo convenido bajo la dirección del empresario o dirección del empresario este delegue. 2. En el cumplimiento de la obligación de trabajar asumida en el contrato,"
facultades de dirección,facultades,de,dirección,facultad,dirección,facultad de dirección,No,Sí,No,No,Sí,Parcialmente encontrado,"aquel en el ejercicio regular de sus facultades de dirección y, en su defecto, por facultades de dirección costumbres. En cualquier caso, el trabajador y el empresario se someterán en sus prestaciones recíprocas"
oportunas de vigilancia,oportunas,de,vigilancia,oportunas,vigilancia,oportunas de vigilancia,No,No,Sí,No,No,Parcialmente encontrado,oportunas de vigilancia y control para verificar el cumplimiento por el trabajador de sus obligaciones oportunas de vigilancia guardando en su adopción y aplicación la consideración debida a su dignidad y teniendo en
trabajadores con discapacidad,trabajadores,con,discapacidad,trabajador,discapacidad,trabajador con discapacidad,No,Sí,No,No,No,Parcialmente encontrado,"4. El empresario podrá verificar el estado de salud del trabajador que sea alegado por trabajadores con discapacidad sus faltas de asistencia al trabajo, mediante reconocimiento a cargo de personal médico. La negativa"
estado de salud,estado,de,salud,estado,salud,estado de salud,No,Sí,No,No,No,Parcialmente encontrado,"sea alegado por este para justificar sus faltas de asistencia al trabajo, mediante reconocimiento a estado de salud médico. La negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos"
salud del trabajador,salud,del,trabajador,salud,trabajador,salud del trabajador,No,No,Sí,No,No,Parcialmente encontrado,"por este para justificar sus faltas de asistencia al trabajo, mediante reconocimiento a cargo de salud del trabajador negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos económicos que"
faltas de asistencia,faltas,de,asistencia,falta,asistencia,falta de asistencia,No,Sí,No,No,No,Parcialmente encontrado,reconocimiento a cargo de personal médico. La negativa del trabajador a dichos reconocimientos podrá determinar faltas de asistencia los derechos económicos que pudieran existir a cargo del empresario por dichas situaciones. Artículo 20
asistencia al trabajo,asistencia,al,trabajo,asistencia,trabajo,asistencia al trabajo,No,No,Sí,No,No,Parcialmente encontrado,cargo de personal médico. La negativa del trabajador a dichos reconocimientos podrá determinar la suspensión asistencia al trabajo económicos que pudieran existir a cargo del empresario por dichas situaciones. Artículo 20 bis. Derechos
reconocimiento a cargo,reconocimiento,a,cargo,reconocimiento,cargo,reconocimiento a cargo,No,Sí,Sí,Sí,No,Parcialmente encontrado,negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos económicos que reconocimiento a cargo cargo del empresario por dichas situaciones. Artículo 20 bis. Derechos de los trabajadores a la
cargo de personal,cargo,de,personal,cargo,personal,cargo de personal,No,Sí,No,No,No,Parcialmente encontrado,trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos económicos que pudieran existir cargo de personal empresario por dichas situaciones. Artículo 20 bis. Derechos de los trabajadores a la intimidad en
negativa del trabajador,negativa,del,trabajador,negativa,trabajador,negativa del trabajador,No,No,Sí,No,No,Parcialmente encontrado,la suspensión de los derechos económicos que pudieran existir a cargo del empresario por dichas negativa del trabajador bis. Derechos de los trabajadores a la intimidad en relación con el entorno digital y
intimidad en relación,intimidad,en,relación,intimidad,relación,intimidad en relación,No,No,No,No,Sí,No encontrado,"Los trabajadores tienen derecho a la intimidad en el uso de los dispositivos digitales puestos intimidad en relación por el empleador, a la desconexión digital y a la intimidad frente al uso de"
uso de dispositivos,uso,de,dispositivos,uso,dispositivos,uso de dispositivos,No,Sí,No,No,No,Parcialmente encontrado,vigente en materia de protección de datos personales y garantía de los derechos digitales. uso de dispositivos
dispositivos de videovigilancia,dispositivos,de,videovigilancia,dispositivo,videovigilancia,dispositivo de videovigilancia,No,No,No,No,No,No encontrado,materia de protección de datos personales y garantía de los derechos digitales. dispositivos de videovigilancia
materia de protección,materia,de,protección,materia,protección,materia de protección,No,Sí,No,No,Sí,Parcialmente encontrado,materia de protección
protección de datos,protección,de,datos,protección,datos,protección de datos,Sí,No,No,Sí,No,Encontrado en glosario,protección de datos
