Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
contrato formativo,Parcialmente encontrado,No,Sí,No,No,artículo . contrato formativo . el contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido
contrato formativo,Parcialmente encontrado,No,Sí,No,No,artículo . contrato formativo. . el contrato contrato formativo por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los
trabajo retribuido,Parcialmente encontrado,No,Sí,No,No,"artículo . contrato formativo. . el contrato formativo tendrá por objeto la formación en alternancia con el trabajo trabajo retribuido cuenta ajena en los términos establecidos en el apartado , o el desempeño de una"
términos establecidos,Parcialmente encontrado,No,Sí,No,No,"el contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos términos establecidos el apartado , o el desempeño de una actividad laboral destinada a adquirir una práctica"
actividad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado , o el desempeño de una actividad actividad laboral a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos"
práctica profesional,Parcialmente encontrado,No,No,Sí,Sí,"en los términos establecidos en el apartado , o el desempeño de una actividad laboral destinada a adquirir una práctica práctica profesional a los correspondientes niveles de estudios, en los términos establecidos en el apartado . ."
términos establecidos,Parcialmente encontrado,No,Sí,No,No,"una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos términos establecidos apartado . . el contrato de formación en alternancia, que tendrá por objeto compatibilizar la"
actividad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"en el apartado . . el contrato de formación en alternancia, que tendrá por objeto compatibilizar la actividad laboral retribuida actividad laboral correspondientes procesos formativos en el ámbito de la formación profesional, los estudios universitarios o del"
procesos formativos,Parcialmente encontrado,No,Sí,No,No,"contrato de formación en alternancia, que tendrá por objeto compatibilizar la actividad laboral retribuida con los correspondientes procesos formativos en procesos formativos de la formación profesional, los estudios universitarios o del catálogo de especialidades formativas del sistema"
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"por objeto compatibilizar la actividad laboral retribuida con los correspondientes procesos formativos en el ámbito de la formación profesional, los formación profesional o del catálogo de especialidades formativas del sistema nacional de empleo, se realizará de acuerdo"
estudios universitarios,No encontrado,No,No,No,No,"actividad laboral retribuida con los correspondientes procesos formativos en el ámbito de la formación profesional, los estudios universitarios o del estudios universitarios especialidades formativas del sistema nacional de empleo, se realizará de acuerdo con las siguientes reglas:"
