Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
protección eficaz,No encontrado,No,No,No,No,"salud en el trabajo. . el trabajador, en la prestación de sus servicios, tendrá derecho a una protección eficaz en protección eficaz seguridad y salud en el trabajo. . el trabajador está obligado a observar en su"
medidas legales,Parcialmente encontrado,No,No,Sí,No,y salud en el trabajo. . el trabajador está obligado a observar en su trabajo las medidas legales y reglamentarias medidas legales y salud en el trabajo. . en la inspección y control de dichas medidas que
observancia obligada,Parcialmente encontrado,No,Sí,No,No,"en el trabajo. . en la inspección y control de dichas medidas que sean de observancia obligada por el empresario, observancia obligada tiene derecho a participar por medio de sus representantes legales en el centro de trabajo,"
representantes legales,Parcialmente encontrado,No,Sí,Sí,No,"obligada por el empresario, el trabajador tiene derecho a participar por medio de sus representantes legales en el centro de representantes legales no se cuenta con órganos o centros especializados competentes en la materia a tenor de"
centros especializados,No encontrado,No,No,No,No,"legales en el centro de trabajo, si no se cuenta con órganos o centros especializados competentes en la materia a centros especializados la legislación vigente. . el empresario está obligado a garantizar que cada trabajador reciba una"
legislación vigente,Parcialmente encontrado,No,Sí,Sí,No,"con órganos o centros especializados competentes en la materia a tenor de la legislación vigente. . el empresario está obligado legislación vigente que cada trabajador reciba una formación teórica y práctica, suficiente y adecuada, en materia preventiva"
formación teórica,Parcialmente encontrado,No,No,Sí,No,". el empresario está obligado a garantizar que cada trabajador reciba una formación teórica y práctica, suficiente y adecuada, en formación teórica tanto en el momento de su contratación, cualquiera que sea la modalidad o duración de"
materia preventiva,Parcialmente encontrado,No,Sí,No,No,"reciba una formación teórica y práctica, suficiente y adecuada, en materia preventiva tanto en el momento de su contratación, cualquiera materia preventiva la modalidad o duración de esta, como cuando se produzcan cambios en las funciones que"
términos señalados,Parcialmente encontrado,No,Sí,No,No,"las prácticas. todo ello en los términos señalados en la ley /, de de noviembre, de prevención de riesgos laborales, términos señalados sus normas de desarrollo, en cuanto les sean de aplicación. . los delegados de prevención"
riesgos laborales,Encontrado en glosario,Sí,Sí,Sí,Sí,"noviembre, de prevención de riesgos laborales, y en sus normas de desarrollo, en cuanto les sean de aplicación. . los riesgos laborales prevención y, en su defecto, los representantes legales de los trabajadores en el centro de"
representantes legales,Parcialmente encontrado,No,Sí,Sí,No,"legales de los trabajadores en el centro de trabajo, que aprecien una probabilidad seria y grave de accidente por la representantes legales la legislación aplicable en la materia, requerirán al empresario por escrito para que adopte las"
probabilidad seria,Parcialmente encontrado,No,Sí,No,No,"y grave de accidente por la inobservancia de la legislación aplicable en la materia, requerirán al empresario por escrito para probabilidad seria las medidas oportunas que hagan desaparecer el estado de riesgo; si la petición no fuese"
legislación aplicable,Parcialmente encontrado,No,Sí,No,No,"en la materia, requerirán al empresario por escrito para que adopte las medidas oportunas que hagan desaparecer el estado de legislación aplicable la petición no fuese atendida en un plazo de cuatro días, se dirigirán a la"
medidas oportunas,No encontrado,No,No,No,No,"hagan desaparecer el estado de riesgo; si la petición no fuese atendida en un plazo de cuatro días, se dirigirán medidas oportunas autoridad competente; esta, si apreciase las circunstancias alegadas, mediante resolución fundada, requerirá al empresario para"
autoridad competente,Parcialmente encontrado,No,Sí,No,No,"las circunstancias alegadas, mediante resolución fundada, requerirá al empresario para que adopte las medidas de seguridad apropiadas o que suspenda autoridad competente en la zona o local de trabajo o con el material en peligro. también podrá"
circunstancias alegadas,Parcialmente encontrado,No,Sí,No,No,"empresario para que adopte las medidas de seguridad apropiadas o que suspenda sus actividades en la zona o local de circunstancias alegadas con el material en peligro. también podrá ordenar, con los informes técnicos precisos, la paralización"
resolución fundada,Parcialmente encontrado,No,Sí,No,No,"las medidas de seguridad apropiadas o que suspenda sus actividades en la zona o local de trabajo o con el resolución fundada peligro. también podrá ordenar, con los informes técnicos precisos, la paralización inmediata del trabajo si"
seguridad apropiadas,Parcialmente encontrado,No,Sí,No,No,"zona o local de trabajo o con el material en peligro. también podrá ordenar, con los informes técnicos precisos, la seguridad apropiadas del trabajo si se estima un riesgo grave de accidente. si el riesgo de accidente"
informes técnicos,Parcialmente encontrado,No,Sí,Sí,No,"un riesgo grave de accidente. si el riesgo de accidente fuera inminente, la paralización de las actividades podrá ser acordada informes técnicos representantes de los trabajadores, por mayoría de sus miembros. tal acuerdo podrá ser adoptado por"
paralización inmediata,No encontrado,No,No,No,No,"si el riesgo de accidente fuera inminente, la paralización de las actividades podrá ser acordada por los representantes de los paralización inmediata mayoría de sus miembros. tal acuerdo podrá ser adoptado por decisión mayoritaria de los delegados"
riesgo grave,Parcialmente encontrado,No,Sí,No,No,"paralización de las actividades podrá ser acordada por los representantes de los trabajadores, por mayoría de sus miembros. tal acuerdo riesgo grave adoptado por decisión mayoritaria de los delegados de prevención cuando no resulte posible reunir con"
decisión mayoritaria,Parcialmente encontrado,No,Sí,No,No,"al órgano de representación del personal. el acuerdo será comunicado de inmediato a la empresa y a la autoridad laboral, decisión mayoritaria en veinticuatro horas, anulará o ratificará la paralización acordada."
urgencia requerida,Parcialmente encontrado,No,Sí,No,No,"empresa y a la autoridad laboral, la cual, en veinticuatro horas, anulará o ratificará la paralización acordada. urgencia requerida"
autoridad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,autoridad laboral
paralización acordada,No encontrado,No,No,No,No,paralización acordada
