Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
protección eficaz en  materia,Encontrado en glosario,Sí,No,Sí,Sí,No,"trabajo. 1. El trabajador, en la prestación de sus servicios, tendrá derecho a una protección eficaz en materia de seguridad protección eficaz en  materia ud en el trabajo"
observanciar obligado por el empresario,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"y control de dichas medidas que sean de observancia obligada por el empresario, el trabajador tiene derecho a participar por observanciar obligado por el empresario rabajo"
representante legal en el centro,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"derecho a participar por medio de sus representantes legales en el centro de trabajo, si no se cuenta con órganos representante legal en el centro en el trabajo"
término señalado en el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo, en cuanto les término señalado en el ley salud en el trabajo"
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"probabilidad seria y grave de accidente por la inobservancia de la legislación aplicable en la materia, requerirán al empresario por representante legal de el trabajador l trabajo"
legislación aplicable en el materia,Encontrado en glosario,Sí,No,Sí,Sí,No,medidas oportunas que hagan desaparecer el estado de riesgo; si la petición no fuese atendida en un plazo de cuatro legislación aplicable en el materia el trabajo
paralización inmediato del  trabajo,Parcialmente encontrado,No,No,Sí,No,No,"podrá ser acordada por los representantes de los trabajadores, por mayoría de sus miembros. Tal acuerdo podrá ser adoptado por paralización inmediato del  trabajo el trabajo"
riesgo grave de  accidente,Encontrado en glosario,Sí,No,Sí,Sí,No,"trabajadores, por mayoría de sus miembros. Tal acuerdo podrá ser adoptado por decisión mayoritaria de los delegados de prevención cuando riesgo grave de  accidente salud en el trabajo"
decisión mayoritario de el delegado,Encontrado en glosario,Sí,No,Sí,Sí,No,"la empresa y a la autoridad laboral, la cual, en veinticuatro horas, anulará o ratificará la paralización acordada. decisión mayoritario de el delegado el trabajo"
urgencia requerido al  órgano,Encontrado en glosario,Sí,No,Sí,Sí,No,ratificará la paralización acordada. urgencia requerido al  órgano ud en el trabajo
