Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
materia de seguridad,materia,de,seguridad,materia,seguridad,materia de seguridad,No,Sí,Sí,No,No,Parcialmente encontrado,"sus servicios, tendrá derecho a una protección eficaz en materia de seguridad y salud en materia de seguridad El trabajador está obligado a observar en su trabajo las medidas legales y reglamentarias de"
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"en el centro de trabajo, si no se cuenta con órganos o centros especializados competentes centro de trabajo a tenor de la legislación vigente. 4. El empresario está obligado a garantizar que cada"
materia a tenor,materia,a,tenor,materia,tenor,materia a tenor,No,Sí,No,No,No,Parcialmente encontrado,"materia a tenor de la legislación vigente. 4. El empresario está obligado a garantizar que materia a tenor una formación teórica y práctica, suficiente y adecuada, en materia preventiva tanto en el momento"
equipos de trabajo,equipos,de,trabajo,equipos,trabajo,equipos de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"a seguir la formación y a realizar las prácticas. Todo ello en los términos señalados equipos de trabajo 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de"
normas de desarrollo,normas,de,desarrollo,normas,desarrollo,normas de desarrollo,No,No,Sí,No,No,Parcialmente encontrado,"de prevención y, en su defecto, los representantes legales de los trabajadores en el centro normas de desarrollo aprecien una probabilidad seria y grave de accidente por la inobservancia de la legislación aplicable"
delegados de prevención,delegados,de,prevención,delegado,prevención,delegado de prevención,Sí,No,No,No,Sí,Encontrado en glosario,"de trabajo, que aprecien una probabilidad seria y grave de accidente por la inobservancia de delegados de prevención en la materia, requerirán al empresario por escrito para que adopte las medidas oportunas que"
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"aplicable en la materia, requerirán al empresario por escrito para que adopte las medidas oportunas centro de trabajo el estado de riesgo; si la petición no fuese atendida en un plazo de cuatro"
empresario por escrito,empresario,por,escrito,empresario,escrito,empresario por escrito,No,Sí,No,No,No,Parcialmente encontrado,"fuese atendida en un plazo de cuatro días, se dirigirán a la autoridad competente; esta, empresario por escrito circunstancias alegadas, mediante resolución fundada, requerirá al empresario para que adopte las medidas de seguridad"
estado de riesgo,estado,de,riesgo,estado,riesgo,estado de riesgo,No,Sí,Sí,No,No,Parcialmente encontrado,"competente; esta, si apreciase las circunstancias alegadas, mediante resolución fundada, requerirá al empresario para que estado de riesgo de seguridad apropiadas o que suspenda sus actividades en la zona o local de trabajo"
medidas de seguridad,medidas,de,seguridad,medidas,seguridad,medidas de seguridad,No,No,Sí,No,No,Parcialmente encontrado,"los informes técnicos precisos, la paralización inmediata del trabajo si se estima un riesgo grave medidas de seguridad el riesgo de accidente fuera inminente, la paralización de las actividades podrá ser acordada por"
material en peligro,material,en,peligro,material,peligro,material en peligro,No,No,No,No,No,No encontrado,"riesgo de accidente fuera inminente, la paralización de las actividades podrá ser acordada por los material en peligro trabajadores, por mayoría de sus miembros. Tal acuerdo podrá ser adoptado por decisión mayoritaria de"
riesgo de accidente,riesgo,de,accidente,riesgo,accidente,riesgo de accidente,No,Sí,No,No,No,Parcialmente encontrado,mayoritaria de los delegados de prevención cuando no resulte posible reunir con la urgencia requerida riesgo de accidente representación del personal. El acuerdo será comunicado de inmediato a la empresa y a la
delegados de prevención,delegados,de,prevención,delegado,prevención,delegado de prevención,Sí,No,No,No,Sí,Encontrado en glosario,"en veinticuatro horas, anulará o ratificará la paralización acordada. delegados de prevención"
órgano de representación,órgano,de,representación,órgano,representación,órgano de representación,No,Sí,Sí,No,Sí,Parcialmente encontrado,órgano de representación
representación del personal,representación,del,personal,representación,personal,representación del personal,No,Sí,No,Sí,No,Parcialmente encontrado,representación del personal
