Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
derechos laborales,Encontrado en glosario,Sí,Sí,Sí,Sí,"artículo . derechos laborales . los trabajadores tienen como derechos básicos, con el contenido y alcance que para cada"
derechos básicos,Parcialmente encontrado,No,Sí,No,No,"artículo . derechos laborales. . los trabajadores tienen como derechos derechos básicos el contenido y alcance que para cada uno de los mismos disponga su específica normativa,"
específica normativa,Parcialmente encontrado,No,No,Sí,No,"tienen como derechos básicos, con el contenido y alcance que para cada uno de los mismos disponga su específica normativa, específica normativa a trabajo y libre elección de profesión u oficio. b libre sindicación. c negociación colectiva."
negociación colectiva,Encontrado en glosario,Sí,Sí,Sí,Sí,"de: a trabajo y libre elección de profesión u oficio. b libre sindicación. c negociación colectiva. d adopción de medidas negociación colectiva colectivo. e huelga. f reunión. g información, consulta y participación en la empresa. . en"
conflicto colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"u oficio. b libre sindicación. c negociación colectiva. d adopción de medidas de conflicto colectivo. e huelga. f reunión. g conflicto colectivo y participación en la empresa. . en la relación de trabajo, los trabajadores tienen derecho:"
ocupación efectiva,Parcialmente encontrado,No,Sí,No,No,"trabajadores tienen derecho: a a la ocupación efectiva. b a la promoción y formación profesional en el trabajo, incluida la ocupación efectiva su adaptación a las modificaciones operadas en el puesto de trabajo, así como al desarrollo"
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"b a la promoción y formación profesional en el trabajo, incluida la dirigida a su adaptación a las modificaciones operadas formación profesional puesto de trabajo, así como al desarrollo de planes y acciones formativas tendentes a favorecer"
modificaciones operadas,No encontrado,No,No,No,No,"su adaptación a las modificaciones operadas en el puesto de trabajo, así como al desarrollo de planes y acciones formativas modificaciones operadas favorecer su mayor empleabilidad. c a no ser discriminadas directa o indirectamente para el empleo"
acciones formativas,Parcialmente encontrado,No,Sí,No,No,"de planes y acciones formativas tendentes a favorecer su mayor empleabilidad. c a no ser discriminadas directa o indirectamente para acciones formativas o, una vez empleados, por razones de estado civil, edad dentro de los límites marcados"
estado civil,Encontrado en glosario,Sí,Sí,Sí,Sí,"estado civil, edad dentro de los límites marcados por esta ley, origen racial o étnico, condición social, religión o convicciones, estado civil orientación sexual, identidad sexual, expresión de género, características sexuales, afiliación o no a un sindicato,"
