Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
elección de profesión,elección,de,profesión,elección,profesión,elección de profesión,No,Sí,No,Sí,Sí,Parcialmente encontrado,"los de: a) Trabajo y libre elección de profesión u oficio. b) Libre sindicación. c) elección de profesión Adopción de medidas de conflicto colectivo. e) Huelga. f) Reunión. g) Información, consulta y participación"
medidas de conflicto,medidas,de,conflicto,medidas,conflicto,medidas de conflicto,No,No,Sí,No,No,Parcialmente encontrado,"colectivo. e) Huelga. f) Reunión. g) Información, consulta y participación en la empresa. 2. En medidas de conflicto trabajo, los trabajadores tienen derecho: a) A la ocupación efectiva. b) A la promoción y"
relación de trabajo,relación,de,trabajo,relación,trabajo,relación de trabajo,No,No,Sí,Sí,No,Parcialmente encontrado,"y formación profesional en el trabajo, incluida la dirigida a su adaptación a las modificaciones relación de trabajo puesto de trabajo, así como al desarrollo de planes y acciones formativas tendentes a favorecer"
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"o indirectamente para el empleo o, una vez empleados, por razones de estado civil, edad puesto de trabajo límites marcados por esta ley, origen racial o étnico, condición social, religión o convicciones, ideas"
desarrollo de planes,desarrollo,de,planes,desarrollo,planes,desarrollo de planes,No,Sí,No,No,No,Parcialmente encontrado,"vez empleados, por razones de estado civil, edad dentro de los límites marcados por esta desarrollo de planes o étnico, condición social, religión o convicciones, ideas políticas, orientación sexual, identidad sexual, expresión de"
razones de estado,razones,de,estado,razones,estado,razones de estado,No,No,Sí,No,No,Parcialmente encontrado,"género, características sexuales, afiliación o no a un sindicato, por razón de lengua dentro del razones de estado así como por razón de sexo, incluido el trato desfavorable dispensado a mujeres u hombres"
expresión de género,expresión,de,género,expresión,género,expresión de género,No,No,Sí,Sí,No,Parcialmente encontrado,de los derechos de conciliación o corresponsabilidad de la vida familiar y laboral. d) A expresión de género y a una adecuada política de prevención de riesgos laborales. e) Al respeto de su
razón de lengua,razón,de,lengua,razón,lengua,razón de lengua,No,Sí,No,Sí,No,Parcialmente encontrado,"su integridad física y a una adecuada política de prevención de riesgos laborales. e) Al razón de lengua intimidad y a la consideración debida a su dignidad, comprendida la protección frente al acoso"
razón de sexo,razón,de,sexo,razón,sexo,razón de sexo,No,Sí,No,Sí,No,Parcialmente encontrado,"e) Al respeto de su intimidad y a la consideración debida a su dignidad, comprendida razón de sexo al acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad u"
derechos de conciliación,derechos,de,conciliación,derechos,conciliación,derechos de conciliación,No,No,Sí,No,Sí,Parcialmente encontrado,"al acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad u derechos de conciliación frente al acoso sexual y al acoso por razón de sexo. f) A la percepción"
política de prevención,política,de,prevención,política,prevención,política de prevención,No,Sí,No,No,Sí,Parcialmente encontrado,al acoso por razón de sexo. f) A la percepción puntual de la remuneración pactada política de prevención g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo. h) A
prevención de riesgos,prevención,de,riesgos,prevención,riesgo,prevención de riesgo,No,No,Sí,Sí,No,Parcialmente encontrado,por razón de sexo. f) A la percepción puntual de la remuneración pactada o legalmente prevención de riesgos ejercicio individual de las acciones derivadas de su contrato de trabajo. h) A cuantos otros
acoso por razón,acoso,por,razón,acoso,razón,acoso por razón,No,No,Sí,No,Sí,Parcialmente encontrado,de trabajo. h) A cuantos otros se deriven específicamente del contrato de trabajo. acoso por razón
razón de origen,razón,de,origen,razón,origen,razón de origen,No,Sí,No,Sí,No,Parcialmente encontrado,h) A cuantos otros se deriven específicamente del contrato de trabajo. razón de origen
acoso por razón,acoso,por,razón,acoso,razón,acoso por razón,No,No,Sí,No,Sí,Parcialmente encontrado,acoso por razón
razón de sexo,razón,de,sexo,razón,sexo,razón de sexo,No,Sí,No,Sí,No,Parcialmente encontrado,razón de sexo
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,contrato de trabajo
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,contrato de trabajo
