Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
prestación laboral,Parcialmente encontrado,No,Sí,Sí,Sí,artículo . pacto de no concurrencia y de permanencia en la empresa. . no podrá efectuarse la prestación prestación laboral un trabajador para diversos empresarios cuando se estime concurrencia desleal o cuando se pacte la
concurrencia desleal,Parcialmente encontrado,No,Sí,No,No,"en la empresa. . no podrá efectuarse la prestación laboral de un trabajador para diversos empresarios cuando se estime concurrencia concurrencia desleal cuando se pacte la plena dedicación mediante compensación económica expresa, en los términos que al"
compensación económica,Parcialmente encontrado,No,Sí,Sí,Sí,de un trabajador para diversos empresarios cuando se estime concurrencia desleal o cuando se pacte la plena dedicación mediante compensación compensación económica en los términos que al efecto se convengan. . el pacto de no competencia para
duración supe,No encontrado,No,No,No,No,"de no competencia para después de extinguido el contrato de trabajo, que no podrá tener una duración supe - rior duración supe años para los técnicos y de seis meses para los demás trabajadores, solo será válido"
requisitos siguientes,Parcialmente encontrado,No,Sí,No,No,"técnicos y de seis meses para los demás trabajadores, solo será válido si concurren los requisitos siguientes: a que el requisitos siguientes un efectivo interés industrial o comercial en ello. b que se satisfaga al trabajador una"
interés industrial,Parcialmente encontrado,No,Sí,Sí,Sí,será válido si concurren los requisitos siguientes: a que el empresario tenga un efectivo interés industrial o comercial en ello. interés industrial se satisfaga al trabajador una compensación económica adecuada. . en el supuesto de compensación económica
compensación económica,Parcialmente encontrado,No,Sí,Sí,Sí,"interés industrial o comercial en ello. b que se satisfaga al trabajador una compensación económica adecuada. . en el supuesto compensación económica económica por la plena dedicación, el trabajador podrá rescindir el acuerdo y recuperar su libertad"
compensación económica,Parcialmente encontrado,No,Sí,Sí,Sí,"satisfaga al trabajador una compensación económica adecuada. . en el supuesto de compensación económica por la plena dedicación, el trabajador compensación económica el acuerdo y recuperar su libertad de trabajo en otro empleo, comunicándolo por escrito al"
compensación económica,Parcialmente encontrado,No,Sí,Sí,Sí,"preaviso de treinta días, perdiéndose en este caso la compensación económica u otros derechos vinculados a la plena dedicación. . compensación económica trabajador haya recibido una especialización profesional con cargo al empresario para poner en marcha proyectos"
derechos vinculados,Parcialmente encontrado,No,Sí,No,No,perdiéndose en este caso la compensación económica u otros derechos vinculados a la plena dedicación. . cuando el trabajador haya derechos vinculados especialización profesional con cargo al empresario para poner en marcha proyectos determinados o realizar un
especialización profesional,Parcialmente encontrado,No,No,Sí,Sí,"dedicación. . cuando el trabajador haya recibido una especialización profesional con cargo al empresario para poner en marcha proyectos determinados especialización profesional un trabajo específico, podrá pactarse entre ambos la permanencia en dicha empresa durante cierto tiempo."
proyectos determinados,No encontrado,No,No,No,No,"con cargo al empresario para poner en marcha proyectos determinados o realizar un trabajo específico, podrá pactarse entre ambos la proyectos determinados dicha empresa durante cierto tiempo. el acuerdo no será de duración superior a dos años"
trabajo específico,Parcialmente encontrado,No,Sí,No,No,"poner en marcha proyectos determinados o realizar un trabajo específico, podrá pactarse entre ambos la permanencia en dicha empresa durante trabajo específico el acuerdo no será de duración superior a dos años y se formalizará siempre por"
duración superior,Parcialmente encontrado,No,No,Sí,No,"tiempo. el acuerdo no será de duración superior a dos años y se formalizará siempre por escrito. si el trabajador duración superior trabajo antes del plazo, el empresario tendrá derecho a una indemnización de daños y perjuicios."
sección .ª,Parcialmente encontrado,No,Sí,No,No,daños y perjuicios. sección .ª clasificación profesional y promoción en el trabajo sección .ª
clasificación profesional,Encontrado en glosario,Sí,No,Sí,Sí,perjuicios. sección .ª clasificación profesional y promoción en el trabajo clasificación profesional
