Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"artículo . salario mínimo interprofesional. . el gobierno fijará, previa consulta con las organizaciones sindicales y asociaciones empresariales más"
organizaciones sindicales,Encontrado en glosario,Sí,No,Sí,Sí,"artículo . salario mínimo interprofesional. . el gobierno fijará, previa consulta con las organizaciones sindicales organizaciones sindicales empresariales más representativas, anualmente, el salario mínimo interprofesional, teniendo en cuenta: a el índice de"
asociaciones empresariales,Encontrado en glosario,Sí,Sí,Sí,No,"artículo . salario mínimo interprofesional. . el gobierno fijará, previa consulta con las organizaciones sindicales y asociaciones empresariales asociaciones empresariales anualmente, el salario mínimo interprofesional, teniendo en cuenta: a el índice de precios de consumo."
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"el gobierno fijará, previa consulta con las organizaciones sindicales y asociaciones empresariales más representativas, anualmente, el salario mínimo interprofesional, teniendo salario mínimo a el índice de precios de consumo. b la productividad media nacional alcanzada. c el"
productividad media,Parcialmente encontrado,No,Sí,No,No,"interprofesional, teniendo en cuenta: a el índice de precios de consumo. b la productividad media nacional alcanzada. c el incremento productividad media participación del trabajo en la renta nacional. d la coyuntura económica general. igualmente se fijará"
renta nacional,Parcialmente encontrado,No,Sí,Sí,No,nacional alcanzada. c el incremento de la participación del trabajo en la renta nacional. d la coyuntura económica general. igualmente renta nacional una revisión semestral para el caso de que no se cumplan las previsiones sobre el
coyuntura económica,Parcialmente encontrado,No,No,Sí,Sí,de la participación del trabajo en la renta nacional. d la coyuntura económica general. igualmente se fijará una revisión semestral coyuntura económica caso de que no se cumplan las previsiones sobre el índice de precios citado. la
revisión semestral,Parcialmente encontrado,No,Sí,No,No,nacional. d la coyuntura económica general. igualmente se fijará una revisión semestral para el caso de que no se cumplan revisión semestral sobre el índice de precios citado. la revisión del salario mínimo interprofesional no afectará a
precios citado,Parcialmente encontrado,No,Sí,No,No,"que no se cumplan las previsiones sobre el índice de precios citado. la revisión del salario mínimo interprofesional no afectará precios citado estructura ni a la cuantía de los salarios profesionales cuando estos, en su conjunto y"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"sobre el índice de precios citado. la revisión del salario mínimo interprofesional no afectará a la estructura ni a la salario mínimo los salarios profesionales cuando estos, en su conjunto y cómputo anual, fueran superiores a aquel."
salarios profesionales,Parcialmente encontrado,No,Sí,Sí,Sí,"a la estructura ni a la cuantía de los salarios profesionales cuando estos, en su conjunto y cómputo anual, fueran salarios profesionales aquel. . el salario mínimo interprofesional, en su cuantía, tanto anual como mensual, es inembargable."
cómputo anual,Parcialmente encontrado,No,Sí,No,No,"salarios profesionales cuando estos, en su conjunto y cómputo anual, fueran superiores a aquel. . el salario mínimo interprofesional, en cómputo anual tanto anual como mensual, es inembargable. a efectos de determinar lo anterior se tendrán en"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"fueran superiores a aquel. . el salario mínimo interprofesional, en su cuantía, tanto anual como mensual, es inembargable. a efectos salario mínimo lo anterior se tendrán en cuenta tanto el periodo de devengo como la forma de"
salario mensual,Parcialmente encontrado,No,Sí,No,No,"se percibiese una gratificación o paga extraordinaria, el límite de inembargabilidad estará constituido por el doble del importe del salario salario mensual mensual y en el caso de que en el salario mensual percibido estuviera incluida la"
paga extraordinaria,Parcialmente encontrado,No,No,Sí,Sí,el límite de inembargabilidad estará constituido por el doble del importe del salario mínimo interprofesional mensual y en el caso paga extraordinaria en el salario mensual percibido estuviera incluida la parte proporcional de las pagas o gratificaciones
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"mensual y en el caso de que en el salario mensual percibido estuviera incluida la parte proporcional de las pagas salario mínimo extraordinarias, el límite de inembargabilidad estará constituido por el importe del salario mínimo interprofesional en"
salario mensual,Parcialmente encontrado,No,Sí,No,No,"estuviera incluida la parte proporcional de las pagas o gratificaciones extraordinarias, el límite de inembargabilidad estará constituido por el importe salario mensual mínimo interprofesional en cómputo anual prorrateado entre doce meses."
parte proporcional,Parcialmente encontrado,No,Sí,No,No,"las pagas o gratificaciones extraordinarias, el límite de inembargabilidad estará constituido por el importe del salario mínimo interprofesional en cómputo parte proporcional entre doce meses."
gratificaciones extraordinarias,Encontrado en glosario,Sí,No,Sí,Sí,límite de inembargabilidad estará constituido por el importe del salario mínimo interprofesional en cómputo anual prorrateado entre doce meses. gratificaciones extraordinarias
salario mínimo,Parcialmente encontrado,No,Sí,No,No,cómputo anual prorrateado entre doce meses. salario mínimo
cómputo anual,Parcialmente encontrado,No,Sí,No,No,doce meses. cómputo anual
