Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
pago del salario,pago,del,salario,pago,salario,pago del salario,No,Sí,Sí,No,No,Parcialmente encontrado,Artículo 29. Liquidación y pago. 1. La liquidación y el pago del salario se pago del salario documentalmente en la fecha y lugar convenidos o conforme a los usos y costumbres. El
periodo de tiempo,periodo,de,tiempo,periodo,tiempo,periodo de tiempo,No,No,No,No,No,No encontrado,lugar convenidos o conforme a los usos y costumbres. El periodo de tiempo a que periodo de tiempo abono de las retribuciones periódicas y regulares no podrá exceder de un mes. El trabajador
anticipos a cuenta,anticipos,a,cuenta,anticipos,cuenta,anticipos a cuenta,No,No,Sí,No,No,Parcialmente encontrado,"el pago, anticipos a cuenta del trabajo ya realizado. La documentación del salario se realizará anticipos a cuenta al trabajador de un recibo individual y justificativo del pago del mismo. El recibo de"
documentación del salario,documentación,del,salario,documentación,salario,documentación del salario,No,No,Sí,Sí,No,Parcialmente encontrado,documentación del salario se realizará mediante la entrega al trabajador de un recibo individual y documentación del salario del mismo. El recibo de salarios se ajustará al modelo que apruebe el Ministerio de
entrega al trabajador,entrega,al,trabajador,entrega,trabajador,entrega al trabajador,No,Sí,Sí,No,No,Parcialmente encontrado,"entrega al trabajador de un recibo individual y justificativo del pago del mismo. El recibo entrega al trabajador ajustará al modelo que apruebe el Ministerio de Empleo y Seguridad Social, salvo que por"
recibo de salarios,recibo,de,salarios,recibo,salarios,recibo de salarios,No,Sí,No,No,No,Parcialmente encontrado,"de salarios se ajustará al modelo que apruebe el Ministerio de Empleo y Seguridad Social, recibo de salarios convenio colectivo o, en su defecto, por acuerdo entre la empresa y los representantes de"
percepciones del trabajador,percepciones,del,trabajador,percepciones,trabajador,percepciones del trabajador,No,No,Sí,No,No,Parcialmente encontrado,"las deducciones que legalmente procedan. La liquidación de los salarios que correspondan a quienes presten percepciones del trabajador que tengan el carácter de fijos- discontinuos, en los supuestos de conclusión de cada periodo"
servicios en trabajos,servicios,en,trabajos,servicio,trabajo,servicio en trabajo,No,Sí,Sí,No,No,Parcialmente encontrado,"fijos- discontinuos, en los supuestos de conclusión de cada periodo de actividad, se llevará a servicios en trabajos a los trámites y garantías establecidos en el artículo 49.2. 2. El derecho al salario"
supuestos de conclusión,supuestos,de,conclusión,supuesto,conclusión,supuesto de conclusión,No,No,No,No,Sí,No encontrado,"a cabo con sujeción a los trámites y garantías establecidos en el artículo 49.2. 2. supuestos de conclusión salario a comisión nacerá en el momento de realizarse y pagarse el negocio, la colocación"
periodo de actividad,periodo,de,actividad,periodo,actividad,periodo de actividad,No,No,Sí,No,No,Parcialmente encontrado,"los trámites y garantías establecidos en el artículo 49.2. 2. El derecho al salario a periodo de actividad el momento de realizarse y pagarse el negocio, la colocación o venta en que hubiera"
cabo con sujeción,cabo,con,sujeción,cabo,sujeción,cabo con sujeción,No,No,No,No,Sí,No encontrado,"artículo 49.2. 2. El derecho al salario a comisión nacerá en el momento de realizarse cabo con sujeción negocio, la colocación o venta en que hubiera intervenido el trabajador, liquidándose y pagándose, salvo"
derecho al salario,derecho,al,salario,derecho,salario,derecho al salario,No,Sí,Sí,No,No,Parcialmente encontrado,"negocio, la colocación o venta en que hubiera intervenido el trabajador, liquidándose y pagándose, salvo derecho al salario pactado otra cosa, al finalizar el año. El trabajador y sus representantes legales pueden pedir"
interés por mora,interés,por,mora,interés,mora,interés por mora,No,Sí,Sí,No,No,Parcialmente encontrado,"pago delegado de las prestaciones de la Seguridad Social, podrá efectuarlo el empresario en moneda interés por mora o mediante cheque u otra modalidad de pago similar a través de entidades de crédito,"
pago del salario,pago,del,salario,pago,salario,pago del salario,No,Sí,Sí,No,No,Parcialmente encontrado,"de la Seguridad Social, podrá efectuarlo el empresario en moneda de curso legal o mediante pago del salario modalidad de pago similar a través de entidades de crédito, previo informe al comité de"
empresario en moneda,empresario,en,moneda,empresario,moneda,empresario en moneda,No,Sí,No,No,No,Parcialmente encontrado,o delegados de personal. empresario en moneda
moneda de curso,moneda,de,curso,moneda,curso,moneda de curso,No,No,No,No,No,No encontrado,de personal. moneda de curso
modalidad de pago,modalidad,de,pago,modalidad,pago,modalidad de pago,No,No,Sí,No,No,Parcialmente encontrado,modalidad de pago
través de entidades,través,de,entidades,través,entidad,través de entidad,No,No,Sí,No,No,Parcialmente encontrado,través de entidades
entidades de crédito,entidades,de,crédito,entidades,crédito,entidades de crédito,No,No,Sí,No,No,Parcialmente encontrado,entidades de crédito
informe al comité,informe,al,comité,informe,comité,informe al comité,No,Sí,Sí,No,No,Parcialmente encontrado,informe al comité
comité de empresa,comité,de,empresa,comité,empresa,comité de empresa,Sí,Sí,Sí,No,No,Encontrado en glosario,comité de empresa
delegados de personal,delegados,de,personal,delegado,personal,delegado de personal,Sí,No,No,No,No,Encontrado en glosario,delegados de personal
