Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
lugar convenidos,No encontrado,No,No,No,No,y pago. . la liquidación y el pago del salario se harán puntual y documentalmente en la fecha y lugar lugar convenidos conforme a los usos y costumbres. el periodo de tiempo a que se refiere el
retribuciones periódicas,Parcialmente encontrado,No,Sí,No,No,"conforme a los usos y costumbres. el periodo de tiempo a que se refiere el abono de las retribuciones periódicas retribuciones periódicas no podrá exceder de un mes. el trabajador y, con su autorización, sus representantes legales,"
representantes legales,Parcialmente encontrado,No,Sí,Sí,No,"y regulares no podrá exceder de un mes. el trabajador y, con su autorización, sus representantes legales, tendrán derecho a representantes legales que llegue el día señalado para el pago, anticipos a cuenta del trabajo ya realizado."
día señalado,No encontrado,No,No,No,No,"su autorización, sus representantes legales, tendrán derecho a percibir, sin que llegue el día señalado para el pago, anticipos a día señalado trabajo ya realizado. la documentación del salario se realizará mediante la entrega al trabajador de"
recibo individual,Parcialmente encontrado,No,Sí,Sí,No,"del salario se realizará mediante la entrega al trabajador de un recibo individual y justificativo del pago del mismo. el recibo individual salarios se ajustará al modelo que apruebe el ministerio de empleo y seguridad social, salvo"
seguridad social,Encontrado en glosario,Sí,Sí,Sí,Sí,"ajustará al modelo que apruebe el ministerio de empleo y seguridad social, salvo que por convenio colectivo o, en su seguridad social acuerdo entre la empresa y los representantes de los trabajadores, se establezca otro modelo que"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"ministerio de empleo y seguridad social, salvo que por convenio colectivo o, en su defecto, por acuerdo entre la empresa convenio colectivo representantes de los trabajadores, se establezca otro modelo que contenga con la debida claridad y"
garantías establecidos,Parcialmente encontrado,No,Sí,No,No,"trámites y garantías establecidos en el artículo .. . el derecho al salario a comisión nacerá en el momento de garantías establecidos pagarse el negocio, la colocación o venta en que hubiera intervenido el trabajador, liquidándose y"
representantes legales,Parcialmente encontrado,No,Sí,Sí,No,"pedir en cualquier momento comunicaciones de la parte de los libros referentes a tales devengos. . el interés por mora representantes legales pago del salario será el diez por ciento de lo adeudado. . el salario, así"
libros referentes,No encontrado,No,No,No,No,"tales devengos. . el interés por mora en el pago del salario será el diez por ciento de lo adeudado. libros referentes salario, así como el pago delegado de las prestaciones de la seguridad social, podrá efectuarlo"
pago delegado,Parcialmente encontrado,No,Sí,No,No,"la seguridad social, podrá efectuarlo el empresario en moneda de curso legal o mediante cheque u otra modalidad de pago pago delegado través de entidades de crédito, previo informe al comité de empresa o delegados de personal."
seguridad social,Encontrado en glosario,Sí,Sí,Sí,Sí,"en moneda de curso legal o mediante cheque u otra modalidad de pago similar a través de entidades de crédito, seguridad social al comité de empresa o delegados de personal."
curso legal,Parcialmente encontrado,No,No,Sí,No,"modalidad de pago similar a través de entidades de crédito, previo informe al comité de empresa o delegados de personal. curso legal"
pago similar,Parcialmente encontrado,No,Sí,No,No,"crédito, previo informe al comité de empresa o delegados de personal. pago similar"
