Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
servicios retribuidos,Parcialmente encontrado,No,Sí,No,No,"artículo . ámbito de aplicación. . esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios servicios retribuidos cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o"
personas referidas,Parcialmente encontrado,No,Sí,No,No,"jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así personas referidas las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente"
apartado anterior,No encontrado,No,No,No,No,"bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas apartado anterior ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas. . se excluyen"
personas contratadas,Parcialmente encontrado,No,Sí,Sí,No,"de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias personas contratadas de trabajo temporal legalmente constituidas. . se excluyen del ámbito regulado por esta ley: a"
empresas usuarias,Parcialmente encontrado,No,Sí,Sí,No,"apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente empresas usuarias se excluyen del ámbito regulado por esta ley: a la relación de servicio de los"
trabajo temporal,Parcialmente encontrado,No,Sí,Sí,No,"las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas. . se excluyen del trabajo temporal por esta ley: a la relación de servicio de los funcionarios públicos, que se regirá"
ámbito regulado,No encontrado,No,No,No,No,"por empresas de trabajo temporal legalmente constituidas. . se excluyen del ámbito regulado por esta ley: a la relación de ámbito regulado los funcionarios públicos, que se regirá por las correspondientes normas legales y reglamentarias, así como"
funcionarios públicos,Parcialmente encontrado,No,Sí,Sí,Sí,"por esta ley: a la relación de servicio de los funcionarios públicos, que se regirá por las correspondientes normas legales funcionarios públicos así como la del personal al servicio de las administraciones públicas y demás entes, organismos"
normas legales,Parcialmente encontrado,No,Sí,Sí,No,"los funcionarios públicos, que se regirá por las correspondientes normas legales y reglamentarias, así como la del personal al servicio normas legales administraciones públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de"
administraciones públicas,Encontrado en glosario,Sí,Sí,Sí,Sí,"como la del personal al servicio de las administraciones públicas y demás entes, organismos y entidades del sector público, cuando, administraciones públicas de una ley, dicha relación se regule por normas administrativas o estatutarias. b las prestaciones"
sector público,Parcialmente encontrado,No,No,Sí,Sí,"y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por sector público o estatutarias. b las prestaciones personales obligatorias. c la actividad que se limite, pura y"
normas administrativas,Parcialmente encontrado,No,Sí,Sí,No,"relación se regule por normas administrativas o estatutarias. b las prestaciones personales obligatorias. c la actividad que se limite, pura normas administrativas al mero desempeño del cargo de consejero o miembro de los órganos de administración en"
prestaciones personales,Parcialmente encontrado,No,Sí,Sí,Sí,"estatutarias. b las prestaciones personales obligatorias. c la actividad que se limite, pura y simplemente, al mero desempeño del cargo prestaciones personales o miembro de los órganos de administración en las empresas que revistan la forma jurídica"
forma jurídica,Parcialmente encontrado,No,No,Sí,Sí,"forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a forma jurídica d los trabajos realizados a título de amistad, benevolencia o buena vecindad. e los trabajos"
empresa solo,Parcialmente encontrado,No,Sí,No,No,"empresa solo comporte la realización de cometidos inherentes a tal cargo. d los trabajos realizados a título de amistad, benevolencia empresa solo vecindad. e los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes"
cometidos inherentes,No encontrado,No,No,No,No,"cometidos inherentes a tal cargo. d los trabajos realizados a título de amistad, benevolencia o buena vecindad. e los trabajos cometidos inherentes que se demuestre la condición de asalariados de quienes los llevan a cabo. se considerarán"
trabajos realizados,Parcialmente encontrado,No,Sí,No,No,"realizados a título de amistad, benevolencia o buena vecindad. e los trabajos familiares, salvo que se demuestre la condición de trabajos realizados quienes los llevan a cabo. se considerarán familiares, a estos efectos, siempre que convivan con"
trabajos familiares,Parcialmente encontrado,No,Sí,Sí,Sí,"que se demuestre la condición de asalariados de quienes los llevan a cabo. se considerarán familiares, a estos efectos, siempre trabajos familiares con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad,"
operaciones mercantiles,Parcialmente encontrado,No,No,Sí,Sí,"a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma. g en general, todo operaciones mercantiles se efectúe en desarrollo de relación distinta de la que define el apartado . a"
relación distinta,No encontrado,No,No,No,No,"laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean relación distinta mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo"
ámbito laboral,Parcialmente encontrado,No,No,Sí,Sí,"de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder ámbito laboral disposición ostenten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador"
personas prestadoras,Parcialmente encontrado,No,Sí,No,No,"mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición ostenten, aun cuando personas prestadoras se realicen de forma continuada para un mismo cargador o comercializador. . la legislación laboral"
autorizaciones administrativas,Parcialmente encontrado,No,Sí,Sí,No,"público cuya propiedad o poder directo de disposición ostenten, aun cuando dichos servicios se realicen de forma continuada para un autorizaciones administrativas o comercializador. . la legislación laboral española será de aplicación al trabajo que presten los"
