Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
ámbito de aplicación,ámbito,de,aplicación,ámbito,aplicación,ámbito de aplicación,No,No,Sí,No,Sí,Parcialmente encontrado,Artículo 1. Ámbito ámbito de aplicación Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por
ámbito de organización,ámbito,de,organización,ámbito,organización,ámbito de organización,No,No,No,No,Sí,No encontrado,"voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y ámbito de organización persona, física o jurídica, denominada empleador o empresario. 2. A los efectos de esta ley,"
comunidades de bienes,comunidades,de,bienes,comunidad,bien,comunidad de bien,No,Sí,Sí,No,No,Parcialmente encontrado,"o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas comunidades de bienes apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por"
prestación de servicios,prestación,de,servicios,prestación,servicios,prestación de servicios,Sí,Sí,No,Sí,No,Encontrado en glosario,"que reciban la prestación de servicios de las personas referidas en el apartado anterior, así prestación de servicios personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
empresas de trabajo,empresas,de,trabajo,empresas,trabajo,empresas de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"usuarias por empresas de trabajo temporal legalmente constituidas. 3. Se excluyen del ámbito regulado por empresas de trabajo La relación de servicio de los funcionarios públicos, que se regirá por las correspondientes normas"
relación de servicio,relación,de,servicio,relación,servicio,relación de servicio,No,No,Sí,Sí,No,Parcialmente encontrado,"los funcionarios públicos, que se regirá por las correspondientes normas legales y reglamentarias, así como relación de servicio al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público,"
personal al servicio,personal,al,servicio,personal,servicio,personal al servicio,No,No,Sí,No,No,Parcialmente encontrado,"Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una personal al servicio se regule por normas administrativas o estatutarias. b) Las prestaciones personales obligatorias. c) La actividad"
entidades del sector,entidades,del,sector,entidad,sector,entidad del sector,No,Sí,No,No,No,Parcialmente encontrado,"de una ley, dicha relación se regule por normas administrativas o estatutarias. b) Las prestaciones entidades del sector La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero"
desempeño del cargo,desempeño,del,cargo,desempeño,cargo,desempeño del cargo,No,No,Sí,No,No,Parcialmente encontrado,"forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la desempeño del cargo inherentes a tal cargo. d) Los trabajos realizados a título de amistad, benevolencia o buena"
cargo de consejero,cargo,de,consejero,cargo,consejero,cargo de consejero,No,Sí,Sí,No,No,Parcialmente encontrado,"de sociedad y siempre que su actividad en la empresa solo comporte la realización de cargo de consejero tal cargo. d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad. e)"
órganos de administración,órganos,de,administración,órganos,administración,órganos de administración,No,No,Sí,No,Sí,Parcialmente encontrado,"en la empresa solo comporte la realización de cometidos inherentes a tal cargo. d) Los órganos de administración título de amistad, benevolencia o buena vecindad. e) Los trabajos familiares, salvo que se demuestre"
realización de cometidos,realización,de,cometidos,realización,cometido,realización de cometido,No,No,No,Sí,No,No encontrado,"vecindad. e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes realización de cometidos cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge,"
título de amistad,título,de,amistad,título,amistad,título de amistad,No,Sí,No,No,No,Parcialmente encontrado,"los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el título de amistad los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive"
condición de asalariados,condición,de,asalariados,condición,asalariados,condición de asalariados,No,Sí,No,Sí,No,Parcialmente encontrado,"y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su condición de asalariados f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno"
parientes por consanguinidad,parientes,por,consanguinidad,parientes,consanguinidad,parientes por consanguinidad,No,No,Sí,No,No,Parcialmente encontrado,"más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación parientes por consanguinidad y ventura de la misma. g) En general, todo trabajo que se efectúe en desarrollo"
desarrollo de relación,desarrollo,de,relación,desarrollo,relación,desarrollo de relación,No,Sí,No,No,Sí,Parcialmente encontrado,"correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición desarrollo de relación dichos servicios se realicen de forma continuada para un mismo cargador o comercializador. 4. La"
excluida del ámbito,excluida,del,ámbito,excluir,ámbito,excluir del ámbito,No,No,No,No,No,No encontrado,dichos servicios se realicen de forma continuada para un mismo cargador o comercializador. 4. La excluida del ámbito será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio
servicio de transporte,servicio,de,transporte,servicio,transporte,servicio de transporte,No,Sí,No,No,No,Parcialmente encontrado,"o comercializador. 4. La legislación laboral española será de aplicación al trabajo que presten los servicio de transporte en España al servicio de empresas españolas en el extranjero, sin perjuicio de las normas"
transporte al amparo,transporte,al,amparo,transporte,amparo,transporte al amparo,No,No,No,No,No,No encontrado,"4. La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles transporte al amparo al servicio de empresas españolas en el extranjero, sin perjuicio de las normas de orden"
amparo de autorizaciones,amparo,de,autorizaciones,amparo,autorización,amparo de autorización,No,No,Sí,No,No,Parcialmente encontrado,"legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en amparo de autorizaciones de empresas españolas en el extranjero, sin perjuicio de las normas de orden público aplicables"
aplicación al trabajo,aplicación,al,trabajo,aplicación,trabajo,aplicación al trabajo,No,Sí,Sí,Sí,No,Parcialmente encontrado,"de esta ley se considera centro de trabajo la unidad productiva con organización específica, que aplicación al trabajo alta, como tal, ante la autoridad laboral. En la actividad de trabajo en el mar"
servicio de empresas,servicio,de,empresas,servicio,empresas,servicio de empresas,No,Sí,No,No,No,Parcialmente encontrado,"organización específica, que sea dada de alta, como tal, ante la autoridad laboral. En la servicio de empresas en el mar se considerará como centro de trabajo el buque, entendiéndose situado en la"
