Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
servicio retribuido por  contar,Encontrado en glosario,Sí,No,Sí,Sí,No,Ámbito de aplicación. 1. Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta servicio retribuido por  contar ón
persona referida en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,"que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas persona referida en el apartado ón"
empresa usuario por  empresa,Encontrado en glosario,Sí,Sí,Sí,Sí,No,las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas. 3. Se excluyen del empresa usuario por  empresa ación
ámbito regulado por este ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"3. Se excluyen del ámbito regulado por esta ley: a) La relación de servicio de los funcionarios públicos, que se ámbito regulado por este ley ación"
forma jurídico de  sociedad,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"comporte la realización de cometidos inherentes a tal cargo. d) Los trabajos realizados a título de amistad, benevolencia o buena forma jurídico de  sociedad cación"
cometido inherent a tal cargo,Parcialmente encontrado,No,No,Sí,No,No,"benevolencia o buena vecindad. e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan cometido inherent a tal cargo ción"
trabajo realizado a  título,Encontrado en glosario,Sí,No,Sí,Sí,No,"se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que trabajo realizado a  título cación"
operación mercantil por  contar,Encontrado en glosario,Sí,No,Sí,Sí,Sí,todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1. A tales efectos operación mercantil por  contar ón
relación distinto de el que,Encontrado en glosario,Sí,No,No,Sí,No,"realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición ostenten, aun relación distinto de el que cación"
persona prestadora del  servicio,Encontrado en glosario,Sí,No,Sí,Sí,No,realicen de forma continuada para un mismo cargador o comercializador. 4. La legislación laboral española será de aplicación al trabajo persona prestadora del  servicio n
autorización administrativo de el que,Encontrado en glosario,Sí,Sí,No,Sí,No,"comercializador. 4. La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al autorización administrativo de el que Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica, denominada empleador o empresario"
vehículo comercial de  servicio,Parcialmente encontrado,No,No,Sí,No,Sí,"contratados en España al servicio de empresas españolas en el extranjero, sin perjuicio de las normas de orden público aplicables vehículo comercial de  servicio ón"
poder directo de  disposición,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"en el extranjero, sin perjuicio de las normas de orden público aplicables en el lugar de trabajo. Dichos trabajadores tendrán, poder directo de  disposición ción"
forma continuado para uno mismo,Encontrado en glosario,Sí,No,No,Sí,No,"el lugar de trabajo. Dichos trabajadores tendrán, al menos, los derechos económicos que les corresponderían de trabajar en territorio español. forma continuado para uno mismo ón"
empresa español en el extranjero,Encontrado en glosario,Sí,No,Sí,Sí,No,"unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral. En la actividad de empresa español en el extranjero n"
unidad productivo con  organización,Encontrado en glosario,Sí,No,Sí,Sí,No,unidad productivo con  organización 1
