Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
relaciones laborales,Encontrado en glosario,Sí,No,Sí,Sí,artículo . relaciones laborales de carácter especial. . se considerarán relaciones laborales de carácter especial: a la del personal
carácter especial,Parcialmente encontrado,No,No,Sí,Sí,artículo . relaciones laborales de carácter especial . se considerarán relaciones laborales de carácter especial: a la del personal de alta dirección
relaciones laborales,Encontrado en glosario,Sí,No,Sí,Sí,artículo . relaciones laborales de carácter especial. . se considerarán relaciones relaciones laborales carácter especial: a la del personal de alta dirección no incluido en el artículo ..c.
carácter especial,Parcialmente encontrado,No,No,Sí,Sí,artículo . relaciones laborales de carácter especial. . se considerarán relaciones laborales de carácter carácter especial la del personal de alta dirección no incluido en el artículo ..c. b la del
hogar familiar,Parcialmente encontrado,No,No,Sí,Sí,la del personal de alta dirección no incluido en el artículo ..c. b la del servicio del hogar familiar. c hogar familiar los penados en las instituciones penitenciarias. d la de los deportistas profesionales. e la de
instituciones penitenciarias,Encontrado en glosario,Sí,Sí,No,No,artículo ..c. b la del servicio del hogar familiar. c la de los penados en las instituciones penitenciarias. d la instituciones penitenciarias deportistas profesionales. e la de las personas artistas que desarrollan su actividad en las artes
deportistas profesionales,Parcialmente encontrado,No,No,Sí,Sí,"hogar familiar. c la de los penados en las instituciones penitenciarias. d la de los deportistas profesionales. e la de deportistas profesionales artistas que desarrollan su actividad en las artes escénicas, audiovisuales y musicales, así como las"
personas artistas,Parcialmente encontrado,No,Sí,No,No,"en las instituciones penitenciarias. d la de los deportistas profesionales. e la de las personas artistas que desarrollan su actividad personas artistas artes escénicas, audiovisuales y musicales, así como las personas que realizan actividades técnicas o auxiliares"
artes escénicas,No encontrado,No,No,No,No,"deportistas profesionales. e la de las personas artistas que desarrollan su actividad en las artes escénicas, audiovisuales y musicales, así artes escénicas personas que realizan actividades técnicas o auxiliares necesarias para el desarrollo de dicha actividad. f"
actividades técnicas,Parcialmente encontrado,No,Sí,Sí,No,"las artes escénicas, audiovisuales y musicales, así como las personas que realizan actividades técnicas o auxiliares necesarias para el desarrollo actividades técnicas actividad. f la de las personas que intervengan en operaciones mercantiles por cuenta de uno"
auxiliares necesarias,Parcialmente encontrado,No,Sí,No,No,"audiovisuales y musicales, así como las personas que realizan actividades técnicas o auxiliares necesarias para el desarrollo de dicha actividad. auxiliares necesarias de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios"
operaciones mercantiles,Parcialmente encontrado,No,No,Sí,Sí,de dicha actividad. f la de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios operaciones mercantiles el riesgo y ventura de aquellas. g la de los trabajadores con discapacidad que presten
centros especiales,Parcialmente encontrado,No,No,Sí,Sí,los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. h derogada i la de los centros especiales a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. j
h derogada,No encontrado,No,No,No,No,presten sus servicios en los centros especiales de empleo. h derogada i la de los menores sometidos a la ejecución h derogada de internamiento para el cumplimiento de su responsabilidad penal. j la de residencia para la
responsabilidad penal,Encontrado en glosario,Sí,Sí,Sí,No,"de medidas de internamiento para el cumplimiento de su responsabilidad penal. j la de residencia para la formación de especialistas responsabilidad penal de la salud. k la de los abogados que prestan servicios en despachos de abogados,"
relación laboral,Encontrado en glosario,Sí,No,Sí,Sí,"que sea expresamente declarado como relación laboral de carácter especial por una ley. . en todos los supuestos señalados en relación laboral anterior, la regulación de dichas relaciones laborales respetará los derechos básicos reconocidos por la constitución."
carácter especial,Parcialmente encontrado,No,No,Sí,Sí,"declarado como relación laboral de carácter especial por una ley. . en todos los supuestos señalados en el apartado anterior, carácter especial de dichas relaciones laborales respetará los derechos básicos reconocidos por la constitución."
apartado anterior,No encontrado,No,No,No,No,"supuestos señalados en el apartado anterior, la regulación de dichas relaciones laborales respetará los derechos básicos reconocidos por la constitución. apartado anterior"
relaciones laborales,Encontrado en glosario,Sí,No,Sí,Sí,regulación de dichas relaciones laborales respetará los derechos básicos reconocidos por la constitución. relaciones laborales
derechos básicos,Parcialmente encontrado,No,Sí,No,No,laborales respetará los derechos básicos reconocidos por la constitución. derechos básicos
