Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
condiciones educativas,Parcialmente encontrado,No,Sí,No,No,"que otro cuando la naturaleza de las funciones o tareas efectivamente encomendadas, las condiciones educativas, profesionales o de formación exigidas condiciones educativas ejercicio, los factores estrictamente relacionados con su desempeño y las condiciones laborales en las que"
formación exigidas,No encontrado,No,No,No,No,"las funciones o tareas efectivamente encomendadas, las condiciones educativas, profesionales o de formación exigidas para su ejercicio, los factores estrictamente formación exigidas su desempeño y las condiciones laborales en las que dichas actividades se llevan a cabo"
condiciones laborales,Encontrado en glosario,Sí,Sí,Sí,Sí,"su ejercicio, los factores estrictamente relacionados con su desempeño y las condiciones laborales en las que dichas actividades se llevan condiciones laborales en realidad sean equivalentes. . el empresario está obligado a llevar un registro con los"
valores medios,No encontrado,No,No,No,No,"el empresario está obligado a llevar un registro con los valores medios de los salarios, los complementos salariales y las valores medios de su plantilla, desagregados por sexo y distribuidos por grupos profesionales, categorías profesionales o puestos"
complementos salariales,Encontrado en glosario,Sí,Sí,Sí,Sí,"registro con los valores medios de los salarios, los complementos salariales y las percepciones extrasalariales de su plantilla, desagregados por complementos salariales distribuidos por grupos profesionales, categorías profesionales o puestos de trabajo iguales o de igual valor."
percepciones extrasalariales,No encontrado,No,No,No,No,"medios de los salarios, los complementos salariales y las percepciones extrasalariales de su plantilla, desagregados por sexo y distribuidos por percepciones extrasalariales categorías profesionales o puestos de trabajo iguales o de igual valor. las personas trabajadoras tienen"
grupos profesionales,Encontrado en glosario,Sí,No,Sí,Sí,"su plantilla, desagregados por sexo y distribuidos por grupos profesionales, categorías profesionales o puestos de trabajo iguales o de igual grupos profesionales personas trabajadoras tienen derecho a acceder, a través de la representación legal de los trabajadores"
categorías profesionales,Encontrado en glosario,Sí,Sí,Sí,Sí,"por sexo y distribuidos por grupos profesionales, categorías profesionales o puestos de trabajo iguales o de igual valor. las personas categorías profesionales derecho a acceder, a través de la representación legal de los trabajadores en la empresa,"
trabajo iguales,Parcialmente encontrado,No,Sí,No,No,"grupos profesionales, categorías profesionales o puestos de trabajo iguales o de igual valor. las personas trabajadoras tienen derecho a acceder, trabajo iguales de la representación legal de los trabajadores en la empresa, al registro salarial de su"
personas trabajadoras,Parcialmente encontrado,No,Sí,Sí,No,"iguales o de igual valor. las personas trabajadoras tienen derecho a acceder, a través de la representación legal de los personas trabajadoras la empresa, al registro salarial de su empresa. . cuando en una empresa con al"
representación legal,Parcialmente encontrado,No,Sí,Sí,No,"acceder, a través de la representación legal de los trabajadores en la empresa, al registro salarial de su empresa. . representación legal una empresa con al menos cincuenta trabajadores, el promedio de las retribuciones a los trabajadores"
registro salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"en la empresa, al registro salarial de su empresa. . cuando en una empresa con al menos cincuenta trabajadores, el registro salarial las retribuciones a los trabajadores de un sexo sea superior a los del otro en"
masa salarial,Parcialmente encontrado,No,No,Sí,Sí,"la masa salarial o la media de las percepciones satisfechas, el empresario deberá incluir en el registro salarial una justificación masa salarial dicha diferencia responde a motivos no relacionados con el sexo de las personas trabajadoras."
percepciones satisfechas,No encontrado,No,No,No,No,"las percepciones satisfechas, el empresario deberá incluir en el registro salarial una justificación de que dicha diferencia responde a motivos percepciones satisfechas con el sexo de las personas trabajadoras."
registro salarial,Parcialmente encontrado,No,Sí,Sí,Sí,registro salarial una justificación de que dicha diferencia responde a motivos no relacionados con el sexo de las personas trabajadoras. registro salarial
personas trabajadoras,Parcialmente encontrado,No,Sí,Sí,No,personas trabajadoras. personas trabajadoras
