Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
relación laboral,Encontrado en glosario,Sí,No,Sí,Sí,artículo . fuentes de la relación laboral . los derechos y obligaciones concernientes a la relación laboral se regulan: a por las
obligaciones concernientes,Parcialmente encontrado,No,Sí,No,No,artículo . fuentes de la relación laboral. . los derechos y obligaciones obligaciones concernientes la relación laboral se regulan: a por las disposiciones legales y reglamentarias del estado. b
relación laboral,Encontrado en glosario,Sí,No,Sí,Sí,artículo . fuentes de la relación laboral. . los derechos y obligaciones concernientes a la relación relación laboral regulan: a por las disposiciones legales y reglamentarias del estado. b por los convenios colectivos.
disposiciones legales,Parcialmente encontrado,No,Sí,Sí,No,"la relación laboral. . los derechos y obligaciones concernientes a la relación laboral se regulan: a por las disposiciones legales disposiciones legales del estado. b por los convenios colectivos. c por la voluntad de las partes, manifestada"
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,"la relación laboral se regulan: a por las disposiciones legales y reglamentarias del estado. b por los convenios colectivos. c convenios colectivos voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y"
objeto lícito,No encontrado,No,No,No,No,"por la voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en objeto lícito puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales"
disposiciones legales,Parcialmente encontrado,No,Sí,Sí,No,caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes disposiciones legales por los usos y costumbres locales y profesionales. . las disposiciones legales y reglamentarias se
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados. d por convenios colectivos y costumbres locales y profesionales. . las disposiciones legales y reglamentarias se aplicarán con sujeción
costumbres locales,Parcialmente encontrado,No,Sí,No,No,las disposiciones legales y convenios colectivos antes expresados. d por los usos y costumbres locales y profesionales. . las disposiciones costumbres locales reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa. las disposiciones reglamentarias desarrollarán
disposiciones legales,Parcialmente encontrado,No,Sí,Sí,No,expresados. d por los usos y costumbres locales y profesionales. . las disposiciones legales y reglamentarias se aplicarán con sujeción disposiciones legales principio de jerarquía normativa. las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de
