Término,Patrón N+ADJ,Ubicación,Contexto
relación laboral,relación laboral,Término,RELACIÓN LABORAL: Artículo . Fuentes de la [relación laboral] .
relación laboral,relación laboral,Término,RELACIÓN LABORAL: Artículo . Fuentes de la relación laboral. Los derechos y obligaciones concernientes a la [relación laboral] se regulan:
principio,disposiciones legales,Contexto,Por las disposiciones legales y reglamentarias del Estado. PRINCIPIO: Por los usos y costumbres locales y profesionales. Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al [principio] de jerarquía normativa.
principio de jerarquía normativa,jerarquía normativa,Término,PRINCIPIO DE JERARQUÍA NORMATIVA: Por los usos y costumbres locales y profesionales. Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al [principio de jerarquía normativa] .
convenio colectivo,convenio colectivo,Término,CONVENIO COLECTIVO: que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por [convenio colectivo] .
disposiciones reglamentarias,disposiciones reglamentarias,Término,"DISPOSICIONES REGLAMENTARIAS: locales y profesionales. Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa. Las [disposiciones reglamentarias] desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer condiciones de trabajo distintas a las establecidas por las leyes a desarrollar."
derecho,normas laborales,Contexto,"DERECHO: preceptos de dos o más normas laborales, tanto estatales como pactadas, que deberán respetar en todo caso los mínimos de [derecho] necesario, se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
derecho,disposiciones legales,Contexto,"DERECHO: no podrán disponer válidamente, antes o después de su adquisición, de los derechos que tengan reconocidos por disposiciones legales de [derecho] necesario."
objeto lícito,objeto lícito,Término,"OBJETO LÍCITO: Por los convenios colectivos. Por la voluntad de las partes, manifestada en el contrato de trabajo, siendo su [objeto lícito] y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
deberes laborales,deberes laborales,Término,DEBERES LABORALES: de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo. Sección .ª Derechos y [deberes laborales] básicos
perjuicio,objeto lícito,Contexto,"PERJUICIO: partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en [perjuicio] del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
defecto,cómputo anual,Contexto,"DEFECTO: su conjunto, y en cómputo anual, respecto de los conceptos cuantificables. Los usos y costumbres solo se aplicarán en [defecto] de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa."
trabajador,objeto lícito,Contexto,"TRABAJADOR: en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del [trabajador] condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
trabajador,derecho necesario,Contexto,"TRABAJADOR: respetar en todo caso los mínimos de derecho necesario, se resolverán mediante la aplicación de lo más favorable para el [trabajador] apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
trabajo,convenios colectivos,Contexto,"TRABAJO: reglamentarias del Estado. Por los convenios colectivos. Por la voluntad de las partes, manifestada en el contrato de [trabajo] , siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
trabajo,disposiciones reglamentarias,Contexto,"TRABAJO: normativa. Las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer condiciones de [trabajo] distintas a las establecidas por las leyes a desarrollar."
contrato,convenios colectivos,Contexto,"CONTRATO: legales y reglamentarias del Estado. Por los convenios colectivos. Por la voluntad de las partes, manifestada en el [contrato] de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
