Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
trabajo distinto de el mismo,Encontrado en glosario,Sí,No,No,Sí,No,sus servicios en empresas con centros de trabajo móviles o itinerantes a un centro de trabajo distinto de la misma trabajo distinto de el mismo ráfica
contratación referida a el actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,"técnica o del trabajo en la empresa, así como las contrataciones referidas a la actividad empresarial. La decisión de traslado contratación referida a el actividad 1"
tiempo inferior a uno año,Encontrado en glosario,Sí,No,Sí,Sí,No,inferiores a un año y con un máximo de doce mensualidades. La compensación a que se refiere el primer supuesto tiempo inferior a uno año eográfica
previsión contenida en el apartado,Parcialmente encontrado,No,Sí,No,No,No,"días en número inferior a los umbrales allí señalados, sin que concurran causas nuevas que justifiquen tal actuación, dichos nuevos previsión contenida en el apartado"
número inferior a el umbral,No encontrado,No,No,No,No,No,dichos nuevos traslados se considerarán efectuados en fraude de ley y serán declarados nulos y sin efecto. 2. El traslado número inferior a el umbral gráfica
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de representante legal de el trabajador 1"
causa motivadora de el decisión,Encontrado en glosario,Sí,No,Sí,Sí,No,"si bien, de existir varios centros de trabajo, quedará circunscrita a los centros afectados por el procedimiento. La comisión negociadora causa motivadora de el decisión ica"
centro afectado por el procedimiento,Encontrado en glosario,Sí,No,Sí,Sí,No,"el artículo 41.4, en el orden y condiciones señalados en el mismo. La comisión representativa de los trabajadores deberá quedar centro afectado por el procedimiento 1"
sujeto indicado en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la sujeto indicado en el artículo fica
condición señalado en el mismo,Encontrado en glosario,Sí,No,No,Sí,No,de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la condición señalado en el mismo fica
carácter previo a el comunicación,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar carácter previo a el comunicación a"
comunicación empresarial de  inicio,Encontrado en glosario,Sí,Sí,No,Sí,No,"de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento comunicación empresarial de  inicio 1"
manera fehaciente a el trabajador,Parcialmente encontrado,No,Sí,Sí,No,No,"cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días. Transcurrido el plazo máximo manera fehaciente a el trabajador a"
plazo máximo para el constitución,Encontrado en glosario,Sí,No,Sí,Sí,No,"el plazo máximo para la constitución de la comisión representativa, la dirección de la empresa podrá comunicar el inicio del plazo máximo para el constitución a"
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"impedirá el inicio y transcurso del periodo de consultas, y su constitución con posterioridad al inicio del mismo no comportará, representante legal de el trabajador 1"
plazo máximo para el constitución,Encontrado en glosario,Sí,No,Sí,Sí,No,"comportará, en ningún caso, la ampliación de su duración. La apertura del periodo de consultas y las posiciones de las plazo máximo para el constitución a"
autoridad laboral para su conocimiento,Encontrado en glosario,Sí,No,Sí,Sí,Sí,mayoría de los trabajadores del centro o centros de trabajo afectados. Tras la finalización del periodo de consultas el empresario autoridad laboral para su conocimiento
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"el apartado 1. Contra las decisiones a que se refiere el presente apartado se podrá reclamar en conflicto colectivo, sin representante legal de el trabajador 1"
comisión representativo de el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,"sin perjuicio de la acción individual prevista en el apartado 1. La interposición del conflicto paralizará la tramitación de las comisión representativo de el trabajador l traslado de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con  centros de trabajo móviles o itinerantes a un centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
trabajador afectado al  ejercicio,Encontrado en glosario,Sí,No,Sí,Sí,No,"fuera trabajador de la misma empresa, tendrá derecho al traslado a la misma localidad, si hubiera puesto de trabajo. 4. trabajador afectado al  ejercicio a"
opción previsto en el párrafo,Encontrado en glosario,Sí,No,No,Sí,No,"tendrá derecho al traslado a la misma localidad, si hubiera puesto de trabajo. 4. Las personas trabajadoras que tengan la opción previsto en el párrafo áfica"
párrafo tercero del  apartado,Parcialmente encontrado,No,Sí,No,No,No,"a la misma localidad, si hubiera puesto de trabajo. 4. Las personas trabajadoras que tengan la consideración de víctimas de párrafo tercero del  apartado áfica"
tiempo inferior a uno año,Encontrado en glosario,Sí,No,Sí,Sí,No,"víctimas de terrorismo. 6. Por razones económicas, técnicas, organizativas o de producción, o bien por contrataciones referidas a la actividad tiempo inferior a uno año eográfica"
condición establecido en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,"a un permiso de cuatro días laborables en su domicilio de origen por cada tres meses de desplazamiento, sin computar condición establecido en el apartado 1"
apartado anterior para el trabajadora,Parcialmente encontrado,No,No,Sí,No,No,"cuatro días laborables en su domicilio de origen por cada tres meses de desplazamiento, sin computar como tales los de apartado anterior para el trabajadora"
contratación referida a el actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,podrá recurrir el trabajador en los mismos términos previstos en el apartado 1 para los traslados. Los desplazamientos cuya duración contratación referida a el actividad 1
desplazamiento temporal de su trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"apartado 1 para los traslados. Los desplazamientos cuya duración en un periodo de tres años exceda de doce meses tendrán, desplazamiento temporal de su trabajador l traslado de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con  centros de trabajo móviles o itinerantes a un centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
población distinto de el de,No encontrado,No,No,No,No,No,"periodo de tres años exceda de doce meses tendrán, a todos los efectos, el tratamiento previsto en esta ley para población distinto de el de gráfica"
antelación suficiente a el fecha,No encontrado,No,No,No,No,No,los puestos de trabajo a que se refiere este artículo. Mediante convenio colectivo o acuerdo alcanzado durante el periodo de antelación suficiente a el fecha ca
día laborable en el caso,Encontrado en glosario,Sí,No,Sí,Sí,No,"el periodo de consultas se podrán establecer prioridades de permanencia a favor de trabajadores de otros colectivos, tales como trabajadores día laborable en el caso geográfica"
día laborable en su domicilio,Encontrado en glosario,Sí,No,Sí,Sí,No,personas con discapacidad. día laborable en su domicilio áfica
término previsto en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,término previsto en el apartado ica
