Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
movilidad geográfica,Encontrado en glosario,Sí,No,No,No,artículo . movilidad geográfica . el traslado de trabajadores que no hayan sido contratados específicamente para prestar sus servicios
trabajo móviles,Parcialmente encontrado,No,Sí,No,No,el traslado de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con centros de trabajo trabajo móviles itinerantes a un centro de trabajo distinto de la misma empresa que exija cambios de
trabajo distinto,Parcialmente encontrado,No,Sí,No,No,"contratados específicamente para prestar sus servicios en empresas con centros de trabajo móviles o itinerantes a un centro de trabajo trabajo distinto la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas,"
razones económicas,Parcialmente encontrado,No,Sí,Sí,Sí,a un centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones razones económicas organizativas o de producción que lo justifiquen. se consideraran tales las que estén relacionadas con
organización técnica,Parcialmente encontrado,No,No,Sí,No,"que lo justifiquen. se consideraran tales las que estén relacionadas con la competitividad, productividad u organización técnica o del trabajo organización técnica empresa, así como las contrataciones referidas a la actividad empresarial. la decisión de traslado deberá"
contrataciones referidas,Parcialmente encontrado,No,Sí,No,No,"competitividad, productividad u organización técnica o del trabajo en la empresa, así como las contrataciones referidas a la actividad empresarial. contrataciones referidas de traslado deberá ser notificada por el empresario al trabajador, así como a sus representantes"
actividad empresarial,Parcialmente encontrado,No,Sí,Sí,No,"técnica o del trabajo en la empresa, así como las contrataciones referidas a la actividad empresarial. la decisión de traslado actividad empresarial notificada por el empresario al trabajador, así como a sus representantes legales, con una antelación"
representantes legales,Parcialmente encontrado,No,Sí,Sí,No,"deberá ser notificada por el empresario al trabajador, así como a sus representantes legales, con una antelación mínima de treinta representantes legales la fecha de su efectividad. notificada la decisión de traslado, el trabajador tendrá derecho a"
antelación mínima,No encontrado,No,No,No,No,"empresario al trabajador, así como a sus representantes legales, con una antelación mínima de treinta días a la fecha de antelación mínima notificada la decisión de traslado, el trabajador tendrá derecho a optar entre el traslado, percibiendo"
tiempo inferiores,No encontrado,No,No,No,No,por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades. la compensación a tiempo inferiores refiere el primer supuesto comprenderá tanto los gastos propios como los de los familiares a
gastos propios,Parcialmente encontrado,No,Sí,No,No,"supuesto comprenderá tanto los gastos propios como los de los familiares a su cargo, en los términos que se convengan gastos propios partes, y nunca será inferior a los límites mínimos establecidos en los convenios colectivos. sin"
límites mínimos,No encontrado,No,No,No,No,"a los límites mínimos establecidos en los convenios colectivos. sin perjuicio de la ejecutividad del traslado en el plazo de límites mínimos el trabajador que, no habiendo optado por la extinción de su contrato, se muestre disconforme"
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,"en los convenios colectivos. sin perjuicio de la ejecutividad del traslado en el plazo de incorporación citado, el trabajador que, convenios colectivos optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá"
