Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
traslado de trabajadores,traslado,de,trabajadores,traslado,trabajadores,traslado de trabajadores,No,Sí,No,No,No,Parcialmente encontrado,Artículo 40. Movilidad geográfica. 1. El traslado de trabajadores que traslado de trabajadores contratados específicamente para prestar sus servicios en empresas con centros de trabajo móviles o itinerantes
servicios en empresas,servicios,en,empresas,servicio,empresa,servicio en empresa,No,Sí,Sí,No,No,Parcialmente encontrado,de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con servicios en empresas móviles o itinerantes a un centro de trabajo distinto de la misma empresa que exija
centros de trabajo,centros,de,trabajo,centros,trabajo,centros de trabajo,No,No,Sí,No,No,Parcialmente encontrado,sido contratados específicamente para prestar sus servicios en empresas con centros de trabajo móviles o centros de trabajo centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"empresas con centros de trabajo móviles o itinerantes a un centro de trabajo distinto de centro de trabajo que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de"
cambios de residencia,cambios,de,residencia,cambios,residencia,cambios de residencia,No,No,Sí,No,No,Parcialmente encontrado,"centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la cambios de residencia económicas, técnicas, organizativas o de producción que lo justifiquen. Se consideraran tales las que estén"
existencia de razones,existencia,de,razones,existencia,razón,existencia de razón,No,No,Sí,No,No,Parcialmente encontrado,"la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, existencia de razones producción que lo justifiquen. Se consideraran tales las que estén relacionadas con la competitividad, productividad"
decisión de traslado,decisión,de,traslado,decisión,traslado,decisión de traslado,No,Sí,Sí,Sí,No,Parcialmente encontrado,"actividad empresarial. La decisión de traslado deberá ser notificada por el empresario al trabajador, así decisión de traslado representantes legales, con una antelación mínima de treinta días a la fecha de su efectividad."
empresario al trabajador,empresario,al,trabajador,empresario,trabajador,empresario al trabajador,No,Sí,Sí,No,No,Parcialmente encontrado,"notificada por el empresario al trabajador, así como a sus representantes legales, con una antelación empresario al trabajador días a la fecha de su efectividad. Notificada la decisión de traslado, el trabajador tendrá"
decisión de traslado,decisión,de,traslado,decisión,traslado,decisión de traslado,No,Sí,Sí,Sí,No,Parcialmente encontrado,"de traslado, el trabajador tendrá derecho a optar entre el traslado, percibiendo una compensación por decisión de traslado extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de"
compensación por gastos,compensación,por,gastos,compensación,gastos,compensación por gastos,No,Sí,Sí,Sí,No,Parcialmente encontrado,"o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por compensación por gastos prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo"
días de salario,días,de,salario,días,salario,días de salario,No,No,Sí,No,No,Parcialmente encontrado,"de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con días de salario doce mensualidades. La compensación a que se refiere el primer supuesto comprenderá tanto los gastos"
salario por año,salario,por,año,salario,año,salario por año,No,Sí,No,No,No,Parcialmente encontrado,prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo salario por año La compensación a que se refiere el primer supuesto comprenderá tanto los gastos propios como
año de servicio,año,de,servicio,año,servicio,año de servicio,No,No,Sí,No,No,Parcialmente encontrado,meses los periodos de tiempo inferiores a un año y con un máximo de doce año de servicio a que se refiere el primer supuesto comprenderá tanto los gastos propios como los de
periodos de tiempo,periodos,de,tiempo,periodo,tiempo,periodo de tiempo,No,No,No,No,No,No encontrado,"año y con un máximo de doce mensualidades. La compensación a que se refiere el periodos de tiempo tanto los gastos propios como los de los familiares a su cargo, en los términos"
ejecutividad del traslado,ejecutividad,del,traslado,ejecutividad,traslado,ejecutividad del traslado,No,Sí,Sí,No,No,Parcialmente encontrado,"que, no habiendo optado por la extinción de su contrato, se muestre disconforme con la ejecutividad del traslado impugnarla ante la jurisdicción social. La sentencia declarará el traslado justificado o injustificado y, en"
plazo de incorporación,plazo,de,incorporación,plazo,incorporación,plazo de incorporación,No,Sí,No,No,Sí,Parcialmente encontrado,"la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante plazo de incorporación La sentencia declarará el traslado justificado o injustificado y, en este último caso, reconocerá el"
derecho del trabajador,derecho,del,trabajador,derecho,trabajador,derecho del trabajador,No,Sí,Sí,No,No,Parcialmente encontrado,"las previsiones contenidas en el apartado siguiente, la empresa realice traslados en periodos sucesivos de derecho del trabajador número inferior a los umbrales allí señalados, sin que concurran causas nuevas que justifiquen tal"
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"la empresa realice traslados en periodos sucesivos de noventa días en número inferior a los centro de trabajo sin que concurran causas nuevas que justifiquen tal actuación, dichos nuevos traslados se considerarán efectuados"
trabajo de origen,trabajo,de,origen,trabajo,origen,trabajo de origen,No,Sí,No,No,No,Parcialmente encontrado,"realice traslados en periodos sucesivos de noventa días en número inferior a los umbrales allí trabajo de origen concurran causas nuevas que justifiquen tal actuación, dichos nuevos traslados se considerarán efectuados en fraude"
traslados en periodos,traslados,en,periodos,traslado,periodo,traslado en periodo,No,Sí,No,No,No,Parcialmente encontrado,"justifiquen tal actuación, dichos nuevos traslados se considerarán efectuados en fraude de ley y serán traslados en periodos sin efecto. 2. El traslado a que se refiere el apartado anterior deberá ir precedido"
días en número,días,en,número,día,número,día en número,No,No,No,No,No,No encontrado,se considerarán efectuados en fraude de ley y serán declarados nulos y sin efecto. 2. días en número que se refiere el apartado anterior deberá ir precedido de un periodo de consultas con
fraude de ley,fraude,de,ley,fraude,ley,fraude de ley,Sí,Sí,Sí,No,No,Encontrado en glosario,"de un periodo de consultas con los representantes legales de los trabajadores de una duración fraude de ley quince días, cuando afecte a la totalidad del centro de trabajo, siempre que este ocupe"
periodo de consultas,periodo,de,consultas,periodo,consulta,periodo de consulta,No,No,No,No,No,No encontrado,"trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a periodo de consultas centro de trabajo, en un periodo de noventa días comprenda a un número de trabajadores"
totalidad del centro,totalidad,del,centro,totalidad,centro,totalidad del centro,No,No,No,No,No,No encontrado,"de noventa días comprenda a un número de trabajadores de, al menos: a) Diez trabajadores, totalidad del centro que ocupen menos de cien trabajadores. b) El diez por ciento del número de trabajadores"
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"días comprenda a un número de trabajadores de, al menos: a) Diez trabajadores, en las centro de trabajo menos de cien trabajadores. b) El diez por ciento del número de trabajadores de la"
totalidad del centro,totalidad,del,centro,totalidad,centro,totalidad del centro,No,No,No,No,No,No encontrado,trabajadores. b) El diez por ciento del número de trabajadores de la empresa en aquellas totalidad del centro cien y trescientos trabajadores. c) Treinta trabajadores en las empresas que ocupen más de trescientos
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,El diez por ciento del número de trabajadores de la empresa en aquellas que ocupen centro de trabajo trescientos trabajadores. c) Treinta trabajadores en las empresas que ocupen más de trescientos trabajadores. Dicho
número de trabajadores,número,de,trabajadores,número,trabajador,número de trabajador,No,No,Sí,No,No,Parcialmente encontrado,que ocupen entre cien y trescientos trabajadores. c) Treinta trabajadores en las empresas que ocupen número de trabajadores trabajadores. Dicho periodo de consultas deberá versar sobre las causas motivadoras de la decisión empresarial
número de trabajadores,número,de,trabajadores,número,trabajador,número de trabajador,No,No,Sí,No,No,Parcialmente encontrado,"empresarial y la posibilidad de evitar o reducir sus efectos, así como sobre las medidas número de trabajadores sus consecuencias para los trabajadores afectados. La consulta se llevará a cabo en una única"
