Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
grupo profesional,N/A,No encontrado,No,No,"GRUPO PROFESIONAL: protección o su derecho a la asistencia social integral, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo [grupo profesional] o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
grupo profesional,N/A,No encontrado,No,No,"
GRUPO PROFESIONAL: atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo [grupo profesional] , que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
obligación,N/A,No encontrado,No,No,"
OBLIGACIÓN: centro de trabajo tendrá una duración inicial de entre seis y doce meses, durante los cuales la empresa tendrá la [obligación] de reservar el puesto de trabajo que anteriormente ocupaban las personas trabajadoras"
obligación,N/A,No encontrado,No,No,"
OBLIGACIÓN: entre el regreso a su puesto de trabajo anterior o la continuidad en el nuevo, decayendo en este caso la [obligación] de reserva, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
empresario,N/A,No encontrado,No,No," La decisión de traslado deberá ser notificada por el [empresario] al trabajador, así como a sus representantes legales, con una antelación mínima de treinta días a la fecha de su efectividad"
empresario,N/A,No encontrado,No,No," Tras la finalización del periodo de consultas el [empresario] notificará a los trabajadores su decisión sobre el traslado, que se regirá a todos los efectos por lo dispuesto en el apartado 1"
empresario,N/A,No encontrado,No,No," El [empresario] y la representación de los trabajadores podrán acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
empresario,N/A,No encontrado,No,No,"
EMPRESARIO: origen por cada tres meses de desplazamiento, sin computar como tales los de viaje, cuyos gastos correrán a cargo del [empresario] "
periodo de consultas,N/A,No encontrado,No,No," El traslado a que se refiere el apartado anterior deberá ir precedido de un [periodo de consultas] con los representantes legales de los trabajadores de una duración no superior  a quince días, cuando afecte a la totalidad del centro de trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de trabajo, en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
periodo de consultas,N/A,No encontrado,No,No," Dicho [periodo de consultas] deberá versar sobre las causas motivadoras de la decisión empresarial y la posibilidad de evitar o reducir sus efectos, así como sobre las medidas necesarias para atenuar sus consecuencias para los trabajadores afectados"
periodo de consultas,N/A,No encontrado,No,No,"
PERIODO DE CONSULTAS: el plazo máximo para la constitución de la comisión representativa, la dirección de la empresa podrá comunicar el inicio del [periodo de consultas] a los represen - tantes de los trabajadores"
periodo de consultas,N/A,No encontrado,No,No," La falta de constitución de la comisión representativa no impedirá el inicio y transcurso del [periodo de consultas] , y su constitución con posterioridad al inicio del mismo no comportará, en ningún caso, la ampliación de su duración"
periodo de consultas,N/A,No encontrado,No,No, La apertura del [periodo de consultas] y las posiciones de las partes tras su conclusión deberán ser notificadas a la autoridad laboral para su conocimiento
periodo de consultas,N/A,No encontrado,No,No," Durante el [periodo de consultas] , las partes deberán negociar de buena fe, con vistas a la consecución de un acuerdo"
periodo de consultas,N/A,No encontrado,No,No," Tras la finalización del [periodo de consultas] el empresario notificará a los trabajadores su decisión sobre el traslado, que se regirá a todos los efectos por lo dispuesto en el apartado 1"
periodo de consultas,N/A,No encontrado,No,No, El acuerdo con los representantes de los trabajadores en el [periodo de consultas] se entenderá sin perjuicio del derecho de los trabajadores afectados al ejercicio de la opción prevista en el párrafo tercero del apartado 1
periodo de consultas,N/A,No encontrado,No,No," El empresario y la representación de los trabajadores podrán acordar en cualquier momento la sustitución del [periodo de consultas] a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
periodo de consultas,N/A,No encontrado,No,No," Mediante convenio colectivo o acuerdo alcanzado durante el [periodo de consultas] se podrán establecer prioridades de permanencia a favor de trabajadores de otros colectivos, tales como trabajadores con cargas familiares, mayores de determinada edad o personas con discapacidad"
tramitación,N/A,No encontrado,No,No," La interposición del conflicto paralizará la [tramitación] de las acciones individuales iniciadas, hasta su resolución"
gastos de viaje,N/A,No encontrado,No,No,"
GASTOS DE VIAJE: que exijan que estos residan en población distinta de la de su domicilio habitual, abonando, además de los salarios, los [gastos de viaje] y las dietas"
comisión negociadora,N/A,No encontrado,No,No," La consulta se llevará a cabo en una única [comisión negociadora] , si bien, de existir varios centros de trabajo, quedará circunscrita a los centros afectados por el procedimiento"
comisión negociadora,N/A,No encontrado,No,No, La [comisión negociadora] estará integrada por un máximo de trece miembros en representación de cada una de las partes
derecho,N/A,No encontrado,No,No," Notificada la decisión de traslado, el trabajador tendrá [derecho] a optar entre el traslado, percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
derecho,N/A,No encontrado,No,No," La sentencia declarará el traslado justificado o injustificado y, en este último caso, reconocerá el [derecho] del trabajador a ser reincorporado al centro de trabajo de origen"
derecho,N/A,No encontrado,No,No, El acuerdo con los representantes de los trabajadores en el periodo de consultas se entenderá sin perjuicio del [derecho] de los trabajadores afectados al ejercicio de la opción prevista en el párrafo tercero del apartado 1
derecho,N/A,No encontrado,No,No,"
DERECHO: Si por traslado uno de los cónyuges cambia de residencia, el otro, si fuera trabajador de la misma empresa, tendrá [derecho] al traslado a la misma localidad, si hubiera puesto de trabajo"
derecho,N/A,No encontrado,No,No,"
DERECHO: abandonar el puesto de trabajo en la localidad donde venían prestando sus servicios, para hacer efectiva su protección o su [derecho] a la asistencia social integral, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
derecho,N/A,No encontrado,No,No,"
DERECHO: localidad donde venían prestando sus servicios, para hacer efectiva su protección o su derecho a la asistencia social integral, tendrán [derecho] preferente a ocupar otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
derecho,N/A,No encontrado,No,No," Para hacer efectivo su [derecho] de protección a la salud, los trabajadores con discapacidad que acrediten la necesidad de recibir fuera de su localidad un tratamiento de habilitación o rehabilitación médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
