Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
hora diaria de  promedio,Encontrado en glosario,Sí,Sí,No,Sí,No,"trabajo de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un periodo de referencia de hora diaria de  promedio cturno, trabajo a turnos y ritmo de trabajo"
jornada diario de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"a tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en jornada diario de  trabajo urno, trabajo a turnos y ritmo de trabajo"
garantía adicional a el previsto,Encontrado en glosario,Sí,No,No,Sí,No,y garantías adicionales a las previstas en el presente artículo para la realización de trabajo nocturno en ciertas actividades o garantía adicional a el previsto trabajo a turnos y ritmo de trabajo
trabajo nocturno en cierto actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,"de trabajo nocturno en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para trabajo nocturno en cierto actividad ajo a turnos y ritmo de trabajo"
hora diferente en uno periodo,Encontrado en glosario,Sí,No,Sí,Sí,No,"semanas. En las empresas con procesos productivos continuos durante las veinticuatro horas del día, en la organización del trabajo de hora diferente en uno periodo o, trabajo a turnos y ritmo de trabajo"
periodo determinado de  día,Encontrado en glosario,Sí,No,Sí,Sí,No,"con procesos productivos continuos durante las veinticuatro horas del día, en la organización del trabajo de los turnos se tendrá periodo determinado de  día rno, trabajo a turnos y ritmo de trabajo"
seguridad adaptar a el naturaleza,Encontrado en glosario,Sí,No,Sí,Sí,No,"garantizar que los trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su seguridad adaptar a el naturaleza rabajo a turnos y ritmo de trabajo"
evaluación gratuito de su estadir,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo. Los evaluación gratuito de su estadir rabajo a turnos y ritmo de trabajo"
término establecido en el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"reconozcan problemas de salud ligados al hecho de su trabajo nocturno tendrán derecho a ser destinados a un puesto de término establecido en el ley o, trabajo a turnos y ritmo de trabajo"
trabajador nocturno a el que,Encontrado en glosario,Sí,No,No,Sí,No,"y para el que sean profesionalmente aptos. El cambio de puesto de trabajo se llevará a cabo de conformidad con trabajador nocturno a el que no, trabajo a turnos y ritmo de trabajo"
salud ligado al  hecho,Encontrado en glosario,Sí,No,Sí,Sí,No,"de puesto de trabajo se llevará a cabo de conformidad con lo dispuesto en los artículos 39 y 41, en salud ligado al  hecho nocturno, trabajo a turnos y ritmo de trabajo"
principio general de  adaptación,Encontrado en glosario,Sí,No,Sí,Sí,Sí,exigencias deberán ser tenidas particularmente en cuenta a la hora de determinar los periodos de descanso durante la jornada de principio general de  adaptación trabajo a turnos y ritmo de trabajo
