Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
trabajo nocturno,Parcialmente encontrado,No,Sí,No,No,artículo . trabajo nocturno trabajo a turnos y ritmo de trabajo. . a los efectos de lo dispuesto en
trabajo nocturno,Parcialmente encontrado,No,Sí,No,No,"turnos y ritmo de trabajo. . a los efectos de lo dispuesto en esta ley, se considera trabajo nocturno el trabajo nocturno las diez de la noche y las seis de la mañana. el empresario que recurra"
trabajo nocturno,Parcialmente encontrado,No,Sí,No,No,noche y las seis de la mañana. el empresario que recurra regularmente a la realización de trabajo nocturno deberá informar trabajo nocturno a la autoridad laboral. la jornada de trabajo de los trabajadores nocturnos no podrá exceder
autoridad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral. la jornada autoridad laboral de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un"
trabajadores nocturnos,Parcialmente encontrado,No,Sí,No,No,"nocturno deberá informar de ello a la autoridad laboral. la jornada de trabajo de los trabajadores nocturnos no podrá exceder trabajadores nocturnos horas diarias de promedio, en un periodo de referencia de quince días. dichos trabajadores no"
horas diarias,No encontrado,No,No,No,No,"autoridad laboral. la jornada de trabajo de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en horas diarias de referencia de quince días. dichos trabajadores no podrán realizar horas extraordinarias. para la aplicación"
horas extraordinarias,Encontrado en glosario,Sí,No,Sí,Sí,"en un periodo de referencia de quince días. dichos trabajadores no podrán realizar horas extraordinarias. para la aplicación de lo horas extraordinarias el párrafo anterior, se considerará trabajador nocturno a aquel que realice normalmente en periodo nocturno"
párrafo anterior,No encontrado,No,No,No,No,"podrán realizar horas extraordinarias. para la aplicación de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel párrafo anterior normalmente en periodo nocturno una parte no inferior a tres horas de su jornada diaria"
trabajador nocturno,Parcialmente encontrado,No,Sí,No,No,"la aplicación de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel que realice normalmente en periodo trabajador nocturno parte no inferior a tres horas de su jornada diaria de trabajo, así como a"
periodo nocturno,No encontrado,No,No,No,No,"anterior, se considerará trabajador nocturno a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas periodo nocturno jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en"
jornada diaria,No encontrado,No,No,No,No,"periodo nocturno una parte no inferior a tres horas de su jornada diaria de trabajo, así como a aquel que jornada diaria que puede realizar en tal periodo una parte no inferior a un tercio de su"
trabajo anual,Parcialmente encontrado,No,Sí,No,No,"parte no inferior a un tercio de su jornada de trabajo anual. resultará de aplicación a lo establecido en el trabajo anual lo dispuesto en el artículo . igualmente, el gobierno podrá establecer limitaciones y garantías adicionales"
párrafo segundo,No encontrado,No,No,No,No,"anual. resultará de aplicación a lo establecido en el párrafo segundo lo dispuesto en el artículo . igualmente, el gobierno párrafo segundo limitaciones y garantías adicionales a las previstas en el presente artículo para la realización de"
