Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto Completo
empresario,N/A,No encontrado,No,No,"EMPRESARIO: ley, se considera trabajo nocturno el realizado entre las diez de la noche y las seis de la mañana. El  [empresario] que recurra regularmente  a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral."
empresario,N/A,No encontrado,No,No,"
EMPRESARIO: y seguridad adaptado a la naturaleza de su trabajo, y equivalente al de los restantes trabajadores de la empresa. El  [empresario] deberá garantizar que los trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su afectación a un trabajo nocturno y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo."
empresario,N/A,No encontrado,No,No,"
EMPRESARIO: de conformidad con lo dispuesto en los artículos 39 y 41, en su caso, de la presente ley. 5. El  [empresario] que organice el trabajo en la empresa según un cierto ritmo deberá tener en cuenta el principio general de adaptación del trabajo a la persona, especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
derecho,N/A,No encontrado,No,No,"
DERECHO: desarrollo. Los trabajadores nocturnos a los que se reconozcan problemas de salud ligados al hecho de su trabajo nocturno tendrán  [derecho] a ser destinados a un puesto de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos."
autoridad laboral,N/A,No encontrado,No,No,"
AUTORIDAD LABORAL: de la mañana. El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la  [autoridad laboral] ."
jornada,N/A,No encontrado,No,No,"
JORNADA: El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral. La  [jornada] de trabajo de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un periodo de referencia de quince días."
jornada,jornada diaria,No encontrado,No,No,"
JORNADA: considerará trabajador nocturno a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas de su  [jornada] diaria de trabajo, así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual."
jornada,N/A,No encontrado,No,No,"
JORNADA: a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su  [jornada] de trabajo anual."
jornada,N/A,No encontrado,No,No,"
JORNADA: trabajadores. Dichas exigencias deberán ser tenidas particularmente en cuenta a la hora de determinar los periodos de descanso durante la  [jornada] de trabajo."
negociación colectiva,N/A,No encontrado,No,No,"
NEGOCIACIÓN COLECTIVA: que comporten para su salud y seguridad. 2. El trabajo nocturno tendrá una retribución específica que se determinará en la  [negociación colectiva] , salvo que el salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: Artículo 36.  [trabajo] nocturno, trabajo a turnos y ritmo de trabajo."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: Artículo 36. Trabajo nocturno,  [trabajo] a turnos y ritmo de trabajo."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: Artículo 36. Trabajo nocturno, trabajo a turnos y ritmo de  [trabajo] ."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: nocturno, trabajo a turnos y ritmo de trabajo. 1. A los efectos de lo dispuesto en esta ley, se considera  [trabajo] nocturno el realizado entre las diez de la noche y las seis de la mañana."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: las diez de la noche y las seis de la mañana. El empresario que recurra regularmente a la realización de  [trabajo] nocturno deberá informar de ello a la autoridad laboral."
