Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
trabajo a turnos,trabajo,a,turnos,trabajo,turnos,trabajo a turnos,No,Sí,No,No,No,Parcialmente encontrado,"Artículo 36. Trabajo nocturno, trabajo a trabajo a turnos de trabajo. 1. A los efectos de lo dispuesto en esta ley, se considera trabajo"
ritmo de trabajo,ritmo,de,trabajo,ritmo,trabajo,ritmo de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"Artículo 36. Trabajo nocturno, trabajo a turnos y ritmo de ritmo de trabajo los efectos de lo dispuesto en esta ley, se considera trabajo nocturno el realizado entre"
realización de trabajo,realización,de,trabajo,realización,trabajo,realización de trabajo,No,No,Sí,Sí,No,Parcialmente encontrado,El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello realización de trabajo laboral. La jornada de trabajo de los trabajadores nocturnos no podrá exceder de ocho horas
jornada de trabajo,jornada,de,trabajo,jornada,trabajo,jornada de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"a la autoridad laboral. La jornada de trabajo de los trabajadores nocturnos no podrá exceder jornada de trabajo diarias de promedio, en un periodo de referencia de quince días. Dichos trabajadores no podrán"
periodo de referencia,periodo,de,referencia,periodo,referencia,periodo de referencia,No,No,No,No,No,No encontrado,"de promedio, en un periodo de referencia de quince días. Dichos trabajadores no podrán realizar periodo de referencia la aplicación de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel"
jornada de trabajo,jornada,de,trabajo,jornada,trabajo,jornada de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"de trabajo anual. Resultará de aplicación a lo establecido en el párrafo segundo lo dispuesto jornada de trabajo 34.7 Igualmente, el Gobierno podrá establecer limitaciones y garantías adicionales a las previstas en el"
realización de trabajo,realización,de,trabajo,realización,trabajo,realización de trabajo,No,No,Sí,Sí,No,Parcialmente encontrado,"en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que realización de trabajo salud y seguridad. 2. El trabajo nocturno tendrá una retribución específica que se determinará en"
categoría de trabajadores,categoría,de,trabajadores,categoría,trabajadores,categoría de trabajadores,No,Sí,No,No,No,Parcialmente encontrado,"función de los riesgos que comporten para su salud y seguridad. 2. El trabajo nocturno categoría de trabajadores específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido"
trabajo por descansos,trabajo,por,descansos,trabajo,descansos,trabajo por descansos,No,Sí,No,No,No,Parcialmente encontrado,"toda forma de organización del trabajo en equipo según la cual los trabajadores ocupan sucesivamente trabajo por descansos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad"
trabajo a turnos,trabajo,a,turnos,trabajo,turnos,trabajo a turnos,No,Sí,No,No,No,Parcialmente encontrado,"la cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, trabajo a turnos implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un"
forma de organización,forma,de,organización,forma,organización,forma de organización,No,No,No,No,Sí,No encontrado,"ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando forma de organización la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días"
organización del trabajo,organización,del,trabajo,organización,trabajo,organización del trabajo,Sí,No,Sí,Sí,No,Encontrado en glosario,"los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el organización del trabajo de prestar sus servicios en horas diferentes en un periodo determinado de días o de"
trabajo en equipo,trabajo,en,equipo,trabajo,equipo,trabajo en equipo,No,Sí,No,No,No,Parcialmente encontrado,"puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la trabajo en equipo sus servicios en horas diferentes en un periodo determinado de días o de semanas. En"
puestos de trabajo,puestos,de,trabajo,puestos,trabajo,puestos de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado puestos de trabajo de semanas. En las empresas con procesos productivos continuos durante las veinticuatro horas del día,"
servicios en horas,servicios,en,horas,servicio,hora,servicio en hora,No,Sí,No,No,No,Parcialmente encontrado,"empresas con procesos productivos continuos durante las veinticuatro horas del día, en la organización del servicios en horas turnos se tendrá en cuenta la rotación de los mismos y que ningún trabajador esté"
empresas con procesos,empresas,con,procesos,empresa,proceso,empresa con proceso,No,Sí,Sí,No,No,Parcialmente encontrado,"los turnos se tendrá en cuenta la rotación de los mismos y que ningún trabajador empresas con procesos de noche más de dos semanas consecutivas, salvo adscripción voluntaria. Las empresas que por la"
horas del día,horas,del,día,hora,día,hora del día,No,No,No,No,No,No encontrado,de los mismos y que ningún trabajador esté en el de noche más de dos horas del día adscripción voluntaria. Las empresas que por la naturaleza de su actividad realicen el trabajo en
organización del trabajo,organización,del,trabajo,organización,trabajo,organización del trabajo,Sí,No,Sí,Sí,No,Encontrado en glosario,"trabajador esté en el de noche más de dos semanas consecutivas, salvo adscripción voluntaria. Las organización del trabajo la naturaleza de su actividad realicen el trabajo en régimen de turnos, incluidos los domingos"
trabajo en régimen,trabajo,en,régimen,trabajo,régimen,trabajo en régimen,No,Sí,Sí,No,No,Parcialmente encontrado,"actividad por semanas completas, o contratando personal para completar los equipos necesarios durante uno o trabajo en régimen la semana. 4. Los trabajadores nocturnos y quienes trabajen a turnos deberán gozar en todo"
