Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
periodo de vacaciones,periodo,de,vacaciones,periodo,vacaciones,periodo de vacaciones,No,No,Sí,No,No,Parcialmente encontrado,"Artículo 38. Vacaciones anuales. 1. El periodo de vacaciones anuales periodo de vacaciones por compensación económica, será el pactado en convenio colectivo o contrato individual. En ningún caso"
caso de desacuerdo,caso,de,desacuerdo,caso,desacuerdo,caso de desacuerdo,No,No,No,No,No,No encontrado,"En caso de desacuerdo entre las partes, la jurisdicción social fijará la fecha que para caso de desacuerdo y su decisión será irrecurrible. El procedimiento será sumario y preferente. 3. El calendario de"
calendario de vacaciones,calendario,de,vacaciones,calendario,vacaciones,calendario de vacaciones,Sí,No,Sí,No,No,Encontrado en glosario,"fijará en cada empresa. El trabajador conocerá las fechas que le correspondan dos meses antes, calendario de vacaciones comienzo del disfrute. Cuando el periodo de vacaciones fijado en el calendario de vacaciones de"
comienzo del disfrute,comienzo,del,disfrute,comienzo,disfrutir,comienzo del disfrutir,No,No,No,No,No,No encontrado,"vacaciones fijado en el calendario de vacaciones de la empresa al que se refiere el comienzo del disfrute en el tiempo con una incapacidad temporal derivada del embarazo, el parto o la lactancia"
periodo de vacaciones,periodo,de,vacaciones,periodo,vacaciones,periodo de vacaciones,No,No,Sí,No,No,Parcialmente encontrado,"de la empresa al que se refiere el párrafo anterior coincida en el tiempo con periodo de vacaciones derivada del embarazo, el parto o la lactancia natural o con el periodo de suspensión"
calendario de vacaciones,calendario,de,vacaciones,calendario,vacaciones,calendario de vacaciones,Sí,No,Sí,No,No,Encontrado en glosario,"refiere el párrafo anterior coincida en el tiempo con una incapacidad temporal derivada del embarazo, calendario de vacaciones la lactancia natural o con el periodo de suspensión del contrato de trabajo previsto en"
periodo de suspensión,periodo,de,suspensión,periodo,suspensión,periodo de suspensión,No,No,Sí,No,Sí,Parcialmente encontrado,"apartados 4, 5 y 7 del artículo 48, se tendrá derecho a disfrutar las vacaciones periodo de suspensión a la de la incapacidad temporal o a la del disfrute del permiso que por"
suspensión del contrato,suspensión,del,contrato,suspensión,contrato,suspensión del contrato,No,Sí,Sí,Sí,No,Parcialmente encontrado,"5 y 7 del artículo 48, se tendrá derecho a disfrutar las vacaciones en fecha suspensión del contrato de la incapacidad temporal o a la del disfrute del permiso que por aplicación de"
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,"7 del artículo 48, se tendrá derecho a disfrutar las vacaciones en fecha distinta a contrato de trabajo incapacidad temporal o a la del disfrute del permiso que por aplicación de dicho precepto"
vacaciones en fecha,vacaciones,en,fecha,vacaciones,fecha,vacaciones en fecha,No,Sí,No,No,No,Parcialmente encontrado,"la del disfrute del permiso que por aplicación de dicho precepto le correspondiera, al finalizar vacaciones en fecha suspensión, aunque haya terminado el año natural a que correspondan. En el supuesto de que"
disfrute del permiso,disfrute,del,permiso,disfrute,permiso,disfrute del permiso,No,No,Sí,No,No,Parcialmente encontrado,"finalizar el periodo de suspensión, aunque haya terminado el año natural a que correspondan. En disfrute del permiso que el periodo de vacaciones coincida con una incapacidad temporal por contingencias distintas a las"
periodo de suspensión,periodo,de,suspensión,periodo,suspensión,periodo de suspensión,No,No,Sí,No,Sí,Parcialmente encontrado,"el supuesto de que el periodo de vacaciones coincida con una incapacidad temporal por contingencias periodo de suspensión señaladas en el párrafo anterior que imposibilite al trabajador disfrutarlas, total o parcialmente, durante el"
periodo de vacaciones,periodo,de,vacaciones,periodo,vacaciones,periodo de vacaciones,No,No,Sí,No,No,Parcialmente encontrado,"párrafo anterior que imposibilite al trabajador disfrutarlas, total o parcialmente, durante el año natural a periodo de vacaciones trabajador podrá hacerlo una vez finalice su incapacidad y siempre que no hayan transcurrido más"
meses a partir,meses,a,partir,mes,partir,mes a partir,No,No,No,No,No,No encontrado,dEL contRato dE tRaBajo Sección 1.ª Movilidad funcional y geográfica meses a partir
final del año,final,del,año,final,año,final del año,No,No,No,No,No,No encontrado,Sección 1.ª Movilidad funcional y geográfica final del año
