Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
vacaciones anuales,Parcialmente encontrado,No,Sí,No,No,"artículo . vacaciones anuales . el periodo de vacaciones anuales retribuidas, no sustituible por compensación económica, será el pactado"
vacaciones anuales,Parcialmente encontrado,No,Sí,No,No,"artículo . vacaciones anuales. . el periodo de vacaciones vacaciones anuales no sustituible por compensación económica, será el pactado en convenio colectivo o contrato individual. en"
compensación económica,Parcialmente encontrado,No,Sí,Sí,Sí,"artículo . vacaciones anuales. . el periodo de vacaciones anuales retribuidas, no sustituible por compensación económica, compensación económica pactado en convenio colectivo o contrato individual. en ningún caso la duración será inferior a"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"anuales. . el periodo de vacaciones anuales retribuidas, no sustituible por compensación económica, será el pactado en convenio colectivo o convenio colectivo en ningún caso la duración será inferior a treinta días naturales. . el periodo o"
contrato individual,Parcialmente encontrado,No,Sí,Sí,No,"periodo de vacaciones anuales retribuidas, no sustituible por compensación económica, será el pactado en convenio colectivo o contrato individual. en contrato individual la duración será inferior a treinta días naturales. . el periodo o periodos de su"
días naturales,Parcialmente encontrado,No,No,Sí,Sí,"pactado en convenio colectivo o contrato individual. en ningún caso la duración será inferior a treinta días naturales. . el días naturales periodos de su disfrute se fijará de común acuerdo entre el empresario y el trabajador,"
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,"empresario y el trabajador, de conformidad con lo establecido en su caso en los convenios colectivos sobre planificación anual de convenios colectivos en caso de desacuerdo entre las partes, la jurisdicción social fijará la fecha que para"
planificación anual,Parcialmente encontrado,No,Sí,No,No,"trabajador, de conformidad con lo establecido en su caso en los convenios colectivos sobre planificación anual de las vacaciones. en planificación anual desacuerdo entre las partes, la jurisdicción social fijará la fecha que para el disfrute corresponda"
jurisdicción social,Encontrado en glosario,Sí,Sí,Sí,Sí,"anual de las vacaciones. en caso de desacuerdo entre las partes, la jurisdicción social fijará la fecha que para el jurisdicción social y su decisión será irrecurrible. el procedimiento será sumario y preferente. . el calendario de"
disfrute corresponda,No encontrado,No,No,No,No,"entre las partes, la jurisdicción social fijará la fecha que para el disfrute corresponda y su decisión será irrecurrible. el disfrute corresponda sumario y preferente. . el calendario de vacaciones se fijará en cada empresa. el trabajador"
vacaciones fijado,Parcialmente encontrado,No,Sí,No,No,"del disfrute. cuando el periodo de vacaciones fijado en el calendario de vacaciones de la empresa al que se refiere vacaciones fijado anterior coincida en el tiempo con una incapacidad temporal derivada del embarazo, el parto o"
párrafo anterior,No encontrado,No,No,No,No,"empresa al que se refiere el párrafo anterior coincida en el tiempo con una incapacidad temporal derivada del embarazo, el párrafo anterior la lactancia natural o con el periodo de suspensión del contrato de trabajo previsto en"
incapacidad temporal,Encontrado en glosario,Sí,Sí,Sí,No,"coincida en el tiempo con una incapacidad temporal derivada del embarazo, el parto o la lactancia natural o con el incapacidad temporal suspensión del contrato de trabajo previsto en los apartados , y del artículo , se"
lactancia natural,Parcialmente encontrado,No,Sí,Sí,Sí,"embarazo, el parto o la lactancia natural o con el periodo de suspensión del contrato de trabajo previsto en los lactancia natural y del artículo , se tendrá derecho a disfrutar las vacaciones en fecha distinta a"
trabajo previsto,Parcialmente encontrado,No,Sí,No,No,"de suspensión del contrato de trabajo previsto en los apartados , y del artículo , se tendrá derecho a disfrutar trabajo previsto en fecha distinta a la de la incapacidad temporal o a la del disfrute del"
fecha distinta,No encontrado,No,No,No,No,"a disfrutar las vacaciones en fecha distinta a la de la incapacidad temporal o a la del disfrute del permiso fecha distinta aplicación de dicho precepto le correspondiera, al finalizar el periodo de suspensión, aunque haya terminado"
incapacidad temporal,Encontrado en glosario,Sí,Sí,Sí,No,"distinta a la de la incapacidad temporal o a la del disfrute del permiso que por aplicación de dicho precepto incapacidad temporal al finalizar el periodo de suspensión, aunque haya terminado el año natural a que correspondan."
año natural,Parcialmente encontrado,No,No,Sí,Sí,"haya terminado el año natural a que correspondan. en el supuesto de que el periodo de vacaciones coincida con una año natural por contingencias distintas a las señaladas en el párrafo anterior que imposibilite al trabajador disfrutarlas,"
vacaciones coincida,Parcialmente encontrado,No,Sí,No,No,"periodo de vacaciones coincida con una incapacidad temporal por contingencias distintas a las señaladas en el párrafo anterior que imposibilite vacaciones coincida disfrutarlas, total o parcialmente, durante el año natural a que corresponden, el trabajador podrá hacerlo"
incapacidad temporal,Encontrado en glosario,Sí,Sí,Sí,No,"con una incapacidad temporal por contingencias distintas a las señaladas en el párrafo anterior que imposibilite al trabajador disfrutarlas, total incapacidad temporal durante el año natural a que corresponden, el trabajador podrá hacerlo una vez finalice su"
contingencias distintas,No encontrado,No,No,No,No,"temporal por contingencias distintas a las señaladas en el párrafo anterior que imposibilite al trabajador disfrutarlas, total o parcialmente, durante contingencias distintas natural a que corresponden, el trabajador podrá hacerlo una vez finalice su incapacidad y siempre"
párrafo anterior,No encontrado,No,No,No,No,"en el párrafo anterior que imposibilite al trabajador disfrutarlas, total o parcialmente, durante el año natural a que corresponden, el párrafo anterior hacerlo una vez finalice su incapacidad y siempre que no hayan transcurrido más de dieciocho"
año natural,Parcialmente encontrado,No,No,Sí,Sí,"año natural a que corresponden, el trabajador podrá hacerlo una vez finalice su incapacidad y siempre que no hayan transcurrido año natural dieciocho meses a partir del final del año en que se hayan originado. capítulo iii"
movilidad funcional,Encontrado en glosario,Sí,No,Sí,Sí,y geográfica movilidad funcional
