Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
trabajadores menores,Parcialmente encontrado,No,Sí,Sí,No,de los menores. . se prohíbe la admisión al trabajo a los menores de dieciséis años. . los trabajadores menores trabajadores menores años no podrán realizar trabajos nocturnos ni aquellas actividades o puestos de trabajo respecto a
trabajos nocturnos,Parcialmente encontrado,No,Sí,No,No,al trabajo a los menores de dieciséis años. . los trabajadores menores de dieciocho años no podrán realizar trabajos nocturnos trabajos nocturnos actividades o puestos de trabajo respecto a los que se establezcan limitaciones a su contratación
riesgos laborales,Encontrado en glosario,Sí,Sí,Sí,Sí,"su contratación conforme a lo dispuesto en la ley /, de de noviembre, de prevención de riesgos laborales, y en riesgos laborales reglamentarias aplicables. . se prohíbe realizar horas extraordinarias a los menores de dieciocho años. ."
normas reglamentarias,Parcialmente encontrado,No,Sí,No,No,"en la ley /, de de noviembre, de prevención de riesgos laborales, y en las normas reglamentarias aplicables. . se normas reglamentarias horas extraordinarias a los menores de dieciocho años. . la intervención de los menores de"
horas extraordinarias,Encontrado en glosario,Sí,No,Sí,Sí,"prevención de riesgos laborales, y en las normas reglamentarias aplicables. . se prohíbe realizar horas extraordinarias a los menores de horas extraordinarias . la intervención de los menores de dieciséis años en espectáculos públicos solo se autorizará"
espectáculos públicos,Parcialmente encontrado,No,No,Sí,Sí,"de dieciocho años. . la intervención de los menores de dieciséis años en espectáculos públicos solo se autorizará en casos espectáculos públicos la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación"
casos excepcionales,No encontrado,No,No,No,No,"de los menores de dieciséis años en espectáculos públicos solo se autorizará en casos excepcionales por la autoridad laboral, siempre casos excepcionales suponga peligro para su salud ni para su formación profesional y humana. el permiso deberá"
autoridad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"dieciséis años en espectáculos públicos solo se autorizará en casos excepcionales por la autoridad laboral, siempre que no suponga peligro autoridad laboral salud ni para su formación profesional y humana. el permiso deberá constar por escrito y"
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana. el permiso deberá constar formación profesional y para actos determinados."
actos determinados,Parcialmente encontrado,No,Sí,No,No,profesional y humana. el permiso deberá constar por escrito y para actos determinados. actos determinados
