Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
formación profesional en el trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,Artículo 23. Promoción y formación formación profesional en el trabajo
régimen instaurado en el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"y a acceder al trabajo a distancia, si tal es el régimen instaurado en la empresa, y el puesto o régimen instaurado en el empresa ión profesional en el trabajo"
regularidad estudio para el obtención,Parcialmente encontrado,No,No,Sí,No,No,"esta forma de realización del trabajo, cuando curse con regularidad estudios para la obtención de un título académico o profesional. regularidad estudio para el obtención rofesional en el trabajo"
jornada ordinario de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,b) A la adaptación de la jornada ordinaria de trabajo para la asistencia a cursos de formación profesional. c) A jornada ordinario de  trabajo mación profesional en el trabajo
permiso oportuno de  formación,Encontrado en glosario,Sí,No,Sí,Sí,No,concesión de los permisos oportunos de formación o perfeccionamiento profesional con reserva del puesto de trabajo. d) A la formación permiso oportuno de  formación ación profesional en el trabajo
perfeccionamiento profesional con  reserva,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,de formación o perfeccionamiento profesional con reserva del puesto de trabajo. d) A la formación necesaria para su adaptación a perfeccionamiento profesional con  reserva ional en el trabajo
formación necesario para su adaptación,Encontrado en glosario,Sí,No,Sí,Sí,No,formación necesaria para su adaptación a las modificaciones operadas en el puesto de trabajo. La misma correrá a cargo de formación necesario para su adaptación ofesional en el trabajo
modificación operada en el puesto,Encontrado en glosario,Sí,No,Sí,Sí,No,"modificaciones operadas en el puesto de trabajo. La misma correrá a cargo de la empresa, sin perjuicio de la posibilidad modificación operada en el puesto ón profesional en el trabajo"
crédito destinado a el formación,Encontrado en glosario,Sí,No,Sí,Sí,No,a la formación. El tiempo destinado a la formación se considerará en todo caso tiempo de trabajo efectivo. 2. En crédito destinado a el formación ión profesional en el trabajo
tiempo destinado a el formación,Encontrado en glosario,Sí,No,Sí,Sí,No,la formación se considerará en todo caso tiempo de trabajo efectivo. 2. En la negociación colectiva se pactarán los términos tiempo destinado a el formación ción profesional en el trabajo
hora anual de  formación,Encontrado en glosario,Sí,No,Sí,Sí,No,"de la empresa, acumulables por un periodo de hasta cinco años. El derecho se entenderá cumplido en todo caso cuando hora anual de  formación y formación profesional en el trabajo"
formación profesional para el empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"acumulables por un periodo de hasta cinco años. El derecho se entenderá cumplido en todo caso cuando el trabajador pueda formación profesional para el empleo , vinculada a la actividad de la empresa, acumulables por un periodo de hasta cinco años"
formación desarrollado por  iniciativa,Encontrado en glosario,Sí,No,No,Sí,No,no podrá comprenderse en el derecho a que se refiere este apartado la formación que deba obligatoriamente impartir la empresa formación desarrollado por  iniciativa ofesional en el trabajo
