Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,artículo . promoción y formación profesional en el trabajo. . el trabajador tendrá derecho: a al disfrute de los permisos necesarios
permisos necesarios,Parcialmente encontrado,No,Sí,No,No,". promoción y formación profesional en el trabajo. . el trabajador tendrá derecho: a al disfrute de los permisos necesarios permisos necesarios a exámenes, así como a una preferencia a elegir turno de trabajo y a acceder"
régimen instaurado,Parcialmente encontrado,No,Sí,No,No,"a elegir turno de trabajo y a acceder al trabajo a distancia, si tal es el régimen instaurado en la régimen instaurado el puesto o funciones son compatibles con esta forma de realización del trabajo, cuando curse"
regularidad estudios,No encontrado,No,No,No,No,"o funciones son compatibles con esta forma de realización del trabajo, cuando curse con regularidad estudios para la obtención de regularidad estudios académico o profesional. b a la adaptación de la jornada ordinaria de trabajo para la"
título académico,Parcialmente encontrado,No,Sí,No,No,"de realización del trabajo, cuando curse con regularidad estudios para la obtención de un título académico o profesional. b a título académico de la jornada ordinaria de trabajo para la asistencia a cursos de formación profesional. c"
jornada ordinaria,Parcialmente encontrado,No,No,Sí,Sí,obtención de un título académico o profesional. b a la adaptación de la jornada ordinaria de trabajo para la asistencia jornada ordinaria de formación profesional. c a la concesión de los permisos oportunos de formación o perfeccionamiento
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,adaptación de la jornada ordinaria de trabajo para la asistencia a cursos de formación profesional. c a la concesión de formación profesional oportunos de formación o perfeccionamiento profesional con reserva del puesto de trabajo. d a la
permisos oportunos,Parcialmente encontrado,No,Sí,No,No,asistencia a cursos de formación profesional. c a la concesión de los permisos oportunos de formación o perfeccionamiento profesional con permisos oportunos puesto de trabajo. d a la formación necesaria para su adaptación a las modificaciones operadas
perfeccionamiento profesional,Parcialmente encontrado,No,No,Sí,Sí,profesional. c a la concesión de los permisos oportunos de formación o perfeccionamiento profesional con reserva del puesto de trabajo. perfeccionamiento profesional la formación necesaria para su adaptación a las modificaciones operadas en el puesto de trabajo.
formación necesaria,No encontrado,No,No,No,No,"perfeccionamiento profesional con reserva del puesto de trabajo. d a la formación necesaria para su adaptación a las modificaciones operadas formación necesaria puesto de trabajo. la misma correrá a cargo de la empresa, sin perjuicio de la"
modificaciones operadas,No encontrado,No,No,No,No,"trabajo. d a la formación necesaria para su adaptación a las modificaciones operadas en el puesto de trabajo. la misma modificaciones operadas cargo de la empresa, sin perjuicio de la posibilidad de obtener a tal efecto los"
créditos destinados,Parcialmente encontrado,No,Sí,No,No,de la posibilidad de obtener a tal efecto los créditos destinados a la formación. el tiempo destinado a la formación créditos destinados en todo caso tiempo de trabajo efectivo. . en la negociación colectiva se pactarán los
tiempo destinado,No encontrado,No,No,No,No,"efecto los créditos destinados a la formación. el tiempo destinado a la formación se considerará en todo caso tiempo de tiempo destinado . en la negociación colectiva se pactarán los términos del ejercicio de estos derechos, que"
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"formación se considerará en todo caso tiempo de trabajo efectivo. . en la negociación colectiva se pactarán los términos del trabajo efectivo estos derechos, que se acomodarán a criterios y sistemas que garanticen la ausencia de discriminación,"
negociación colectiva,Encontrado en glosario,Sí,Sí,Sí,Sí,"tiempo de trabajo efectivo. . en la negociación colectiva se pactarán los términos del ejercicio de estos derechos, que se negociación colectiva criterios y sistemas que garanticen la ausencia de discriminación, tanto directa como indirecta, entre trabajadores"
permiso retribuido,Parcialmente encontrado,No,Sí,No,No,"derecho a un permiso retribuido de veinte horas anuales de formación profesional para el empleo, vinculada a la actividad de permiso retribuido acumulables por un periodo de hasta cinco años. el derecho se entenderá cumplido en todo"
horas anuales,No encontrado,No,No,No,No,"retribuido de veinte horas anuales de formación profesional para el empleo, vinculada a la actividad de la empresa, acumulables por horas anuales de hasta cinco años. el derecho se entenderá cumplido en todo caso cuando el trabajador"
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"horas anuales de formación profesional para el empleo, vinculada a la actividad de la empresa, acumulables por un periodo de formación profesional años. el derecho se entenderá cumplido en todo caso cuando el trabajador pueda realizar las"
acciones formativas,Parcialmente encontrado,No,Sí,No,No,"acciones formativas dirigidas a la obtención de la formación profesional para el empleo en el marco de un plan de acciones formativas por iniciativa empresarial o comprometido por la negociación colectiva. sin perjuicio de lo anterior, no"
formación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"formación profesional para el empleo en el marco de un plan de formación desarrollado por iniciativa empresarial o comprometido por formación profesional colectiva. sin perjuicio de lo anterior, no podrá comprenderse en el derecho a que se"
formación desarrollado,No encontrado,No,No,No,No,"formación desarrollado por iniciativa empresarial o comprometido por la negociación colectiva. sin perjuicio de lo anterior, no podrá comprenderse en formación desarrollado a que se refiere este apartado la formación que deba obligatoriamente impartir la empresa a"
iniciativa empresarial,Parcialmente encontrado,No,No,Sí,No,"iniciativa empresarial o comprometido por la negociación colectiva. sin perjuicio de lo anterior, no podrá comprenderse en el derecho a iniciativa empresarial refiere este apartado la formación que deba obligatoriamente impartir la empresa a su cargo conforme"
negociación colectiva,Encontrado en glosario,Sí,Sí,Sí,Sí,"negociación colectiva. sin perjuicio de lo anterior, no podrá comprenderse en el derecho a que se refiere este apartado la negociación colectiva deba obligatoriamente impartir la empresa a su cargo conforme a lo previsto en otras leyes."
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,concreción del modo de disfrute del permiso se fijará de mutuo acuerdo entre trabajador y empresario. convenio colectivo
