Término,Patrón N+ADJ,Ubicación,Contexto
análisis,grupos profesionales,Contexto,"ANÁLISIS: asignadas al trabajador. La definición de los grupos profesionales se ajustará a criterios y sistemas que, basados en un [análisis] correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres."
ausencia,análisis correlacional,Contexto,"AUSENCIA: un análisis correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la [ausencia] de discriminación, tanto directa como indirecta, entre mujeres y hombres."
empresario,grupo profesional,Contexto,"EMPRESARIO: sistemas, en todo caso, cumplirán con lo previsto en el artículo . . Por acuerdo entre el trabajador y el [empresario] se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas."
defecto,clasificación profesional,Contexto,"DEFECTO: Artículo . Sistema de clasificación profesional. Mediante la negociación colectiva o, en su [defecto] , acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales."
prestación,grupo profesional,Contexto,"PRESTACIÓN: profesionales. Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la [prestación] , y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador."
prestación,grupo profesional,Contexto,PRESTACIÓN: entre el trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la [prestación] laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
negociación colectiva,negociación colectiva,Término,"NEGOCIACIÓN COLECTIVA: Artículo . Sistema de clasificación profesional. Mediante la [negociación colectiva] o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales."
trabajo,grupos profesionales,Contexto,"TRABAJO: grupos profesionales se ajustará a criterios y sistemas que, basados en un análisis correlacional entre sesgos de género, puestos de [trabajo] , criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres."
trabajo,grupo profesional,Contexto,TRABAJO: se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de [trabajo] la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
contrato,grupo profesional,Contexto,CONTRATO: el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del [contrato] de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
contenido,grupos profesionales,Contexto,"CONTENIDO: por medio de grupos profesionales. Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y [contenido] general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador."
contenido,grupo profesional,Contexto,CONTENIDO: . Por acuerdo entre el trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como [contenido] de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
empresa,clasificación profesional,Contexto,"EMPRESA: Artículo . Sistema de clasificación profesional. Mediante la negociación colectiva o, en su defecto, acuerdo entre la [empresa] y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales."
contrato de trabajo,grupo profesional,Contexto,CONTRATO DE TRABAJO: el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del [contrato de trabajo] la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
grupo profesional,grupo profesional,Término,"GRUPO PROFESIONAL: trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales. Se entenderá por [grupo profesional] el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador."
grupo profesional,grupo profesional,Término,GRUPO PROFESIONAL: lo previsto en el artículo . . Por acuerdo entre el trabajador y el empresario se asignará al trabajador un [grupo profesional] y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
grupo profesional,grupo profesional,Término,GRUPO PROFESIONAL: establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al [grupo profesional] asignado o solamente de alguna de ellas.
objeto del contrato,grupo profesional,Contexto,OBJETO DEL CONTRATO: trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral [objeto del contrato] de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
sistema de clasificación profesional,clasificación profesional,Término,SISTEMA DE CLASIFICACIÓN PROFESIONAL: Artículo . [sistema de clasificación profesional] .
sistema de clasificación profesional,clasificación profesional,Término,"SISTEMA DE CLASIFICACIÓN PROFESIONAL: la negociación colectiva o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el [sistema de clasificación profesional] de los trabajadores por medio de grupos profesionales."
trabajador,contenido general,Contexto,"TRABAJADOR: profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al [trabajador] ."
trabajador,grupo profesional,Contexto,"TRABAJADOR: Estos criterios y sistemas, en todo caso, cumplirán con lo previsto en el artículo . . Por acuerdo entre el [trabajador] y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas."
trabajador,grupo profesional,Contexto,TRABAJADOR: cumplirán con lo previsto en el artículo . . Por acuerdo entre el trabajador y el empresario se asignará al [trabajador] un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas.
