Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
clasificación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"artículo . sistema de clasificación profesional . mediante la negociación colectiva o, en su defecto, acuerdo entre la empresa y los"
negociación colectiva,Encontrado en glosario,Sí,Sí,Sí,Sí,"artículo . sistema de clasificación profesional. . mediante la negociación negociación colectiva en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá"
clasificación profesional,Encontrado en glosario,Sí,No,Sí,Sí,"defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los clasificación profesional medio de grupos profesionales. . se entenderá por grupo profesional el que agrupe unitariamente las"
grupos profesionales,Encontrado en glosario,Sí,No,Sí,Sí,"de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales. . se grupos profesionales grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la"
grupo profesional,Encontrado en glosario,Sí,No,Sí,Sí,"de clasificación profesional de los trabajadores por medio de grupos profesionales. . se entenderá por grupo profesional el que agrupe grupo profesional aptitudes profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones,"
aptitudes profesionales,Encontrado en glosario,Sí,No,Sí,Sí,"medio de grupos profesionales. . se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido aptitudes profesionales la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador."
contenido general,Parcialmente encontrado,No,No,Sí,Sí,"se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación, y contenido general distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador. . la definición de los"
especialidades profesionales,Parcialmente encontrado,No,No,Sí,Sí,"contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador. . la especialidades profesionales los grupos profesionales se ajustará a criterios y sistemas que, basados en un análisis correlacional"
responsabilidades asignadas,Parcialmente encontrado,No,Sí,No,No,"la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador. . la definición de los responsabilidades asignadas se ajustará a criterios y sistemas que, basados en un análisis correlacional entre sesgos de"
grupos profesionales,Encontrado en glosario,Sí,No,Sí,Sí,"o responsabilidades asignadas al trabajador. . la definición de los grupos profesionales se ajustará a criterios y sistemas que, basados grupos profesionales análisis correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan"
análisis correlacional,Parcialmente encontrado,No,Sí,No,No,"ajustará a criterios y sistemas que, basados en un análisis correlacional entre sesgos de género, puestos de trabajo, criterios de análisis correlacional retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres"
grupo profesional,Encontrado en glosario,Sí,No,Sí,Sí,un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de grupo profesional funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas. cuando se acuerde
prestación laboral,Parcialmente encontrado,No,Sí,Sí,Sí,la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o prestación laboral alguna de ellas. cuando se acuerde la polivalencia funcional o la realización de funciones propias
funciones correspondientes,No encontrado,No,No,No,No,"las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas. cuando se acuerde la polivalencia funcional o funciones correspondientes de funciones propias de más de un grupo, la equiparación se realizará en virtud de"
grupo profesional,Encontrado en glosario,Sí,No,Sí,Sí,"al grupo profesional asignado o solamente de alguna de ellas. cuando se acuerde la polivalencia funcional o la realización de grupo profesional de más de un grupo, la equiparación se realizará en virtud de las funciones que"
polivalencia funcional,Encontrado en glosario,Sí,No,Sí,Sí,"polivalencia funcional o la realización de funciones propias de más de un grupo, la equiparación se realizará en virtud de polivalencia funcional que se desempeñen durante mayor tiempo."
funciones propias,No encontrado,No,No,No,No,"funciones propias de más de un grupo, la equiparación se realizará en virtud de las funciones que se desempeñen durante funciones propias"
