Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
garantías del salario,garantías,del,salario,garantías,salario,garantías del salario,No,No,Sí,No,No,Parcialmente encontrado,Artículo 32. Garantías garantías del salario Los créditos salariales por los últimos treinta días de trabajo y en cuantía que no
días de trabajo,días,de,trabajo,días,trabajo,días de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"Garantías del salario. 1. Los créditos salariales por los últimos treinta días de trabajo y días de trabajo no supere el doble del salario mínimo interprofesional gozarán de preferencia sobre cualquier otro crédito,"
posesión del empresario,posesión,del,empresario,posesión,empresario,posesión del empresario,No,Sí,Sí,Sí,No,Parcialmente encontrado,trabajadores mientras sean propiedad o estén en posesión del empresario. 3. Los créditos por salarios posesión del empresario los apartados anteriores tendrán la condición de singularmente privilegiados en la cuantía que resulte de
créditos por salarios,créditos,por,salarios,crédito,salario,crédito por salario,No,Sí,Sí,No,No,Parcialmente encontrado,del empresario. 3. Los créditos por salarios no protegidos en los apartados anteriores tendrán la créditos por salarios privilegiados en la cuantía que resulte de multiplicar el triple del salario mínimo interprofesional por
triple del salario,triple,del,salario,triple,salario,triple del salario,No,No,Sí,No,No,Parcialmente encontrado,"resulte de multiplicar el triple del salario mínimo interprofesional por el número de días del triple del salario pago, gozando de preferencia sobre cualquier otro crédito, excepto los créditos con derecho real, en"
número de días,número,de,días,número,día,número de día,No,No,No,No,No,No encontrado,"interprofesional por el número de días del salario pendientes de pago, gozando de preferencia sobre número de días excepto los créditos con derecho real, en los supuestos en los que estos, con arreglo"
días del salario,días,del,salario,días,salario,días del salario,No,No,Sí,No,No,Parcialmente encontrado,"el número de días del salario pendientes de pago, gozando de preferencia sobre cualquier otro días del salario créditos con derecho real, en los supuestos en los que estos, con arreglo a la"
créditos con derecho,créditos,con,derecho,créditos,derecho,créditos con derecho,No,No,Sí,No,No,Parcialmente encontrado,"los créditos con derecho real, en los supuestos en los que estos, con arreglo a créditos con derecho preferentes. La misma consideración tendrán las indemnizaciones por despido en la cuantía correspondiente al mínimo"
indemnizaciones por despido,indemnizaciones,por,despido,indemnizaciones,despido,indemnizaciones por despido,No,No,Sí,No,No,Parcialmente encontrado,en la cuantía correspondiente al mínimo legal calculada sobre una base que no supere el indemnizaciones por despido mínimo. 4. El plazo para ejercitar los derechos de preferencia del crédito salarial es de
triple del salario,triple,del,salario,triple,salario,triple del salario,No,No,Sí,No,No,Parcialmente encontrado,"mínimo. 4. El plazo para ejercitar los derechos de preferencia del crédito salarial es de triple del salario contar desde el momento en que debió percibirse el salario, transcurrido el cual prescribirán tales"
derechos de preferencia,derechos,de,preferencia,derecho,preferencia,derecho de preferencia,No,Sí,No,No,No,Parcialmente encontrado,"es de un año, a contar desde el momento en que debió percibirse el salario, derechos de preferencia prescribirán tales derechos. 5. Las preferencias reconocidas en los apartados precedentes serán de aplicación en"
preferencia del crédito,preferencia,del,crédito,preferencia,crédito,preferencia del crédito,No,No,Sí,No,No,Parcialmente encontrado,"un año, a contar desde el momento en que debió percibirse el salario, transcurrido el preferencia del crédito derechos. 5. Las preferencias reconocidas en los apartados precedentes serán de aplicación en todos los"
caso de concurso,caso,de,concurso,caso,concurso,caso de concurso,No,No,Sí,No,No,Parcialmente encontrado,"de julio, Concursal, relativas a la clasificación de los créditos y a las ejecuciones y caso de concurso"
