Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
créditos salariales,Parcialmente encontrado,No,Sí,Sí,Sí,artículo . garantías del salario. . los créditos créditos salariales los últimos treinta días de trabajo y en cuantía que no supere el doble del
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"los créditos salariales por los últimos treinta días de trabajo y en cuantía que no supere el doble del salario salario mínimo gozarán de preferencia sobre cualquier otro crédito, aunque este se encuentre garantizado por prenda o"
créditos salariales,Parcialmente encontrado,No,Sí,Sí,Sí,"de preferencia sobre cualquier otro crédito, aunque este se encuentre garantizado por prenda o hipoteca. . los créditos salariales gozarán créditos salariales sobre cualquier otro crédito respecto de los objetos elaborados por los trabajadores mientras sean propiedad"
objetos elaborados,No encontrado,No,No,No,No,prenda o hipoteca. . los créditos salariales gozarán de preferencia sobre cualquier otro crédito respecto de los objetos elaborados por objetos elaborados mientras sean propiedad o estén en posesión del empresario. . los créditos por salarios no
apartados anteriores,No encontrado,No,No,No,No,propiedad o estén en posesión del empresario. . los créditos por salarios no protegidos en los apartados anteriores tendrán la apartados anteriores singularmente privilegiados en la cuantía que resulte de multiplicar el triple del salario mínimo interprofesional
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"tendrán la condición de singularmente privilegiados en la cuantía que resulte de multiplicar el triple del salario mínimo interprofesional por salario mínimo de días del salario pendientes de pago, gozando de preferencia sobre cualquier otro crédito, excepto"
salario pendientes,Parcialmente encontrado,No,Sí,No,No,"que resulte de multiplicar el triple del salario mínimo interprofesional por el número de días del salario pendientes de pago, salario pendientes preferencia sobre cualquier otro crédito, excepto los créditos con derecho real, en los supuestos en"
derecho real,Encontrado en glosario,Sí,Sí,Sí,No,"pendientes de pago, gozando de preferencia sobre cualquier otro crédito, excepto los créditos con derecho real, en los supuestos en derecho real estos, con arreglo a la ley, sean preferentes. la misma consideración tendrán las indemnizaciones por"
cuantía correspondiente,Parcialmente encontrado,No,Sí,No,No,la misma consideración tendrán las indemnizaciones por despido en la cuantía correspondiente al mínimo legal calculada sobre una base que cuantía correspondiente el triple del salario mínimo. . el plazo para ejercitar los derechos de preferencia del
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"calculada sobre una base que no supere el triple del salario mínimo. . el plazo para ejercitar los derechos de salario mínimo crédito salarial es de un año, a contar desde el momento en que debió percibirse"
crédito salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"el plazo para ejercitar los derechos de preferencia del crédito salarial es de un año, a contar desde el momento crédito salarial debió percibirse el salario, transcurrido el cual prescribirán tales derechos. . las preferencias reconocidas en"
preferencias reconocidas,No encontrado,No,No,No,No,"cual prescribirán tales derechos. . las preferencias reconocidas en los apartados precedentes serán de aplicación en todos los supuestos en preferencias reconocidas no hallándose el empresario declarado en concurso, los correspondientes créditos concurran con otro u otros"
apartados precedentes,Parcialmente encontrado,No,No,Sí,No,". las preferencias reconocidas en los apartados precedentes serán de aplicación en todos los supuestos en los que, no hallándose apartados precedentes declarado en concurso, los correspondientes créditos concurran con otro u otros sobre bienes de aquel."
empresario declarado,Parcialmente encontrado,No,Sí,No,No,"los que, no hallándose el empresario declarado en concurso, los correspondientes créditos concurran con otro u otros sobre bienes de empresario declarado caso de concurso, serán de aplicación las disposiciones de la ley /, de de julio,"
