Término,Patrón N+ADJ,Ubicación,Contexto
cotización,horas complementarias,Contexto,"COTIZACIÓN: ; . y . Las horas complementarias efectivamente realizadas se retribuirán como ordinarias, computándose a efectos de bases de [cotización] la Seguridad Social y periodos de carencia y bases reguladoras de las prestaciones."
cotización,horas complementarias,Contexto,COTIZACIÓN: retribución de las horas complementarias realizadas se deberá recoger en el recibo individual de salarios y en los documentos de [cotización] la Seguridad Social.
cotización,trabajador sustituido,Contexto,"COTIZACIÓN: trabajador relevista podrá ser el mismo del trabajador sustituido. En todo caso, deberá existir una correspondencia entre las bases de [cotización] e ambos, en los términos previstos en el texto refundido de la Ley General de la Seguridad Social."
discriminación,convenios colectivos,Contexto,"DISCRIMINACIÓN: en los convenios colectivos de manera proporcional, en función del tiempo trabajado, debiendo garantizarse en todo caso la ausencia de [discriminación] tanto directa como indirecta, entre mujeres y hombres."
edad,jubilación ordinaria,Contexto,EDAD: podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la [edad] e jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
edad,jubilación parcial,Contexto,"EDAD: jubilación parcial tendrá que ser indefinida o, como mínimo, igual al tiempo que falte al trabajador sustituido para alcanzar la [edad] e jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social."
edad,texto refundido,Contexto,"EDAD: conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social. Si, al cumplir dicha [edad] el trabajador jubilado parcialmente continuase en la empresa, el contrato de relevo que se hubiera celebrado por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo caso al finalizar el periodo correspondiente al año en el que se produzca la jubilación total del trabajador relevado."
edad,duración igual,Contexto,EDAD: una duración igual al resultado de sumar dos años al tiempo que le falte al trabajador sustituido para alcanzar la [edad] e jubilación ordinaria que corresponda conforme al texto refundido de la Ley General de la Seguridad Social.
edad,tiempo restante,Contexto,"EDAD: mismos términos del extinguido, por el tiempo restante. En el caso del trabajador jubilado parcialmente después de haber cumplido la [edad] e jubilación ordinaria prevista en el texto refundido de la Ley General de la Seguridad Social, la duración del contrato de relevo que podrá celebrar la empresa para sustituir la parte de jornada dejada vacante por el mismo podrá ser indefinida o anual."
defecto,tiempo completo,Contexto,"DEFECTO: a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o, en su [defecto] la jornada máxima legal."
contrato de relevo,tiempo parcial,Contexto,CONTRATO DE RELEVO: Artículo . Contrato a tiempo parcial y [contrato de relevo] .
