Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
« trabajador a  tiempo,Parcialmente encontrado,No,Sí,Sí,No,No,"de lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo « trabajador a  tiempo a tiempo parcial y contrato de relevo"
tiempo completo de el mismo,Encontrado en glosario,Sí,No,No,Sí,Sí,"a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el tiempo completo de el mismo empo parcial y contrato de relevo"
trabajador comparable a  tiempo,Encontrado en glosario,Sí,No,Sí,Sí,No,"en la empresa no hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista en trabajador comparable a  tiempo parcial y contrato de relevo"
convenio colectivo de  aplicación,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"tiempo completo prevista en el convenio colectivo de aplicación o, en su defecto, la jornada máxima legal. 2. El contrato convenio colectivo de  aplicación arcial y contrato de relevo"
duración determinado en el supuesto,Encontrado en glosario,Sí,No,Sí,Sí,No,duración determinada en los supuestos en los que legalmente se permita la utilización de esta modalidad de contratación. 3. (Derogado) duración determinado en el supuesto cial y contrato de relevo
carácter parcial de el servicio,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"a la de los trabajadores a tiempo completo y esta se realice de forma partida, solo será posible efectuar una carácter parcial de el servicio parcial y contrato de relevo"
límite legal del  trabajo,Parcialmente encontrado,No,Sí,Sí,No,No,"junto con el recibo de salarios, del resumen de todas las horas realizadas en cada mes, tanto las ordinarias como límite legal del  trabajo tiempo parcial y contrato de relevo"
hora realizado en cada mes,Encontrado en glosario,Sí,No,No,Sí,No,"las referidas obligaciones de registro, el contrato se presumirá celebrado a jornada completa, salvo prueba en contrario que acredite el hora realizado en cada mes iempo parcial y contrato de relevo"
resumen mensual de el registro,Parcialmente encontrado,No,No,Sí,No,No,Las personas trabajadoras a tiempo parcial tendrán los mismos derechos que los trabajadores a tiempo completo. Cuando corresponda en atención resumen mensual de el registro o parcial y contrato de relevo
carácter parcial de el servicio,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"del tiempo trabajado, debiendo garantizarse en todo caso la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres. carácter parcial de el servicio parcial y contrato de relevo"
persona trabajadora a  tiempo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"de discriminación, tanto directa como indirecta, entre mujeres y hombres. e) La conversión de un trabajo a tiempo completo en persona trabajadora a  tiempo po parcial y contrato de relevo"
convenio colectivo de  manera,Encontrado en glosario,Sí,Sí,No,Sí,Sí,de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en convenio colectivo de  manera po parcial y contrato de relevo
tiempo completo en uno trabajo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"hecho de rechazar esta conversión, sin perjuicio de las medidas que, de conformidad con lo dispuesto en los artículos 51 tiempo completo en uno trabajo o parcial y contrato de relevo"
carácter voluntario para el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"que, de conformidad con lo dispuesto en los artículos 51 y 52.c), puedan adoptarse por causas económicas, técnicas, organizativas o carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo 41"
modificación sustancial de  condición,Encontrado en glosario,Sí,No,Sí,Sí,No,"organizativas o de producción. A fin de posibilitar la movilidad voluntaria en el trabajo a tiempo parcial, el empresario deberá modificación sustancial de  condición al y contrato de relevo"
efecto perjudicial por el hecho,Encontrado en glosario,Sí,No,Sí,Sí,No,"puestos de trabajo vacantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un trabajo a tiempo completo efecto perjudicial por el hecho de rechazar esta conversión, sin perjuicio de las medidas que, de conformidad con lo dispuesto en los artículos 51 y 52"
movilidad voluntario en el trabajo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"que se establezcan en convenio colectivo. Con carácter general, las solicitudes a que se refiere el párrafo anterior deberán ser movilidad voluntario en el trabajo rcial y contrato de relevo"
conversión voluntario de uno trabajo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,solicitud deberá ser notificada por el empresario al trabajador por escrito y de manera motivada. f) Los convenios colectivos establecerán conversión voluntario de uno trabajo ial y contrato de relevo
tiempo completo en uno trabajo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,empresario al trabajador por escrito y de manera motivada. f) Los convenios colectivos establecerán medidas para facilitar el acceso efectivo tiempo completo en uno trabajo o parcial y contrato de relevo
acceso efectivo de el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,"parcial o con posterioridad al mismo, pero constituirá, en todo caso, un pacto específico respecto al contrato. El pacto se acceso efectivo de el trabajador parcial y contrato de relevo"
tiempo parcial a el formación,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"pero constituirá, en todo caso, un pacto específico respecto al contrato. El pacto se formalizará necesariamente por escrito. b) Solo tiempo parcial a el formación po parcial y contrato de relevo"
hora complementario en el caso,Encontrado en glosario,Sí,No,Sí,Sí,No,trabajador deberá conocer el día y la hora de realización de las horas complementarias pactadas con un preaviso mínimo de hora complementario en el caso o parcial y contrato de relevo
tiempo parcial con uno jornada,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"de realización de las horas complementarias pactadas con un preaviso mínimo de tres días, salvo que el convenio establezca un tiempo parcial con uno jornada o parcial y contrato de relevo"
hora semanal en  cómputo,Encontrado en glosario,Sí,No,Sí,Sí,No,"de tres días, salvo que el convenio establezca un plazo de preaviso inferior. e) El pacto de horas complementarias podrá hora semanal en  cómputo tiempo parcial y contrato de relevo"
hora ordinaria de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"siguientes circunstancias: 1.ª La atención de las responsabilidades familiares enunciadas en el artículo 37.6. 2.ª Necesidades formativas, siempre que se hora ordinaria de  trabajo iempo parcial y contrato de relevo"
regla previsto en el letra,Encontrado en glosario,Sí,No,Sí,Sí,No,de los porcentajes de horas complementarias pactadas que se establecen en la letra c). h) La realización de horas complementarias regla previsto en el letra iempo parcial y contrato de relevo
tiempo parcial de  duración,Encontrado en glosario,Sí,No,Sí,Sí,Sí,computándose a efectos de bases de cotización a la Seguridad Social y periodos de carencia y bases reguladoras de las tiempo parcial de  duración empo parcial y contrato de relevo
duración indefinido con uno jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,de bases de cotización a la Seguridad Social y periodos de carencia y bases reguladoras de las prestaciones. A tal duración indefinido con uno jornada cial y contrato de relevo
hora semanal en  cómputo,Encontrado en glosario,Sí,No,Sí,Sí,No,"carencia y bases reguladoras de las prestaciones. A tal efecto, el número y retribución de las horas complementarias realizadas se hora semanal en  cómputo tiempo parcial y contrato de relevo"
hora complementario de  aceptación,Encontrado en glosario,Sí,No,Sí,Sí,No,deberá recoger en el recibo individual de salarios y en los documentos de cotización a la Seguridad Social. 6. Para hora complementario de  aceptación rcial y contrato de relevo
base reguladora de el prestación,Encontrado en glosario,Sí,No,Sí,Sí,No,corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social. La reducción de base reguladora de el prestación parcial y contrato de relevo
recibo individual de  salario,Encontrado en glosario,Sí,Sí,Sí,Sí,No,podrá alcanzar el setenta y cinco por ciento cuando el contrato de relevo se concierte a jornada completa y con recibo individual de  salario po parcial y contrato de relevo
término establecido en el texto,Encontrado en glosario,Sí,No,Sí,Sí,No,el texto refundido de la Ley General de la Seguridad Social. La ejecución de este contrato de trabajo a tiempo término establecido en el texto parcial y contrato de relevo
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,la Ley General de la Seguridad Social. La ejecución de este contrato de trabajo a tiempo parcial y su retribución texto refundir de el ley tiempo parcial y contrato de relevo
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,tiempo que falte al trabajador sustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme a lo establecido en texto refundir de el ley tiempo parcial y contrato de relevo
