Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
tiempo parcial,Parcialmente encontrado,No,No,Sí,Sí,artículo . contrato a tiempo parcial y contrato de relevo. . el contrato de trabajo se entenderá celebrado a tiempo parcial
tiempo parcial,Parcialmente encontrado,No,No,Sí,Sí,"artículo . contrato a tiempo parcial y contrato de relevo. . el contrato de trabajo se entenderá celebrado a tiempo tiempo parcial se haya acordado la prestación de servicios durante un número de horas al día, a"
tiempo completo,Parcialmente encontrado,No,No,Sí,Sí,"semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable. a tiempo completo lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a"
párrafo anterior,No encontrado,No,No,No,No,"trabajo de un trabajador a tiempo completo comparable. a efectos de lo dispuesto en el párrafo anterior, se entenderá por párrafo anterior tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro"
« trabajador,Parcialmente encontrado,No,No,Sí,No,"completo comparable. a efectos de lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a « trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo"
tiempo completo,Parcialmente encontrado,No,No,Sí,Sí,"efectos de lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de"
tiempo completo,Parcialmente encontrado,No,No,Sí,Sí,se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro tiempo completo con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o
trabajo idéntico,Parcialmente encontrado,No,Sí,No,No,"el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. si en la empresa no trabajo idéntico trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista en el"
trabajador comparable,Parcialmente encontrado,No,Sí,No,No,"idéntico o similar. si en la empresa no hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a trabajador comparable prevista en el convenio colectivo de aplicación o, en su defecto, la jornada máxima legal."
tiempo completo,Parcialmente encontrado,No,No,Sí,Sí,"si en la empresa no hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista tiempo completo convenio colectivo de aplicación o, en su defecto, la jornada máxima legal. . el contrato"
tiempo completo,Parcialmente encontrado,No,No,Sí,Sí,"comparable a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o, en tiempo completo la jornada máxima legal. . el contrato a tiempo parcial podrá concertarse por tiempo indefinido"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o, en su defecto, la jornada máxima convenio colectivo el contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en"
jornada máxima,No encontrado,No,No,No,No,"de aplicación o, en su defecto, la jornada máxima legal. . el contrato a tiempo parcial podrá concertarse por tiempo jornada máxima por duración determinada en los supuestos en los que legalmente se permita la utilización de"
tiempo parcial,Parcialmente encontrado,No,No,Sí,Sí,máxima legal. . el contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en los supuestos tiempo parcial que legalmente se permita la utilización de esta modalidad de contratación. . derogado . el
tiempo indefinido,No encontrado,No,No,No,No,a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se tiempo indefinido utilización de esta modalidad de contratación. . derogado . el contrato a tiempo parcial se
duración determinada,No encontrado,No,No,No,No,concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita la utilización de duración determinada de contratación. . derogado . el contrato a tiempo parcial se regirá por las siguientes
tiempo parcial,Parcialmente encontrado,No,No,Sí,Sí,"derogado . el contrato a tiempo parcial se regirá por las siguientes reglas: a el contrato, conforme a lo dispuesto tiempo parcial artículo ., se deberá formalizar necesariamente por escrito. en el contrato deberá figurar el número"
año contratadas,Parcialmente encontrado,No,No,Sí,No,"contratadas, así como el modo de su distribución según lo previsto en convenio colectivo. de no observarse estas exigencias, el año contratadas presumirá celebrado a jornada completa, salvo prueba en contrario que acredite el carácter parcial de"
