Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
contrato de relevo,contrato,de,relevo,contrato,relevo,contrato de relevo,No,Sí,No,No,No,Parcialmente encontrado,Artículo 12. Contrato a tiempo parcial y contrato contrato de relevo El contrato de trabajo se entenderá celebrado a tiempo parcial cuando se haya acordado la
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,12. Contrato a tiempo parcial y contrato de relevo. 1. El contrato de trabajo se contrato de trabajo tiempo parcial cuando se haya acordado la prestación de servicios durante un número de horas
prestación de servicios,prestación,de,servicios,prestación,servicios,prestación de servicios,Sí,Sí,No,Sí,No,Encontrado en glosario,"se entenderá celebrado a tiempo parcial cuando se haya acordado la prestación de servicios durante prestación de servicios horas al día, a la semana, al mes o al año, inferior a la jornada"
número de horas,número,de,horas,número,hora,número de hora,No,No,No,No,No,No encontrado,"parcial cuando se haya acordado la prestación de servicios durante un número de horas al número de horas semana, al mes o al año, inferior a la jornada de trabajo de un trabajador"
horas al día,horas,al,día,hora,día,hora al día,No,No,No,No,No,No encontrado,"se haya acordado la prestación de servicios durante un número de horas al día, a horas al día mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo"
jornada de trabajo,jornada,de,trabajo,jornada,trabajo,jornada de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"al mes o al año, inferior a la jornada de trabajo de un trabajador a jornada de trabajo A efectos de lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo"
trabajador a tiempo,trabajador,a,tiempo,trabajador,tiempo,trabajador a tiempo,No,Sí,No,No,No,Parcialmente encontrado,"inferior a la jornada de trabajo de un trabajador a tiempo completo comparable. A efectos trabajador a tiempo en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un trabajador"
trabajador a tiempo,trabajador,a,tiempo,trabajador,tiempo,trabajador a tiempo,No,Sí,No,No,No,Parcialmente encontrado,"comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, trabajador a tiempo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. Si en"
centro de trabajo,centro,de,trabajo,centro,trabajo,centro de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y centro de trabajo trabajo idéntico o similar. Si en la empresa no hubiera ningún trabajador comparable a tiempo"
tipo de contrato,tipo,de,contrato,tipo,contrato,tipo de contrato,No,Sí,Sí,No,No,Parcialmente encontrado,"el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. tipo de contrato empresa no hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo"
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,"tipo de contrato de trabajo y que realice un trabajo idéntico o similar. Si en contrato de trabajo hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista"
