Patrón N+ADJ+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj1 en Glosario,Adj2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Adj2 en Lista Específica,Contexto
tiempo completo comparable,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"la jornada de trabajo de un trabajador a tiempo completo comparable. A efectos de lo tiempo completo comparable párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo"
tiempo completo comparable,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la tiempo completo comparable centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un"
tiempo completo prevista,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"tiempo completo prevista en el convenio colectivo de aplicación o, en su defecto, la jornada tiempo completo prevista El contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en"
jornada máxima legal,Parcialmente encontrado,No,No,No,Sí,No,No,No,legal. 2. El contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración jornada máxima legal supuestos en los que legalmente se permita la utilización de esta modalidad de contratación. 3.
jornada diaria inferior,No encontrado,No,No,No,No,No,No,No,"diaria, salvo que se disponga otra cosa mediante convenio colectivo. c) Los trabajadores a tiempo jornada diaria inferior realizar horas extraordinarias, salvo en los supuestos a los que se refiere el artículo 35.3."
formación profesional continua,Encontrado en glosario,Sí,No,Sí,No,Sí,Sí,No,al contrato. El pacto se formalizará necesariamente por escrito. b) Solo se podrá formalizar un formación profesional continua complementarias en el caso de contratos a tiempo parcial con una jornada de trabajo no
horas ordinarias pactadas,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,con una jornada de trabajo no inferior a diez horas semanales en cómputo anual. c) horas ordinarias pactadas horas complementarias deberá recoger el número de horas complementarias cuya realización podrá ser requerida por
horas complementarias pactadas,No encontrado,No,No,No,No,No,No,No,"su celebración, cuando concurra alguna de las siguientes circunstancias: 1.ª La atención de las responsabilidades horas complementarias pactadas el artículo 37.6. 2.ª Necesidades formativas, siempre que se acredite la incompatibilidad horaria. 3.ª Incompatibilidad"
horas ordinarias contratadas,Parcialmente encontrado,No,No,Sí,Sí,No,Sí,No,"las mismas estarán sujetos a las reglas previstas en las letras anteriores. En caso de horas ordinarias contratadas reglas, la negativa del trabajador a la realización de las horas complementarias, pese a haber"
horas complementarias pactadas,No encontrado,No,No,No,No,No,No,No,"negativa del trabajador a la realización de las horas complementarias, pese a haber sido pactadas, horas complementarias pactadas laboral sancionable. g) Sin perjuicio del pacto de horas complementarias, en los contratos a tiempo"
responsabilidades familiares enunciadas,Parcialmente encontrado,No,Sí,Sí,No,No,Sí,No,"número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio responsabilidades familiares enunciadas horas ordinarias objeto del contrato. La negativa del trabajador a la realización de estas horas"
conducta laboral sancionable,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"4; 36.1 y 37.1. i) Las horas complementarias efectivamente realizadas se retribuirán como ordinarias, computándose conducta laboral sancionable bases de cotización a la Seguridad Social y periodos de carencia y bases reguladoras de"
conducta laboral sancionable,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,acordar con su empresa una reducción de jornada y de salario de entre un mínimo conducta laboral sancionable ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un
horas complementarias pactadas,No encontrado,No,No,No,No,No,No,No,"por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente horas complementarias pactadas relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la"
horas complementarias realizadas,No encontrado,No,No,No,No,No,No,No,"y de salario podrá alcanzar el setenta y cinco por ciento cuando el contrato de horas complementarias realizadas a jornada completa y con duración indefinida, siempre que el trabajador cumpla los requisitos establecidos"
trabajo dejada vacante,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,la empresa un contrato de duración determinada. b) Salvo lo establecido en los dos párrafos trabajo dejada vacante del contrato de relevo que se celebre como consecuencia de una jubilación parcial tendrá que
duración mínima indicada,No encontrado,No,No,No,No,No,No,No,"entre las bases de cotización de ambos, en los términos previstos en el texto refundido duración mínima indicada General de la Seguridad Social. e) En la negociación colectiva se podrán establecer medidas para"
jubilación ordinaria prevista,Parcialmente encontrado,No,Sí,Sí,No,No,Sí,No,jubilación ordinaria prevista
jornada dejada vacante,Parcialmente encontrado,No,No,No,Sí,No,No,No,jornada dejada vacante
