Término,Patrón N+ADJ,Ubicación,Contexto
personal,jurisdicción social,Contexto,"PERSONAL: acumulables. Contra la negativa de la empresa, y previo informe del comité o, en su caso, de los delegados de [personal] , el trabajador podrá reclamar ante la jurisdicción social."
comité,diferencia salarial,Contexto,"COMITÉ: de reclamar la diferencia salarial correspondiente. Estas acciones serán acumulables. Contra la negativa de la empresa, y previo informe del [comité] o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social."
delegados de personal,jurisdicción social,Contexto,"DELEGADOS DE PERSONAL: acciones serán acumulables. Contra la negativa de la empresa, y previo informe del comité o, en su caso, de los [delegados de personal] , el trabajador podrá reclamar ante la jurisdicción social."
empresario,razones técnicas,Contexto,"EMPRESARIO: posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención. El [empresario] deberá comunicar su decisión y las razones de esta a los representantes de los trabajadores."
periodo,funciones superiores,Contexto,"PERIODO: los representantes de los trabajadores. En el caso de encomienda de funciones superiores a las del grupo profesional por un [periodo] superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
convenio colectivo,convenio colectivo,Término,"CONVENIO COLECTIVO: año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en [convenio colectivo] o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
convenio colectivo,convenio colectivo,Término,CONVENIO COLECTIVO: previstas para las modificaciones sustanciales de condiciones de trabajo o a las que a tal fin se hubieran establecido en [convenio colectivo] .
derecho,retribución correspondiente,Contexto,"DERECHO: periodos distintos de los expresados en este artículo a efectos de reclamar la cobertura de vacantes. El trabajador tendrá [derecho] a la retribución correspondiente a las funciones que efectivamente realice, salvo en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen."
perjuicio,ascensos aplicables,Contexto,"PERJUICIO: correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin [perjuicio] de reclamar la diferencia salarial correspondiente."
ascenso,periodo superior,Contexto,"ASCENSO: por un periodo superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el [ascenso] , si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
origen,funciones inferiores,Contexto,"ORIGEN: funciones que efectivamente realice, salvo en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de [origen] ."
prestación,titulaciones académicas,Contexto,PRESTACIÓN: funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la [prestación] laboral y con respeto a la dignidad del trabajador.
negociación colectiva,negociación colectiva,Término,"NEGOCIACIÓN COLECTIVA: comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social. Mediante la [negociación colectiva] se podrán establecer periodos distintos de los expresados en este artículo a efectos de reclamar la cobertura de vacantes."
jurisdicción social,jurisdicción social,Término,"JURISDICCIÓN SOCIAL: y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la [jurisdicción social] ."
jurisdicción,jurisdicción social,Contexto,"JURISDICCIÓN: y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la [jurisdicción] social."
despido,funciones inferiores,Contexto,"DESPIDO: casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar como causa de [despido] objetivo la ineptitud sobrevenida o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la movilidad funcional."
despido objetivo,despido objetivo,Término,"DESPIDO OBJETIVO: casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar como causa de [despido objetivo] la ineptitud sobrevenida o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la movilidad funcional."
colectivo,convenio colectivo,Contexto,"COLECTIVO: u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio [colectivo] o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
colectivo,modificaciones sustanciales,Contexto,COLECTIVO: para las modificaciones sustanciales de condiciones de trabajo o a las que a tal fin se hubieran establecido en convenio [colectivo] .
empresa,Movilidad funcional,Contexto,EMPRESA: Artículo . Movilidad funcional. La movilidad funcional en la [empresa] se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador.
empresa,vacante correspondiente,Contexto,"EMPRESA: la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la [empresa] , sin perjuicio de reclamar la diferencia salarial correspondiente."
empresa,diferencia salarial,Contexto,"EMPRESA: en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. Estas acciones serán acumulables. Contra la negativa de la [empresa] , y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social."
movilidad funcional,movilidad funcional,Término,MOVILIDAD FUNCIONAL: Artículo . [movilidad funcional] .
movilidad funcional,movilidad funcional,Término,MOVILIDAD FUNCIONAL: Artículo . Movilidad funcional. La [movilidad funcional] en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador.
movilidad funcional,movilidad funcional,Término,"MOVILIDAD FUNCIONAL: o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador. La [movilidad funcional] para la realización de funciones, tanto superiores como inferiores, no correspondientes al grupo profesional solo será posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención."
movilidad funcional,movilidad funcional,Término,MOVILIDAD FUNCIONAL: o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la [movilidad funcional] .
dignidad,titulaciones académicas,Contexto,DIGNIDAD: acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la [dignidad] del trabajador.
grupo profesional,grupo profesional,Término,"GRUPO PROFESIONAL: la dignidad del trabajador. La movilidad funcional para la realización de funciones, tanto superiores como inferiores, no correspondientes al [grupo profesional] solo será posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención."
grupo profesional,grupo profesional,Término,"GRUPO PROFESIONAL: razones de esta a los representantes de los trabajadores. En el caso de encomienda de funciones superiores a las del [grupo profesional] por un periodo superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
trabajador,titulaciones académicas,Contexto,TRABAJADOR: las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del [trabajador] .
trabajador,grupo profesional,Contexto,"TRABAJADOR: las del grupo profesional por un periodo superior a seis meses durante un año u ocho durante dos años, el [trabajador] podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
trabajador,jurisdicción social,Contexto,"TRABAJADOR: la negativa de la empresa, y previo informe del comité o, en su caso, de los delegados de personal, el [trabajador] podrá reclamar ante la jurisdicción social."
trabajador,retribución correspondiente,Contexto,"TRABAJADOR: podrán establecer periodos distintos de los expresados en este artículo a efectos de reclamar la cobertura de vacantes. El [trabajador] tendrá derecho a la retribución correspondiente a las funciones que efectivamente realice, salvo en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen."
