Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
dignidad del trabajador,dignidad,del,trabajador,dignidad,trabajador,dignidad del trabajador,No,Sí,Sí,No,No,Parcialmente encontrado,"sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador. 2. dignidad del trabajador para la realización de funciones, tanto superiores como inferiores, no correspondientes al grupo profesional solo"
realización de funciones,realización,de,funciones,realización,función,realización de función,No,No,No,Sí,No,No encontrado,"del trabajador. 2. La movilidad funcional para la realización de funciones, tanto superiores como inferiores, realización de funciones grupo profesional solo será posible si existen, además, razones técnicas u organizativas que la justifiquen"
caso de encomienda,caso,de,encomienda,caso,encomienda,caso de encomienda,No,No,No,No,No,No encontrado,"el caso de encomienda de funciones superiores a las del grupo profesional por un periodo caso de encomienda meses durante un año u ocho durante dos años, el trabajador podrá reclamar el ascenso,"
encomienda de funciones,encomienda,de,funciones,encomienda,función,encomienda de función,No,No,No,No,No,No encontrado,"de encomienda de funciones superiores a las del grupo profesional por un periodo superior a encomienda de funciones un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a"
reglas en materia,reglas,en,materia,reglas,materia,reglas en materia,No,No,Sí,No,No,Parcialmente encontrado,"de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. Estas reglas en materia Contra la negativa de la empresa, y previo informe del comité o, en su caso,"
materia de ascensos,materia,de,ascensos,materia,ascensos,materia de ascensos,No,Sí,No,No,No,Parcialmente encontrado,"aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. Estas acciones serán materia de ascensos negativa de la empresa, y previo informe del comité o, en su caso, de los"
informe del comité,informe,del,comité,informe,comité,informe del comité,No,Sí,Sí,No,No,Parcialmente encontrado,"de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social. Mediante la informe del comité podrán establecer periodos distintos de los expresados en este artículo a efectos de reclamar la"
delegados de personal,delegados,de,personal,delegado,personal,delegado de personal,Sí,No,No,No,No,Encontrado en glosario,jurisdicción social. Mediante la negociación colectiva se podrán establecer periodos distintos de los expresados en delegados de personal efectos de reclamar la cobertura de vacantes. 3. El trabajador tendrá derecho a la retribución
artículo a efectos,artículo,a,efectos,artículo,efectos,artículo a efectos,No,Sí,No,No,No,Parcialmente encontrado,"trabajador tendrá derecho a la retribución correspondiente a las funciones que efectivamente realice, salvo en artículo a efectos encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar"
cobertura de vacantes,cobertura,de,vacantes,cobertura,vacante,cobertura de vacante,No,No,Sí,No,No,Parcialmente encontrado,"correspondiente a las funciones que efectivamente realice, salvo en los casos de encomienda de funciones cobertura de vacantes que mantendrá la retribución de origen. No cabrá invocar como causa de despido objetivo la"
casos de encomienda,casos,de,encomienda,caso,encomienda,caso de encomienda,No,No,No,No,No,No encontrado,cabrá invocar como causa de despido objetivo la ineptitud sobrevenida o la falta de adaptación casos de encomienda de realización de funciones distintas de las habituales como consecuencia de la movilidad funcional. 4.
encomienda de funciones,encomienda,de,funciones,encomienda,función,encomienda de función,No,No,No,No,No,No encontrado,como causa de despido objetivo la ineptitud sobrevenida o la falta de adaptación en los encomienda de funciones de funciones distintas de las habituales como consecuencia de la movilidad funcional. 4. El cambio
retribución de origen,retribución,de,origen,retribución,origen,retribución de origen,No,Sí,No,Sí,No,Parcialmente encontrado,falta de adaptación en los supuestos de realización de funciones distintas de las habituales como retribución de origen movilidad funcional. 4. El cambio de funciones distintas de las pactadas no incluido en los
causa de despido,causa,de,despido,causa,despido,causa de despido,Sí,Sí,Sí,No,No,Encontrado en glosario,de funciones distintas de las habituales como consecuencia de la movilidad funcional. 4. El cambio causa de despido de las pactadas no incluido en los supuestos previstos en este artículo requerirá el acuerdo
falta de adaptación,falta,de,adaptación,falta,adaptación,falta de adaptación,No,Sí,Sí,No,Sí,Parcialmente encontrado,"la movilidad funcional. 4. El cambio de funciones distintas de las pactadas no incluido en falta de adaptación en este artículo requerirá el acuerdo de las partes o, en su defecto, el sometimiento"
supuestos de realización,supuestos,de,realización,supuesto,realización,supuesto de realización,No,No,No,No,Sí,No encontrado,"cambio de funciones distintas de las pactadas no incluido en los supuestos previstos en este supuestos de realización acuerdo de las partes o, en su defecto, el sometimiento a las reglas previstas para"
realización de funciones,realización,de,funciones,realización,función,realización de función,No,No,No,Sí,No,No encontrado,"funciones distintas de las pactadas no incluido en los supuestos previstos en este artículo requerirá realización de funciones las partes o, en su defecto, el sometimiento a las reglas previstas para las modificaciones"
cambio de funciones,cambio,de,funciones,cambio,funciones,cambio de funciones,No,Sí,No,No,No,Parcialmente encontrado,"las partes o, en su defecto, el sometimiento a las reglas previstas para las modificaciones cambio de funciones de trabajo o a las que a tal fin se hubieran establecido en convenio colectivo."
condiciones de trabajo,condiciones,de,trabajo,condiciones,trabajo,condiciones de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,condiciones de trabajo
