Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
movilidad funcional,Encontrado en glosario,Sí,No,Sí,Sí,artículo . movilidad funcional . la movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas
movilidad funcional,Encontrado en glosario,Sí,No,Sí,Sí,artículo . movilidad funcional. . la movilidad movilidad funcional la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas
titulaciones académicas,No encontrado,No,No,No,No,artículo . movilidad funcional. . la movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones titulaciones académicas profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad
prestación laboral,Parcialmente encontrado,No,Sí,Sí,Sí,en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación prestación laboral con respeto a la dignidad del trabajador. . la movilidad funcional para la realización de
movilidad funcional,Encontrado en glosario,Sí,No,Sí,Sí,"preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador. . la movilidad funcional movilidad funcional realización de funciones, tanto superiores como inferiores, no correspondientes al grupo profesional solo será posible"
grupo profesional,Encontrado en glosario,Sí,No,Sí,Sí,". la movilidad funcional para la realización de funciones, tanto superiores como inferiores, no correspondientes al grupo profesional solo será grupo profesional existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para"
razones técnicas,Parcialmente encontrado,No,Sí,Sí,No,"superiores como inferiores, no correspondientes al grupo profesional solo será posible si existen, además, razones técnicas u organizativas que la razones técnicas por el tiempo imprescindible para su atención. el empresario deberá comunicar su decisión y las"
tiempo imprescindible,No encontrado,No,No,No,No,"posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención. el tiempo imprescindible comunicar su decisión y las razones de esta a los representantes de los trabajadores. en"
funciones superiores,Parcialmente encontrado,No,No,Sí,No,"a los representantes de los trabajadores. en el caso de encomienda de funciones superiores a las del grupo profesional por funciones superiores superior a seis meses durante un año u ocho durante dos años, el trabajador podrá"
grupo profesional,Encontrado en glosario,Sí,No,Sí,Sí,"trabajadores. en el caso de encomienda de funciones superiores a las del grupo profesional por un periodo superior a seis grupo profesional un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a"
periodo superior,Parcialmente encontrado,No,No,Sí,No,"de encomienda de funciones superiores a las del grupo profesional por un periodo superior a seis meses durante un año periodo superior durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la convenio colectivo a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables"
vacante correspondiente,Parcialmente encontrado,No,Sí,No,No,"o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas vacante correspondiente de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. estas"
ascensos aplicables,Parcialmente encontrado,No,Sí,No,No,"realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial ascensos aplicables acciones serán acumulables. contra la negativa de la empresa, y previo informe del comité o,"
diferencia salarial,Parcialmente encontrado,No,No,Sí,Sí,"la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. estas acciones serán acumulables. contra la negativa de la empresa, diferencia salarial informe del comité o, en su caso, de los delegados de personal, el trabajador podrá"
jurisdicción social,Encontrado en glosario,Sí,Sí,Sí,Sí,la jurisdicción social. mediante la negociación colectiva se podrán establecer periodos distintos de los expresados en este artículo a efectos jurisdicción social la cobertura de vacantes. . el trabajador tendrá derecho a la retribución correspondiente a las
