Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
movilidad funcional en el empresa,Encontrado en glosario,Sí,No,Sí,Sí,Sí,Artículo 39. Movilidad funcional. 1. La movilidad funcional en la movilidad funcional en el empresa
movilidad funcional para el realización,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"la prestación laboral y con respeto a la dignidad del trabajador. 2. La movilidad funcional para la realización de funciones, movilidad funcional para el realización a movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador"
tiempo imprescindible para su atención,Encontrado en glosario,Sí,No,No,Sí,No,técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención. El empresario deberá comunicar su decisión tiempo imprescindible para su atención
función superior a el del,Encontrado en glosario,Sí,Sí,No,Sí,No,En el caso de encomienda de funciones superiores a las del grupo profesional por un periodo superior a seis meses función superior a el del uncional
grupo profesional por uno periodo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,de funciones superiores a las del grupo profesional por un periodo superior a seis meses durante un año u ocho grupo profesional por uno periodo
vacante correspondiente a el función,Encontrado en glosario,Sí,No,Sí,Sí,No,de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en vacante correspondiente a el función
ascenso aplicable en el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. Estas acciones serán acumulables. Contra ascenso aplicable en el empresa al"
periodo distinto de el expresado,Encontrado en glosario,Sí,No,No,Sí,No,este artículo a efectos de reclamar la cobertura de vacantes. 3. El trabajador tendrá derecho a la retribución correspondiente a periodo distinto de el expresado l
retribución correspondiente a el función,Encontrado en glosario,Sí,No,Sí,Sí,No,"en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar como retribución correspondiente a el función movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador"
función distinto de el habitual,Encontrado en glosario,Sí,No,No,Sí,No,El cambio de funciones distintas de las pactadas no incluido en los supuestos previstos en este artículo requerirá el acuerdo función distinto de el habitual al
función distinto de el pactado,Encontrado en glosario,Sí,No,No,Sí,No,"el acuerdo de las partes o, en su defecto, el sometimiento a las reglas previstas para las modificaciones sustanciales de función distinto de el pactado nal"
supuesto previsto en este artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,el sometimiento a las reglas previstas para las modificaciones sustanciales de condiciones de trabajo o a las que a tal supuesto previsto en este artículo 1
regla previsto para el modificación,Encontrado en glosario,Sí,No,Sí,Sí,No,se hubieran establecido en convenio colectivo. regla previsto para el modificación 1
modificación sustancial de  condición,Encontrado en glosario,Sí,No,Sí,Sí,No,convenio colectivo. modificación sustancial de  condición La movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador
