Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
consideración de horas,consideración,de,horas,consideración,hora,consideración de hora,No,No,No,Sí,No,No encontrado,"Artículo 35. Horas extraordinarias. 1. Tendrán la consideración de horas extraordinarias consideración de horas trabajo que se realicen sobre la duración máxima de la jornada ordinaria de trabajo, fijada"
horas de trabajo,horas,de,trabajo,horas,trabajo,horas de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"35. Horas extraordinarias. 1. Tendrán la consideración de horas extraordinarias aquellas horas de trabajo que horas de trabajo la duración máxima de la jornada ordinaria de trabajo, fijada de acuerdo con el artículo"
compensarlas por tiempos,compensarlas,por,tiempos,compensarla,tiempo,compensarla por tiempo,No,No,No,No,No,No encontrado,"la hora ordinaria, o compensarlas por tiempos equivalentes de descanso retribuido. En ausencia de pacto compensarlas por tiempos entenderá que las horas extraordinarias realizadas deberán ser compensadas mediante descanso dentro de los cuatro"
ausencia de pacto,ausencia,de,pacto,ausencia,pacto,ausencia de pacto,No,Sí,Sí,No,No,Parcialmente encontrado,"descanso retribuido. En ausencia de pacto al respecto, se entenderá que las horas extraordinarias realizadas ausencia de pacto mediante descanso dentro de los cuatro meses siguientes a su realización. 2. El número de"
pacto al respecto,pacto,al,respecto,pacto,respecto,pacto al respecto,No,Sí,No,No,No,Parcialmente encontrado,"En ausencia de pacto al respecto, se entenderá que las horas extraordinarias realizadas deberán ser pacto al respecto dentro de los cuatro meses siguientes a su realización. 2. El número de horas extraordinarias"
número de horas,número,de,horas,número,hora,número de hora,No,No,No,No,No,No encontrado,"de horas extraordinarias no podrá ser superior a ochenta al año, salvo lo previsto en número de horas Para los trabajadores que por la modalidad o duración de su contrato realizasen una jornada"
ochenta al año,ochenta,al,año,ochenta,año,ochenta al año,No,No,No,No,No,No encontrado,"al año, salvo lo previsto en el apartado 3. Para los trabajadores que por la ochenta al año de su contrato realizasen una jornada en cómputo anual inferior a la jornada general en"
jornada en cómputo,jornada,en,cómputo,jornada,cómputo,jornada en cómputo,No,No,Sí,No,No,Parcialmente encontrado,"anual inferior a la jornada general en la empresa, el número máximo anual de horas jornada en cómputo en la misma proporción que exista entre tales jornadas. A los efectos de lo dispuesto"
ramas de actividad,ramas,de,actividad,ramas,actividad,ramas de actividad,No,No,Sí,No,No,Parcialmente encontrado,"de colocación de los trabajadores en situación de desempleo. 3. No se tendrá en cuenta, ramas de actividad la duración máxima de la jornada ordinaria laboral, ni para el cómputo del número máximo"
oportunidades de colocación,oportunidades,de,colocación,oportunidades,colocación,oportunidades de colocación,No,No,Sí,No,Sí,Parcialmente encontrado,"No se tendrá en cuenta, a efectos de la duración máxima de la jornada ordinaria oportunidades de colocación el cómputo del número máximo de las horas extraordinarias autorizadas, el exceso de las trabajadas"
trabajadores en situación,trabajadores,en,situación,trabajador,situación,trabajador en situación,No,Sí,No,No,Sí,Parcialmente encontrado,"a efectos de la duración máxima de la jornada ordinaria laboral, ni para el cómputo trabajadores en situación de las horas extraordinarias autorizadas, el exceso de las trabajadas para prevenir o reparar siniestros"
situación de desempleo,situación,de,desempleo,situación,desempleo,situación de desempleo,No,No,Sí,Sí,No,Parcialmente encontrado,"de la duración máxima de la jornada ordinaria laboral, ni para el cómputo del número situación de desempleo horas extraordinarias autorizadas, el exceso de las trabajadas para prevenir o reparar siniestros y otros"
cómputo del número,cómputo,del,número,cómputo,número,cómputo del número,No,Sí,No,No,No,Parcialmente encontrado,"o reparar siniestros y otros daños extraordinarios y urgentes, sin perjuicio de su compensación como cómputo del número La prestación de trabajo en horas extraordinarias será voluntaria, salvo que su realización se haya"
prestación de trabajo,prestación,de,trabajo,prestación,trabajo,prestación de trabajo,No,Sí,Sí,Sí,No,Parcialmente encontrado,"de trabajo, dentro de los límites del apartado 2. 5. A efectos del cómputo de prestación de trabajo jornada de cada trabajador se registrará día a día y se totalizará en el periodo"
trabajo en horas,trabajo,en,horas,trabajo,horas,trabajo en horas,No,Sí,No,No,No,Parcialmente encontrado,"dentro de los límites del apartado 2. 5. A efectos del cómputo de horas extraordinarias, trabajo en horas cada trabajador se registrará día a día y se totalizará en el periodo fijado para"
límites del apartado,límites,del,apartado,límite,apartado,límite del apartado,No,No,No,No,No,No encontrado,"se totalizará en el periodo fijado para el abono de las retribuciones, entregando copia del límites del apartado en el recibo correspondiente."
efectos del cómputo,efectos,del,cómputo,efectos,cómputo,efectos del cómputo,No,No,Sí,No,No,Parcialmente encontrado,"de las retribuciones, entregando copia del resumen al trabajador en el recibo correspondiente. efectos del cómputo"
cómputo de horas,cómputo,de,horas,cómputo,horas,cómputo de horas,No,Sí,No,No,No,Parcialmente encontrado,"retribuciones, entregando copia del resumen al trabajador en el recibo correspondiente. cómputo de horas"
día a día,día,a,día,día,día,día a día,No,No,No,No,No,No encontrado,día a día
copia del resumen,copia,del,resumen,copia,resumir,copia del resumir,No,No,No,No,No,No encontrado,copia del resumen
resumen al trabajador,resumen,al,trabajador,resumen,trabajador,resumen al trabajador,No,No,Sí,No,No,Parcialmente encontrado,resumen al trabajador
