Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
duración máximo de el jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,1. Tendrán la consideración de horas extraordinarias aquellas horas de trabajo que se realicen sobre la duración máxima de la duración máximo de el jornada narias
jornada ordinario de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"de horas extraordinarias aquellas horas de trabajo que se realicen sobre la duración máxima de la jornada ordinaria de trabajo, jornada ordinario de  trabajo narias"
tiempo equivalente de  descanso,Encontrado en glosario,Sí,No,Sí,Sí,No,"al valor de la hora ordinaria, o compensarlas por tiempos equivalentes de descanso retribuido. En ausencia de pacto al respecto, tiempo equivalente de  descanso rias"
mes siguiente a su realización,Parcialmente encontrado,No,No,Sí,No,No,compensadas mediante descanso dentro de los cuatro meses siguientes a su realización. 2. El número de horas extraordinarias no podrá mes siguiente a su realización arias
jornada general en el empresa,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"a la jornada general en la empresa, el número máximo anual de horas extraordinarias se reducirá en la misma proporción jornada general en el empresa narias"
mes siguiente a su realización,Parcialmente encontrado,No,No,Sí,No,No,"a su realización. El Gobierno podrá suprimir o reducir el número máximo de horas extraordinarias por tiempo determinado, con carácter mes siguiente a su realización arias"
número máximo de  hora,Parcialmente encontrado,No,No,Sí,No,No,"extraordinarias por tiempo determinado, con carácter general o para ciertas ramas de actividad o ámbitos territoriales, para incrementar las oportunidades número máximo de  hora traordinarias"
hora extraordinaria por  tiempo,Encontrado en glosario,Sí,No,Sí,Sí,No,"determinado, con carácter general o para ciertas ramas de actividad o ámbitos territoriales, para incrementar las oportunidades de colocación de hora extraordinaria por  tiempo rias"
duración máximo de el jornada,Encontrado en glosario,Sí,No,Sí,Sí,No,"cómputo del número máximo de las horas extraordinarias autorizadas, el exceso de las trabajadas para prevenir o reparar siniestros y duración máximo de el jornada narias"
número máximo de el hora,Parcialmente encontrado,No,No,Sí,No,No,"trabajadas para prevenir o reparar siniestros y otros daños extraordinarios y urgentes, sin perjuicio de su compensación como horas extraordinarias. número máximo de el hora aordinarias"
contrato individual de  trabajo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"horas extraordinarias, la jornada de cada trabajador se registrará día a día y se totalizará en el periodo fijado para contrato individual de  trabajo rias"
periodo fijado para el abono,Encontrado en glosario,Sí,No,Sí,Sí,No,"periodo fijado para el abono de las retribuciones, entregando copia del resumen al trabajador en el recibo correspondiente"
