Término,Patrón N+ADJ,Ubicación,Contexto
sexo,discriminación directa,Contexto,"SEXO: o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de [sexo] , origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación e identidad sexual, expresión de género, características sexuales, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del Estado español."
sexo,grupo profesional,Contexto,"SEXO: condiciones de contratación de modo que, en igualdad de condiciones de idoneidad, tengan preferencia para ser contratadas las personas del [sexo] menos representado en el grupo profesional de que se trate."
sexo,clasificación profesional,Contexto,"SEXO: de clasificación profesional, promoción y formación, de modo que, en igualdad de condiciones de idoneidad, tengan preferencia las personas del [sexo] menos representado para favorecer su acceso al grupo profesional o puesto de trabajo de que se trate."
reclamación,trato desfavorable,Contexto,RECLAMACIÓN: órdenes de discriminar y las decisiones del empresario que supongan un trato desfavorable de los trabajadores como reacción ante una [reclamación] efectuada en la empresa o ante una acción administrativa o judicial destinada a exigir el cumplimiento del principio de igualdad de trato y no discriminación.
empleo,convenios colectivos,Contexto,"EMPLEO: las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del empresario que den lugar en el [empleo] , así como en materia de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación e identidad sexual, expresión de género, características sexuales, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del Estado español."
empleo,apartado anterior,Contexto,"EMPLEO: No obstante lo dispuesto en el apartado anterior, el Gobierno podrá regular medidas de reserva, duración o preferencia en el [empleo] que tengan por objeto facilitar la colocación de trabajadores demandantes de empleo."
empleo,trabajadores demandantes,Contexto,"EMPLEO: medidas de reserva, duración o preferencia en el empleo que tengan por objeto facilitar la colocación de trabajadores demandantes de [empleo] ."
empleo,trabajadores demandantes,Contexto,"EMPLEO: la colocación de trabajadores demandantes de empleo. Asimismo, el Gobierno podrá otorgar subvenciones, desgravaciones y otras medidas para fomentar el [empleo] de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al empleo."
empleo,grupos específicos,Contexto,EMPLEO: desgravaciones y otras medidas para fomentar el empleo de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al [empleo] .
empleo,asociaciones empresariales,Contexto,EMPLEO: asociaciones empresariales más representativas. Las medidas a las que se refieren los párrafos anteriores se orientarán prioritariamente a fomentar el [empleo] estable de los trabajadores desempleados y la conversión de contratos temporales en contratos por tiempo indefinido.
obligación,violencia dirigida,Contexto,OBLIGACIÓN: o judicial destinada a exigir el cumplimiento del principio de igualdad de trato y no discriminación. El incumplimiento de la [obligación] de tomar medidas de protección frente a la discriminación y la violencia dirigida a las personas LGTBI a que se refiere el artículo .
discriminación,relaciones laborales,Contexto,DISCRIMINACIÓN: Artículo . No [discriminación] en las relaciones laborales.
