Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
relaciones laborales,Encontrado en glosario,Sí,No,Sí,Sí,"artículo . no discriminación en las relaciones laborales . se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios"
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,"en las relaciones laborales. . se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, convenios colectivos individuales y las decisiones unilaterales del empresario que den lugar en el empleo, así como"
pactos individuales,Parcialmente encontrado,No,Sí,Sí,No,". se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y pactos individuales unilaterales del empresario que den lugar en el empleo, así como en materia de retribuciones,"
decisiones unilaterales,Parcialmente encontrado,No,Sí,Sí,No,"y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del decisiones unilaterales den lugar en el empleo, así como en materia de retribuciones, jornada y demás condiciones"
discriminación directa,Parcialmente encontrado,No,Sí,Sí,Sí,"como en materia de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por discriminación directa edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de sexo,"
indirecta desfavorables,No encontrado,No,No,No,No,"de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad indirecta desfavorables o a situaciones de discriminación directa o indirecta por razón de sexo, origen, incluido el"
discriminación directa,Parcialmente encontrado,No,Sí,Sí,Sí,"directa o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón discriminación directa origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas,"
estado civil,Encontrado en glosario,Sí,Sí,Sí,Sí,"indirecta por razón de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, estado civil identidad sexual, expresión de género, características sexuales, adhesión o no a sindicatos y a sus"
condición social,Parcialmente encontrado,No,Sí,Sí,Sí,"de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación e identidad condición social de género, características sexuales, adhesión o no a sindicatos y a sus acuerdos, vínculos de"
ideas políticas,Parcialmente encontrado,No,No,Sí,No,"étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación e identidad sexual, expresión de género, características sexuales, adhesión ideas políticas a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas"
identidad sexual,Parcialmente encontrado,No,Sí,Sí,Sí,"religión o convicciones, ideas políticas, orientación e identidad sexual, expresión de género, características sexuales, adhesión o no a sindicatos y identidad sexual acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua"
características sexuales,Parcialmente encontrado,No,No,Sí,Sí,"identidad sexual, expresión de género, características sexuales, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con características sexuales a o relacionadas con la empresa y lengua dentro del estado español. serán igualmente nulas"
personas pertenecientes,Parcialmente encontrado,No,Sí,No,No,de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del estado español. serán igualmente nulas personas pertenecientes de discriminar y las decisiones del empresario que supongan un trato desfavorable de los trabajadores
estado español,Parcialmente encontrado,No,Sí,No,No,lengua dentro del estado español. serán igualmente nulas las órdenes de discriminar y las decisiones del empresario que supongan un estado español de los trabajadores como reacción ante una reclamación efectuada en la empresa o ante una
