Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
decisión unilateral del  empresario,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del empresario que den decisión unilateral del  empresario las relaciones laborales"
indirecto desfavorable por  razón,Parcialmente encontrado,No,No,Sí,No,No,"demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad o discapacidad o a indirecto desfavorable por  razón n las relaciones laborales"
tratar desfavorable de el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,los trabajadores como reacción ante una reclamación efectuada en la empresa o ante una acción administrativa o judicial destinada a tratar desfavorable de el trabajador as relaciones laborales
reclamación efectuado en el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,la empresa o ante una acción administrativa o judicial destinada a exigir el cumplimiento del principio de igualdad de trato reclamación efectuado en el empresa las relaciones laborales
violencia dirigido a el persona,Encontrado en glosario,Sí,No,Sí,Sí,No,LGTBI a que se refiere el artículo 62.3 de la Ley para la igualdad real y efectiva de las personas violencia dirigido a el persona en las relaciones laborales
persona empleadora en el término,Encontrado en glosario,Sí,No,Sí,Sí,No,"del artículo 62.2 de la misma norma. 2. Podrán establecerse por ley las exclusiones, reservas y preferencias para ser contratado persona empleadora en el término en las relaciones laborales"
trabajador demandante de  empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,para fomentar el empleo de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al empleo. La regulación de trabajador demandante de  empleo en las relaciones laborales
grupo específico de  trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,hará previa consulta a las organizaciones sindicales y asociaciones empresariales más representativas. Las medidas a las que se refieren los grupo específico de  trabajador en las relaciones laborales
empleo estable de el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,"lo dispuesto en los apartados anteriores, la negociación colectiva podrá establecer medidas de acción positiva para favorecer el acceso de empleo estable de el trabajador en las relaciones laborales"
contrato temporal en  contrato,Encontrado en glosario,Sí,Sí,Sí,Sí,No,establecer medidas de acción positiva para favorecer el acceso de las mujeres a todas las profesiones. A tal efecto podrá contrato temporal en  contrato n en las relaciones laborales
igualdad efectivo de  mujer,Encontrado en glosario,Sí,No,Sí,Sí,No,igualdad efectivo de  mujer ción en las relaciones laborales
