Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
empresa español en el extranjero,Encontrado en glosario,Sí,No,Sí,Sí,No,"España al servicio de empresas españolas en el extranjero. De no observarse la exigencia de forma escrita, el contrato de empresa español en el extranjero 1"
tiempo parcial de el servicio,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"tiempo parcial de los servicios. Cualquiera de las partes podrá exigir que el contrato se formalice por escrito, incluso durante tiempo parcial de el servicio to"
oficina público de  empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"plazo de los diez días siguientes a su concertación y en los términos que reglamentariamente se determinen, el contenido de oficina público de  empleo trato"
día siguiente a su concertación,Encontrado en glosario,Sí,No,Sí,Sí,No,"los términos que reglamentariamente se determinen, el contenido de los contratos de trabajo que celebre o las prórrogas de los día siguiente a su concertación"
representación legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección sobre los que representación legal de el trabajador l contrato de trabajo se podrá celebrar por escrito o de palabra"
copia básico de todo el,Encontrado en glosario,Sí,No,No,Sí,No,excepción de los contratos de relación laboral especial de alta dirección sobre los que se establece el deber de notificación copia básico de todo el contrato
representación legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"contenido del contrato a la legalidad vigente, esta copia básica contendrá todos los datos del contrato a excepción del número representación legal de el trabajador l contrato de trabajo se podrá celebrar por escrito o de palabra"
documento nacional de  identidad,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"y cualquier otro que, de acuerdo con la Ley Orgánica 1/1982, de 5 de mayo, de protección civil del derecho documento nacional de  identidad 1"
protección civil del  derecho,Encontrado en glosario,Sí,No,Sí,Sí,Sí,personal. El tratamiento de la información facilitada estará sometido a los principios y garantías previstos en la normativa aplicable en protección civil del  derecho to
garantía previsto en el normativo,Encontrado en glosario,Sí,No,Sí,Sí,No,"diez días desde la formalización del contrato, a los representantes legales de los trabajadores, quienes la firmarán a efectos de garantía previsto en el normativo 1"
normativo aplicable en  materia,Encontrado en glosario,Sí,No,Sí,Sí,No,"formalización del contrato, a los representantes legales de los trabajadores, quienes la firmarán a efectos de acreditar que se ha normativo aplicable en  materia"
representante legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,Cuando no exista representación legal de los trabajadores también deberá formalizarse copia básica y remitirse a la oficina de empleo. representante legal de el trabajador El contrato de trabajo se podrá celebrar por escrito o de palabra
representación legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,que tengan acceso a la copia básica de los contratos en virtud de su pertenencia a los órganos de participación representación legal de el trabajador l contrato de trabajo se podrá celebrar por escrito o de palabra
copia básico de el contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"5. Cuando la relación laboral sea de duración superior a cuatro semanas, el empresario deberá informar por escrito al trabajador, copia básico de el contrato rato"
fin distinto de el que,No encontrado,No,No,No,No,No,"esenciales del contrato y las principales condiciones de ejecución de la prestación laboral, siempre que tales elementos y condiciones no fin distinto de el que contrato"
elemento esencial del  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,elemento esencial del  contrato
trabajo formalizado por  escrito,Encontrado en glosario,Sí,No,Sí,Sí,No,trabajo formalizado por  escrito 1
