Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
empleo,N/A,No encontrado,No,No,"EMPLEO: actividad y las oscilaciones que, aun tratándose de la actividad normal de la empresa, generan un desajuste temporal entre el [empleo] estable disponible y el que se requiere, siempre que no respondan a los supuestos incluidos en el artículo 16"
empleo,N/A,No encontrado,No,No,"
EMPLEO: facilitar el acceso efectivo de estas personas trabajadoras a las acciones incluidas en el sistema de formación profesional para el [empleo] , a fin de mejorar su cualificación y favorecer su progresión y movilidad profesionales"
empleo,empleo correspondiente,Parcialmente encontrado,Sí,No," En todo caso, la persona trabajadora podrá solicitar, por escrito al servicio público de [empleo] correspondiente un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acreditar su condición de persona trabajadora fija en la empresa"
empleo,N/A,No encontrado,No,No," El Servicio Público de [empleo] emitirá dicho documento y lo pondrá en conocimiento de la empresa en la que la persona trabajadora preste sus servicios y de la Inspección de Trabajo y Seguridad Social, si advirtiera que se han sobrepasado los límites máximos temporales establecidos"
obligación,N/A,No encontrado,No,No,"
OBLIGACIÓN: los contratos realizados de acuerdo con las modalidades de contratación por tiempo determinado previstas en este artículo, cuando no exista [obligación] legal de entregar copia básica de los mismos"
derecho,N/A,No encontrado,No,No," Podrán celebrarse contratos de duración determinada para la sustitución de una persona trabajadora con [derecho] a reserva de puesto de trabajo, siempre que se especifique en el contrato el nombre de la persona sustituida y la causa de la sustitución"
derecho,N/A,No encontrado,No,No," Cuando un determinado [derecho] o condición de trabajo esté atribuido en las disposiciones legales o reglamentarias y en los convenios colectivos en función de una previa anti - güedad de la persona trabajadora, esta deberá computarse según los mismos criterios para todas las personas trabajadoras, cualquiera que sea su modalidad de contratación"
centro de trabajo,N/A,No encontrado,No,No," Esta información podrá facilitarse mediante un anuncio público en un lugar adecuado de la empresa o [centro de trabajo] , o mediante otros medios previstos en la negociación colectiva, que aseguren la transmisión de la información"
servicio,servicio público,Encontrado en glosario,Sí,Sí," En todo caso, la persona trabajadora podrá solicitar, por escrito al [servicio] público de empleo correspondiente un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acreditar su condición de persona trabajadora fija en la empresa"
servicio,servicio público,Encontrado en glosario,Sí,Sí," El [servicio] Público de Empleo emitirá dicho documento y lo pondrá en conocimiento de la empresa en la que la persona trabajadora preste sus servicios y de la Inspección de Trabajo y Seguridad Social, si advirtiera que se han sobrepasado los límites máximos temporales establecidos"
jornada,jornada reducida,No encontrado,No,No," Asimismo, el contrato de sustitución podrá concertarse para completar la [jornada] reducida por otra persona trabajadora, cuando dicha reducción se ampare en causas legalmente establecidas o reguladas en el convenio colectivo y se especifique en el contrato el nombre de la persona sustituida y la causa de la sustitución"
jornada reducida,N/A,No encontrado,No,No," Asimismo, el contrato de sustitución podrá concertarse para completar la [jornada reducida] por otra persona trabajadora, cuando dicha reducción se ampare en causas legalmente establecidas o reguladas en el convenio colectivo y se especifique en el contrato el nombre de la persona sustituida y la causa de la sustitución"
trabajo,N/A,No encontrado,No,No, Duración del contrato de [trabajo] 
trabajo,N/A,No encontrado,No,No, El contrato de [trabajo] se presume concertado por tiempo indefinido
trabajo,N/A,No encontrado,No,No, El contrato de [trabajo] de duración determinada solo podrá celebrarse por circunstancias de la producción o por sustitución de persona trabajadora
trabajo,N/A,No encontrado,No,No,"
TRABAJO: Podrán celebrarse contratos de duración determinada para la sustitución de una persona trabajadora con derecho a reserva de puesto de [trabajo] , siempre que se especifique en el contrato el nombre de la persona sustituida y la causa de la sustitución"
trabajo,N/A,No encontrado,No,No," El contrato de sustitución podrá ser también celebrado para la cobertura temporal de un puesto de [trabajo] durante el proceso de selección o promoción para su cobertura definitiva mediante contrato fijo, sin que su duración pueda ser en este  caso superior a tres meses, o el plazo inferior recogido en convenio colectivo, ni pueda celebrarse un nuevo contrato con el mismo objeto una vez superada dicha duración máxima"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: durante un plazo superior a dieciocho meses, con o sin solución de continuidad, para el mismo o diferente puesto de [trabajo] con la misma empresa o grupo de empresas, mediante dos o más contratos por circunstancias de la producción, sea directamente o a través de su puesta a disposición por empresas de trabajo temporal, adquirirán la condición de personas trabajadoras fijas"
