Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
duración del contrato,duración,del,contrato,duración,contrato,duración del contrato,Sí,No,Sí,Sí,No,Encontrado en glosario,Artículo 15. Duración duración del contrato trabajo. 1. El contrato de trabajo se presume concertado por tiempo indefinido. El contrato de
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,Artículo 15. Duración del contrato contrato de trabajo El contrato de trabajo se presume concertado por tiempo indefinido. El contrato de trabajo de
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,Artículo 15. Duración del contrato de trabajo. 1. El contrato de trabajo se contrato de trabajo tiempo indefinido. El contrato de trabajo de duración determinada solo podrá celebrarse por circunstancias de
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,de trabajo se presume concertado por tiempo indefinido. El contrato de trabajo de duración determinada contrato de trabajo por circunstancias de la producción o por sustitución de persona trabajadora. Para que se entienda
trabajo de duración,trabajo,de,duración,trabajo,duración,trabajo de duración,No,Sí,No,No,Sí,Parcialmente encontrado,se presume concertado por tiempo indefinido. El contrato de trabajo de duración determinada solo podrá trabajo de duración de la producción o por sustitución de persona trabajadora. Para que se entienda que concurre
sustitución de persona,sustitución,de,persona,sustitución,persona,sustitución de persona,No,Sí,Sí,Sí,No,Parcialmente encontrado,podrá celebrarse por circunstancias de la producción o por sustitución de persona trabajadora. Para que sustitución de persona concurre causa justificada de temporalidad será necesario que se especifiquen con precisión en el contrato
contrato de duración,contrato,de,duración,contrato,duración,contrato de duración,No,Sí,No,No,Sí,Parcialmente encontrado,"a estas circunstancias de la producción, su duración no podrá ser superior a seis meses. contrato de duración de ámbito sectorial se podrá ampliar la duración máxima del contrato hasta un año. En"
contratos por circunstancias,contratos,por,circunstancias,contrato,circunstancia,contrato por circunstancia,No,Sí,Sí,No,No,Parcialmente encontrado,"reducida y delimitada en los términos previstos en este párrafo. Las empresas solo podrán utilizar contratos por circunstancias máximo de noventa días en el año natural, independientemente de las personas trabajadoras que sean"
marco de contratas,marco,de,contratas,marco,contrata,marco de contrata,No,No,Sí,No,No,Parcialmente encontrado,"de la producción en los términos anteriores. 3. Podrán celebrarse contratos de duración determinada para marco de contratas una persona trabajadora con derecho a reserva de puesto de trabajo, siempre que se especifique"
contratos de duración,contratos,de,duración,contrato,duración,contrato de duración,No,Sí,No,No,Sí,Parcialmente encontrado,"sustituida y la causa de la sustitución. En tal supuesto, la prestación de servicios podrá contratos de duración que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo de las"
derecho a reserva,derecho,a,reserva,derecho,reserva,derecho a reserva,No,Sí,Sí,No,No,Parcialmente encontrado,"de servicios podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, derecho a reserva desarrollo de las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y,"
reserva de puesto,reserva,de,puesto,reserva,puesto,reserva de puesto,No,Sí,No,No,No,Parcialmente encontrado,"podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, coincidiendo en reserva de puesto las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo,"
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"antes de que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo puesto de trabajo el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo, durante quince"
prestación de servicios,prestación,de,servicios,prestación,servicios,prestación de servicios,Sí,Sí,No,Sí,No,Encontrado en glosario,"como máximo, durante quince días. Asimismo, el contrato de sustitución podrá concertarse para completar la prestación de servicios otra persona trabajadora, cuando dicha reducción se ampare en causas legalmente establecidas o reguladas en"
contrato de sustitución,contrato,de,sustitución,contrato,sustitución,contrato de sustitución,No,Sí,Sí,No,Sí,Parcialmente encontrado,sustituida y la causa de la sustitución. El contrato de sustitución podrá ser también celebrado contrato de sustitución temporal de un puesto de trabajo durante el proceso de selección o promoción para su
contrato de sustitución,contrato,de,sustitución,contrato,sustitución,contrato de sustitución,No,Sí,Sí,No,Sí,Parcialmente encontrado,"o el plazo inferior recogido en convenio colectivo, ni pueda celebrarse un nuevo contrato con contrato de sustitución una vez superada dicha duración máxima. 4. Las personas contratadas incumpliendo lo establecido en este"
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,contrato con el mismo objeto una vez superada dicha duración máxima. 4. Las personas contratadas puesto de trabajo en este artículo adquirirán la condición de fijas. También adquirirán la condición de fijas las
proceso de selección,proceso,de,selección,proceso,selección,proceso de selección,No,Sí,No,No,Sí,Parcialmente encontrado,una vez superada dicha duración máxima. 4. Las personas contratadas incumpliendo lo establecido en este proceso de selección condición de fijas. También adquirirán la condición de fijas las personas trabajadoras temporales que no
condición de fijas,condición,de,fijas,condición,fijas,condición de fijas,No,Sí,No,Sí,No,Parcialmente encontrado,"trabajadoras que en un periodo de veinticuatro meses hubieran estado contratadas durante un plazo superior condición de fijas con o sin solución de continuidad, para el mismo o diferente puesto de trabajo con"
condición de fijas,condición,de,fijas,condición,fijas,condición de fijas,No,Sí,No,Sí,No,Parcialmente encontrado,"hubieran estado contratadas durante un plazo superior a dieciocho meses, con o sin solución de condición de fijas mismo o diferente puesto de trabajo con la misma empresa o grupo de empresas, mediante"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"dos o más contratos por circunstancias de la producción, sea directamente o a través de periodo de prueba disposición por empresas de trabajo temporal, adquirirán la condición de personas trabajadoras fijas. Esta previsión"
solución de continuidad,solución,de,continuidad,solución,continuidad,solución de continuidad,No,No,No,Sí,No,No encontrado,cuando se produzcan supuestos de sucesión o subrogación empresarial conforme a lo dispuesto legal o solución de continuidad la condición de fija la persona que ocupe un puesto de trabajo que haya estado
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"conforme a lo dispuesto legal o convencionalmente. Asimismo, adquirirá la condición de fija la persona puesto de trabajo puesto de trabajo que haya estado ocupado con o sin solución de continuidad, durante más"
grupo de empresas,grupo,de,empresas,grupo,empresa,grupo de empresa,No,No,Sí,No,No,Parcialmente encontrado,"adquirirá la condición de fija la persona que ocupe un puesto de trabajo que haya grupo de empresas o sin solución de continuidad, durante más de dieciocho meses en un periodo de veinticuatro"
contratos por circunstancias,contratos,por,circunstancias,contrato,circunstancia,contrato por circunstancia,No,Sí,Sí,No,No,Parcialmente encontrado,"ocupe un puesto de trabajo que haya estado ocupado con o sin solución de continuidad, contratos por circunstancias dieciocho meses en un periodo de veinticuatro meses mediante contratos por circunstancias de la producción,"
puesta a disposición,puesta,a,disposición,puesta,disposición,puesta a disposición,No,No,Sí,No,Sí,Parcialmente encontrado,"continuidad, durante más de dieciocho meses en un periodo de veinticuatro meses mediante contratos por puesta a disposición producción, incluidos los contratos de puesta a disposición realizados con empresas de trabajo temporal. 6."
disposición por empresas,disposición,por,empresas,disposición,empresas,disposición por empresas,No,Sí,No,Sí,No,Parcialmente encontrado,más de dieciocho meses en un periodo de veinticuatro meses mediante contratos por circunstancias de disposición por empresas los contratos de puesta a disposición realizados con empresas de trabajo temporal. 6. Las personas
empresas de trabajo,empresas,de,trabajo,empresas,trabajo,empresas de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"dieciocho meses en un periodo de veinticuatro meses mediante contratos por circunstancias de la producción, empresas de trabajo de puesta a disposición realizados con empresas de trabajo temporal. 6. Las personas con contratos"
condición de personas,condición,de,personas,condición,personas,condición de personas,No,Sí,No,Sí,No,Parcialmente encontrado,"meses mediante contratos por circunstancias de la producción, incluidos los contratos de puesta a disposición condición de personas de trabajo temporal. 6. Las personas con contratos temporales y de duración determinada tendrán los"
