Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
causa justificado de  temporalidad,Encontrado en glosario,Sí,No,No,Sí,No,o por sustitución de persona trabajadora. Para que se entienda que concurre causa justificada de temporalidad será necesario que se causa justificado de  temporalidad o de trabajo
causa habilitante de el contratación,Parcialmente encontrado,Sí,No,Sí,Sí,No,"temporalidad será necesario que se especifiquen con precisión en el contrato la causa habilitante de la contratación temporal, las circunstancias causa habilitante de el contratación de trabajo"
actividad normal de el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"oscilaciones que, aun tratándose de la actividad normal de la empresa, generan un desajuste temporal entre el empleo estable disponible actividad normal de el empresa trato de trabajo"
desajuste temporal entre el empleo,Parcialmente encontrado,No,Sí,Sí,No,No,"de la empresa, generan un desajuste temporal entre el empleo estable disponible y el que se requiere, siempre que no desajuste temporal entre el empleo estable disponible y el que se requiere, siempre que no respondan a los supuestos incluidos en el artículo 16"
supuesto incluir en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,no respondan a los supuestos incluidos en el artículo 16.1. Entre las oscilaciones a que se refiere el párrafo anterior supuesto incluir en el artículo rato de trabajo
convenio colectivo de  ámbito,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,de ámbito sectorial se podrá ampliar la duración máxima del contrato hasta un año. En caso de que el contrato convenio colectivo de  ámbito ntrato de trabajo
duración máximo del  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,del contrato hasta un año. En caso de que el contrato se hubiera concertado por una duración inferior a la duración máximo del  contrato ntrato de trabajo
duración inferior a el máximo,Encontrado en glosario,Sí,No,No,Sí,No,"la máxima legal o convencionalmente establecida, podrá prorrogarse, mediante acuerdo de las partes, por una única vez, sin que la duración inferior a el máximo ntrato de trabajo"
duración total del  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"duración máxima. Igualmente, las empresas podrán formalizar contratos por circunstancias de la producción para atender situaciones ocasionales, previsibles y que duración total del  contrato ontrato de trabajo"
término previsto en este párrafo,Encontrado en glosario,Sí,No,No,Sí,No,"un máximo de noventa días en el año natural, independientemente de las personas trabajadoras que sean necesarias para atender en término previsto en este párrafo ato de trabajo"
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"de este contrato la realización de los trabajos en el marco de contratas, subcontratas o concesiones administrativas que constituyan la representación legal de el persona o de trabajo"
previsión anual de  uso,Parcialmente encontrado,No,No,Sí,No,No,"trabajos en el marco de contratas, subcontratas o concesiones administrativas que constituyan la actividad habitual u ordinaria de la empresa, previsión anual de  uso del contrato de trabajo"
