Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
percepciones económicas,Parcialmente encontrado,No,No,Sí,Sí,"artículo . del salario. . se considerará salario la totalidad de las percepciones percepciones económicas los trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales"
prestación profesional,Parcialmente encontrado,No,Sí,Sí,Sí,"salario la totalidad de las percepciones económicas de los trabajadores, en dinero o en especie, por la prestación profesional de prestación profesional laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de"
servicios laborales,Parcialmente encontrado,No,Sí,Sí,Sí,"las percepciones económicas de los trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales por servicios laborales ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos"
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"en especie, por la prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que trabajo efectivo forma de remuneración, o los periodos de descanso computables como de trabajo. en ningún caso,"
descanso computables,Parcialmente encontrado,No,Sí,No,No,"el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo. en descanso computables incluidas las relaciones laborales de carácter especial a que se refiere el artículo , el"
relaciones laborales,Encontrado en glosario,Sí,No,Sí,Sí,"periodos de descanso computables como de trabajo. en ningún caso, incluidas las relaciones laborales de carácter especial a que se relaciones laborales artículo , el salario en especie podrá superar el treinta por ciento de las percepciones"
carácter especial,Parcialmente encontrado,No,No,Sí,Sí,"computables como de trabajo. en ningún caso, incluidas las relaciones laborales de carácter especial a que se refiere el artículo carácter especial salario en especie podrá superar el treinta por ciento de las percepciones salariales del trabajador,"
percepciones salariales,Parcialmente encontrado,No,No,Sí,Sí,"el salario en especie podrá superar el treinta por ciento de las percepciones salariales del trabajador, ni dar lugar a percepciones salariales de la cuan tía íntegra en dinero del salario mínimo interprofesional. . no tendrán la"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,a la minoración de la cuan tía íntegra en dinero del salario mínimo interprofesional. . no tendrán la consideración de salario mínimo cantidades perci bidas por el trabajador en concepto de indemnizaciones o suplidos por los gastos
cantidades perci,No encontrado,No,No,No,No,"mínimo interprofesional. . no tendrán la consideración de salario las cantidades perci bidas por el trabajador en concepto de indemnizaciones cantidades perci por los gastos realizados como consecuencia de su actividad laboral, las prestaciones e indemnizaciones de"
