Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
forma de remuneración,forma,de,remuneración,forma,remuneración,forma de remuneración,No,No,Sí,No,Sí,Parcialmente encontrado,"el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso forma de remuneración trabajo. En ningún caso, incluidas las relaciones laborales de carácter especial a que se refiere"
periodos de descanso,periodos,de,descanso,periodos,descanso,periodos de descanso,No,No,Sí,No,No,Parcialmente encontrado,"la forma de remuneración, o los periodos de descanso computables como de trabajo. En ningún periodos de descanso relaciones laborales de carácter especial a que se refiere el artículo 2, el salario en"
salario en especie,salario,en,especie,salario,especie,salario en especie,Sí,Sí,No,No,No,Encontrado en glosario,"artículo 2, el salario en especie podrá superar el treinta por ciento de las percepciones salario en especie ni dar lugar a la minoración de la cuan tía íntegra en dinero del salario"
dinero del salario,dinero,del,salario,dinero,salario,dinero del salario,No,No,Sí,No,No,Parcialmente encontrado,en dinero del salario mínimo interprofesional. 2. No tendrán la consideración de salario las cantidades dinero del salario el trabajador en concepto de indemnizaciones o suplidos por los gastos realizados como consecuencia de
consideración de salario,consideración,de,salario,consideración,salario,consideración de salario,No,No,Sí,Sí,No,Parcialmente encontrado,"salario las cantidades perci bidas por el trabajador en concepto de indemnizaciones o suplidos por consideración de salario como consecuencia de su actividad laboral, las prestaciones e indemnizaciones de la Seguridad Social y"
trabajador en concepto,trabajador,en,concepto,trabajador,concepto,trabajador en concepto,No,Sí,No,No,No,Parcialmente encontrado,"de indemnizaciones o suplidos por los gastos realizados como consecuencia de su actividad laboral, las trabajador en concepto de la Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos. 3. Mediante"
concepto de indemnizaciones,concepto,de,indemnizaciones,concepto,indemnización,concepto de indemnización,No,No,Sí,No,No,Parcialmente encontrado,"o suplidos por los gastos realizados como consecuencia de su actividad laboral, las prestaciones e concepto de indemnizaciones Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos. 3. Mediante la negociación"
estructura del salario,estructura,del,salario,estructura,salario,estructura del salario,No,No,Sí,No,No,Parcialmente encontrado,"fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados estructura del salario circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación"
unidad de tiempo,unidad,de,tiempo,unidad,tiempo,unidad de tiempo,No,No,No,No,No,No encontrado,"en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o unidad de tiempo y resultados de la empresa, que se calcularán conforme a los criterios que a tal"
función de circunstancias,función,de,circunstancias,función,circunstancia,función de circunstancia,No,No,Sí,Sí,No,Parcialmente encontrado,"la situación y resultados de la empresa, que se calcularán conforme a los criterios que función de circunstancias se pacten. Igualmente se pactará el carácter consolidable o no de dichos complementos salariales, no"
carácter de consolidables,carácter,de,consolidables,carácter,consolidabl,carácter de consolidabl,No,No,No,No,No,No encontrado,"y resultados de la empresa. 4. Todas las cargas fiscales y de Seguridad Social a carácter de consolidables serán satisfechas por el mismo, siendo nulo todo pacto en contrario. 5. Operará la compensación"
acuerdo en contrario,acuerdo,en,contrario,acuerdo,contrario,acuerdo en contrario,No,Sí,No,No,No,Parcialmente encontrado,4. Todas las cargas fiscales y de Seguridad Social a cargo del trabajador serán satisfechas acuerdo en contrario siendo nulo todo pacto en contrario. 5. Operará la compensación y absorción cuando los salarios
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"a cargo del trabajador serán satisfechas por el mismo, siendo nulo todo pacto en contrario. puesto de trabajo compensación y absorción cuando los salarios realmente abonados, en su conjunto y cómputo anual, sean"
pacto en contrario,pacto,en,contrario,pacto,contrario,pacto en contrario,No,Sí,No,No,No,Parcialmente encontrado,trabajadores que los fijados en el orden normativo o convencional de referencia. pacto en contrario
convencional de referencia,convencional,de,referencia,convencional,referencia,convencional de referencia,No,No,No,No,No,No encontrado,convencional de referencia
