Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
día completo del  domingo,Encontrado en glosario,Sí,No,No,Sí,Sí,"en su caso, la mañana del lunes y el día completo del domingo. La duración del descanso semanal de los día completo del  domingo manal, fiestas y permisos"
descanso semanal de el menor,Encontrado en glosario,Sí,No,Sí,Sí,No,"el día completo del domingo. La duración del descanso semanal de los menores de dieciocho años será, como mínimo, de descanso semanal de el menor al, fiestas y permisos"
descanso alternativo para  actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,"de regímenes de descanso alternativos para actividades concretas. 2. Las fiestas laborales, que tendrán carácter retribuido y no recuperable, no descanso alternativo para  actividad tas y permisos"
lunes previsto en el párrafo,No encontrado,No,No,No,No,No,"número de fiestas nacionales podrá, en el año que así ocurra, añadir una fiesta más, con carácter de recuperable, al lunes previsto en el párrafo al, fiestas y permisos"
día natural en  caso,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"por consanguineidad o afinidad, incluido el familiar consanguíneo de la pareja de hecho, así como de cualquier otra persona distinta día natural en  caso so semanal, fiestas y permisos"
intervención quirúrgico sin  hospitalización,Encontrado en glosario,Sí,No,No,Sí,No,la persona trabajadora en el mismo domicilio y que requiera el cuidado efectivo de aquella. b bis) Dos días por intervención quirúrgico sin  hospitalización rmisos
persona distinto de el anterior,Encontrado en glosario,Sí,No,No,Sí,No,"motivo la persona trabajadora necesite hacer un desplazamiento al efecto, el plazo se ampliará en dos días. c) Un día persona distinto de el anterior fiestas y permisos"
persona trabajador en el mismo,Encontrado en glosario,Sí,Sí,No,Sí,No,"el plazo se ampliará en dos días. c) Un día por traslado del domicilio habitual. d) Por el tiempo indispensable, persona trabajador en el mismo , fiestas y permisos"
deber inexcusable de  carácter,Encontrado en glosario,Sí,No,Sí,Sí,No,"por ciento de las horas laborables en un periodo de tres meses, podrá la empresa pasar al trabajador afectado a deber inexcusable de  carácter , fiestas y permisos"
hora laborable en uno periodo,Encontrado en glosario,Sí,No,Sí,Sí,No,"en los términos establecidos legal o convencionalmente. f) Por el tiempo indispensable para la realización de exámenes prenatales y técnicas hora laborable en uno periodo l, fiestas y permisos"
trabajador afectado a el situación,Encontrado en glosario,Sí,No,No,Sí,No,"realización de exámenes prenatales y técnicas de preparación al parto y, en los casos de adopción, guarda con fines de trabajador afectado a el situación estas y permisos"
excedencia regulado en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,"de preparación al parto y, en los casos de adopción, guarda con fines de adopción o acogimiento, para la asistencia excedencia regulado en el artículo estas y permisos"
tiempo indispensable para el realización,Encontrado en glosario,Sí,No,Sí,Sí,No,"trabajo o transitar por las vías de circulación necesarias para acudir al mismo, como consecuencia de las recomendaciones, limitaciones o tiempo indispensable para el realización y permisos"
desplazamiento establecido por el autoridad,Encontrado en glosario,Sí,No,Sí,Sí,No,"estado de las redes de comunicación permita su desarrollo, la empresa podrá establecerlo, observando el resto de las obligaciones for desplazamiento establecido por el autoridad ermisos"
jornada derivado de  fuerza,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"las personas trabajadoras tendrán derecho a una hora de ausencia del trabajo, que podrán dividir en dos fracciones, para el jornada derivado de  fuerza nal, fiestas y permisos"
fuerza mayor en el término,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"tendrán derecho a una hora de ausencia del trabajo, que podrán dividir en dos fracciones, para el cuidado del lactante fuerza mayor en el término anal, fiestas y permisos"
término previsto en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,"hora de ausencia del trabajo, que podrán dividir en dos fracciones, para el cuidado del lactante hasta que este cumpla término previsto en el artículo fiestas y permisos"
jornada contemplado en este apartado,Encontrado en glosario,Sí,No,No,Sí,No,del salario a partir del cumplimiento de los nueve meses. 5. Las personas trabajadoras tendrán derecho a ausentarse del trabajo jornada contemplado en este apartado tas y permisos
derecho individual de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,los nueve meses. 5. Las personas trabajadoras tendrán derecho a ausentarse del trabajo durante una hora en el caso de derecho individual de el persona fiestas y permisos
persona trabajadora de el mismo,Encontrado en glosario,Sí,Sí,No,Sí,No,"cualquier causa, deban permanecer hospitalizados a continuación del parto. Asimismo, tendrán derecho a reducir su jornada de trabajo hasta un persona trabajadora de el mismo fiestas y permisos"
ejercicio simultáneo por  razón,Encontrado en glosario,Sí,No,Sí,Sí,No,"hasta un máximo de dos horas, con la disminución proporcional del salario. Para el disfrute de este permiso se estará ejercicio simultáneo por  razón fiestas y permisos"
reducción proporcional del  salario,Encontrado en glosario,Sí,No,Sí,Sí,No,de la duración de aquella. Tendrá el mismo derecho quien precise encargarse del cuidado directo del cónyuge o pareja de reducción proporcional del  salario stas y permisos
nacimiento prematuro de  hijo,Encontrado en glosario,Sí,No,Sí,Sí,No,"incluido el familiar consanguíneo de la pareja de hecho, que por razones de edad, accidente o enfermedad no pueda valerse nacimiento prematuro de  hijo l, fiestas y permisos"
disminución proporcional del  salario,Parcialmente encontrado,No,No,Sí,No,No,"a una reducción de la jornada de trabajo, con la disminución proporcional del salario de, al menos, la mitad de disminución proporcional del  salario as y permisos"
disminución proporcional del  salario,Parcialmente encontrado,No,No,Sí,No,No,"cuidado directo, continuo y permanente, acreditado por el informe del servicio público de salud u órgano administrativo sanitario de la disminución proporcional del  salario as y permisos"
cuidado directo del  cónyuge,Parcialmente encontrado,No,No,Sí,No,Sí,"que hubiere sido objeto de acogimiento permanente o de guarda con fines de adopción cumpla los veintitrés años. En consecuencia, cuidado directo del  cónyuge al, fiestas y permisos"
disminución proporcional del  salario,Parcialmente encontrado,No,No,Sí,No,No,a la reducción de jornada hasta que el causante cumpla 23 años en los supuestos en que el padecimiento de disminución proporcional del  salario as y permisos
cargo afectado por  cáncer,Encontrado en glosario,Sí,No,No,Sí,No,"de edad, siempre que en el momento de la solicitud se acrediten los requisitos establecidos en los párrafos anteriores, salvo cargo afectado por  cáncer anal, fiestas y permisos"
servicio público de  salud,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"grado de discapacidad igual o superior al 65 por ciento. Por convenio colectivo, se podrán establecer las condiciones y supuestos servicio público de  salud anal, fiestas y permisos"
requisito establecido en el párrafo,Encontrado en glosario,Sí,No,No,Sí,No,"o mujeres. No obstante, si dos o más trabajadores de la misma empresa generasen este derecho por el mismo sujeto requisito establecido en el párrafo stas y permisos"
supuesto previsto en el párrafo,Encontrado en glosario,Sí,No,No,Sí,No,"de jornada a que se refiere el apartado 6, en atención a los derechos de conciliación de la vida personal, supuesto previsto en el párrafo fiestas y permisos"
jornada contemplada en este apartado,Encontrado en glosario,Sí,No,No,Sí,No,"la que se determine en el convenio colectivo aplicable, precisando la fecha en que iniciará y finalizará el permiso de jornada contemplada en este apartado constituye un derecho individual de las personas trabajadoras sin que pueda transferirse su ejercicio a la otra persona progenitora, adoptante, guardadora o acogedora"
derecho individual de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"colectivo aplicable, precisando la fecha en que iniciará y finalizará el permiso de cuidado del lactante o la reducción de derecho individual de el trabajador stas y permisos"
