Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
tarde del sábado,tarde,del,sábado,tarde,sábado,tarde del sábado,No,No,No,No,No,No encontrado,"que, como regla general, comprenderá la tarde del sábado o, en su caso, la mañana tarde del sábado el día completo del domingo. La duración del descanso semanal de los menores de dieciocho"
mañana del lunes,mañana,del,lunes,mañana,lunes,mañana del lunes,No,No,No,No,No,No encontrado,"en su caso, la mañana del lunes y el día completo del domingo. La duración mañana del lunes de los menores de dieciocho años será, como mínimo, de dos días ininterrumpidos. Resultará de"
duración del descanso,duración,del,descanso,duración,descanso,duración del descanso,No,No,Sí,Sí,No,Parcialmente encontrado,"del domingo. La duración del descanso semanal de los menores de dieciocho años será, como duración del descanso días ininterrumpidos. Resultará de aplicación al descanso semanal lo dispuesto en el artículo 34.7 en"
aplicación al descanso,aplicación,al,descanso,aplicación,descanso,aplicación al descanso,No,Sí,Sí,Sí,No,Parcialmente encontrado,"al descanso semanal lo dispuesto en el artículo 34.7 en cuanto a ampliaciones y reducciones, aplicación al descanso la fijación de regímenes de descanso alternativos para actividades concretas. 2. Las fiestas laborales, que"
cuanto a ampliaciones,cuanto,a,ampliaciones,cuanto,ampliación,cuanto a ampliación,No,No,No,No,No,No encontrado,"a ampliaciones y reducciones, así como para la fijación de regímenes de descanso alternativos para cuanto a ampliaciones Las fiestas laborales, que tendrán carácter retribuido y no recuperable, no podrán exceder de catorce"
fijación de regímenes,fijación,de,regímenes,fijación,regímén,fijación de regímén,No,No,No,Sí,No,No encontrado,"regímenes de descanso alternativos para actividades concretas. 2. Las fiestas laborales, que tendrán carácter retribuido fijación de regímenes no podrán exceder de catorce al año, de las cuales dos serán locales. En cualquier"
regímenes de descanso,regímenes,de,descanso,regímenes,descanso,regímenes de descanso,No,No,Sí,No,No,Parcialmente encontrado,"descanso alternativos para actividades concretas. 2. Las fiestas laborales, que tendrán carácter retribuido y no regímenes de descanso exceder de catorce al año, de las cuales dos serán locales. En cualquier caso se"
fiestas de ámbito,fiestas,de,ámbito,fiesta,ámbito,fiesta de ámbito,No,No,No,No,No,No encontrado,"Señor, Año Nuevo, 1 de mayo, como Fiesta del Trabajo, y 12 de octubre, como fiestas de ámbito España. Respetando las expresadas en el párrafo anterior, el Gobierno podrá trasladar a los lunes"
fiestas de ámbito,fiestas,de,ámbito,fiesta,ámbito,fiesta de ámbito,No,No,No,No,No,No encontrado,"inmediatamente posterior el descanso laboral correspondiente a las fiestas que coincidan con domingo. Las comunidades fiestas de ámbito límite anual de catorce días festivos, podrán señalar aquellas fiestas que por tradición les sean"
lugar entre semana,lugar,entre,semana,lugar,semana,lugar entre semana,No,No,No,No,No,No encontrado,"a las fiestas que coincidan con domingo. Las comunidades autónomas, dentro del límite anual de lugar entre semana podrán señalar aquellas fiestas que por tradición les sean propias, sustituyendo para ello las de"
