Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
descanso semanal,Encontrado en glosario,Sí,Sí,No,No,"artículo . descanso semanal fiestas y permisos. . los trabajadores tendrán derecho a un descanso mínimo semanal, acumulable por"
descanso mínimo,Parcialmente encontrado,No,Sí,No,No,"artículo . descanso semanal, fiestas y permisos. . los trabajadores tendrán derecho a un descanso mínimo descanso mínimo por periodos de hasta catorce días, de día y medio ininterrumpido que, como regla general,"
regla general,Parcialmente encontrado,No,Sí,Sí,Sí,"semanal, acumulable por periodos de hasta catorce días, de día y medio ininterrumpido que, como regla general, comprenderá la tarde regla general o, en su caso, la mañana del lunes y el día completo del domingo. la"
día completo,Parcialmente encontrado,No,No,Sí,Sí,"del sábado o, en su caso, la mañana del lunes y el día completo del domingo. la duración del descanso día completo los menores de dieciocho años será, como mínimo, de dos días ininterrumpidos. resultará de aplicación"
descanso semanal,Encontrado en glosario,Sí,Sí,No,No,"del lunes y el día completo del domingo. la duración del descanso semanal de los menores de dieciocho años será, descanso semanal de dos días ininterrumpidos. resultará de aplicación al descanso semanal lo dispuesto en el artículo"
días ininterrumpidos,No encontrado,No,No,No,No,"menores de dieciocho años será, como mínimo, de dos días ininterrumpidos. resultará de aplicación al descanso semanal lo dispuesto en días ininterrumpidos . en cuanto a ampliaciones y reducciones, así como para la fijación de regímenes de"
descanso semanal,Encontrado en glosario,Sí,Sí,No,No,de dos días ininterrumpidos. resultará de aplicación al descanso semanal lo dispuesto en el artículo . en cuanto a ampliaciones descanso semanal así como para la fijación de regímenes de descanso alternativos para actividades concretas. . las
descanso alternativos,Parcialmente encontrado,No,Sí,No,No,"como para la fijación de regímenes de descanso alternativos para actividades concretas. . las fiestas laborales, que tendrán carácter retribuido descanso alternativos recuperable, no podrán exceder de catorce al año, de las cuales dos serán locales. en"
actividades concretas,Parcialmente encontrado,No,Sí,No,No,"fijación de regímenes de descanso alternativos para actividades concretas. . las fiestas laborales, que tendrán carácter retribuido y no recuperable, actividades concretas exceder de catorce al año, de las cuales dos serán locales. en cualquier caso se"
fiestas laborales,Parcialmente encontrado,No,No,Sí,Sí,"alternativos para actividades concretas. . las fiestas laborales, que tendrán carácter retribuido y no recuperable, no podrán exceder de catorce fiestas laborales de las cuales dos serán locales. en cualquier caso se respetarán como fiestas de ámbito"
carácter retribuido,No encontrado,No,No,No,No,"las fiestas laborales, que tendrán carácter retribuido y no recuperable, no podrán exceder de catorce al año, de las cuales carácter retribuido locales. en cualquier caso se respetarán como fiestas de ámbito nacional las de la natividad"
ámbito nacional,Parcialmente encontrado,No,No,Sí,No,"fiestas de ámbito nacional las de la natividad del señor, año nuevo, de mayo, como fiesta del trabajo, y de ámbito nacional fiesta nacional de españa. respetando las expresadas en el párrafo anterior, el gobierno podrá trasladar"
año nuevo,No encontrado,No,No,No,No,"señor, año nuevo, de mayo, como fiesta del trabajo, y de octubre, como fiesta nacional de españa. respetando las expresadas año nuevo párrafo anterior, el gobierno podrá trasladar a los lunes todas las fiestas de ámbito nacional"
fiesta nacional,Parcialmente encontrado,No,No,Sí,No,"españa. respetando las expresadas en el párrafo anterior, el gobierno podrá trasladar a los lunes todas las fiestas de ámbito fiesta nacional tengan lugar entre semana, siendo, en todo caso, objeto de traslado al lunes inmediatamente posterior"
párrafo anterior,No encontrado,No,No,No,No,"podrá trasladar a los lunes todas las fiestas de ámbito nacional que tengan lugar entre semana, siendo, en todo caso, párrafo anterior traslado al lunes inmediatamente posterior el descanso laboral correspondiente a las fiestas que coincidan con"
ámbito nacional,Parcialmente encontrado,No,No,Sí,No,"entre semana, siendo, en todo caso, objeto de traslado al lunes inmediatamente posterior el descanso laboral correspondiente a las fiestas ámbito nacional con domingo. las comunidades autónomas, dentro del límite anual de catorce días festivos, podrán señalar"
descanso laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"con domingo. las comunidades autónomas, dentro del límite anual de catorce días festivos, podrán señalar aquellas fiestas que por tradición descanso laboral propias, sustituyendo para ello las de ámbito nacional que se determinen reglamentariamente y, en todo"
comunidades autónomas,Parcialmente encontrado,No,Sí,Sí,No,"festivos, podrán señalar aquellas fiestas que por tradición les sean propias, sustituyendo para ello las de ámbito nacional que se comunidades autónomas y, en todo caso, las que se trasladen a lunes. asimismo, podrán hacer uso de"
límite anual,No encontrado,No,No,No,No,"que por tradición les sean propias, sustituyendo para ello las de ámbito nacional que se determinen reglamentariamente y, en todo límite anual que se trasladen a lunes. asimismo, podrán hacer uso de la facultad de traslado a"
días festivos,Encontrado en glosario,Sí,No,Sí,No,"sean propias, sustituyendo para ello las de ámbito nacional que se determinen reglamentariamente y, en todo caso, las que se días festivos lunes. asimismo, podrán hacer uso de la facultad de traslado a lunes prevista en el"
ámbito nacional,Parcialmente encontrado,No,No,Sí,No,"se trasladen a lunes. asimismo, podrán hacer uso de la facultad de traslado a lunes prevista en el párrafo anterior. ámbito nacional comunidad autónoma no pudiera establecer una de sus fiestas tradicionales por no coincidir con domingo"
lunes prevista,No encontrado,No,No,No,No,"fiestas tradicionales por no coincidir con domingo un suficiente número de fiestas nacionales podrá, en el año que así ocurra, lunes prevista fiesta más, con carácter de recuperable, al máximo de catorce. . la persona trabajadora, previo"
párrafo anterior,No encontrado,No,No,No,No,"coincidir con domingo un suficiente número de fiestas nacionales podrá, en el año que así ocurra, añadir una fiesta más, párrafo anterior de recuperable, al máximo de catorce. . la persona trabajadora, previo aviso y justificación, podrá"
comunidad autónoma,Encontrado en glosario,Sí,Sí,Sí,No,"número de fiestas nacionales podrá, en el año que así ocurra, añadir una fiesta más, con carácter de recuperable, al comunidad autónoma catorce. . la persona trabajadora, previo aviso y justificación, podrá ausentarse del trabajo, con derecho"
