Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"Artículo 14. Periodo periodo de prueba Podrá concertarse por escrito un periodo de prueba, con sujeción a los límites de duración"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"Artículo 14. Periodo de prueba. 1. Podrá concertarse por escrito un periodo de prueba, con periodo de prueba límites de duración que, en su caso, se establezcan en los convenios colectivos. En defecto"
límites de duración,límites,de,duración,límite,duración,límite de duración,No,No,No,No,Sí,No encontrado,"por escrito un periodo de prueba, con sujeción a los límites de duración que, en límites de duración establezcan en los convenios colectivos. En defecto de pacto en convenio, la duración del periodo"
defecto de pacto,defecto,de,pacto,defecto,pacto,defecto de pacto,No,No,Sí,No,No,Parcialmente encontrado,"se establezcan en los convenios colectivos. En defecto de pacto en convenio, la duración del defecto de pacto no podrá exceder de seis meses para los técnicos titulados, ni de dos meses para"
pacto en convenio,pacto,en,convenio,pacto,convenio,pacto en convenio,No,Sí,Sí,No,No,Parcialmente encontrado,"en los convenios colectivos. En defecto de pacto en convenio, la duración del periodo de pacto en convenio exceder de seis meses para los técnicos titulados, ni de dos meses para los demás"
duración del periodo,duración,del,periodo,duración,periodo,duración del periodo,No,No,No,Sí,No,No encontrado,"defecto de pacto en convenio, la duración del periodo de prueba no podrá exceder de duración del periodo los técnicos titulados, ni de dos meses para los demás trabajadores. En las empresas de"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"pacto en convenio, la duración del periodo de prueba no podrá exceder de seis meses periodo de prueba titulados, ni de dos meses para los demás trabajadores. En las empresas de menos de"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,de veinticinco trabajadores el periodo de prueba no podrá exceder de tres meses para los periodo de prueba sean técnicos titulados. En el supuesto de los contratos temporales de duración determinada del artículo
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"el periodo de prueba no podrá exceder de un mes, salvo que se disponga otra periodo de prueba colectivo. El empresario y el trabajador están, respectivamente, obligados a realizar las experiencias que constituyan"
cosa en convenio,cosa,en,convenio,cosa,convenio,cosa en convenio,No,No,Sí,No,No,Parcialmente encontrado,"cosa en convenio colectivo. El empresario y el trabajador están, respectivamente, obligados a realizar las cosa en convenio el objeto de la prueba. Será nulo el pacto que establezca un periodo de prueba"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"haya ya desempeñado las mismas funciones con anterioridad en la empresa, bajo cualquier modalidad de periodo de prueba el periodo de prueba, la persona trabajadora tendrá los derechos y obligaciones correspondientes al puesto"
funciones con anterioridad,funciones,con,anterioridad,función,anterioridad,función con anterioridad,No,No,No,No,No,No encontrado,"bajo cualquier modalidad de contratación. 2. Durante el periodo de prueba, la persona trabajadora tendrá funciones con anterioridad obligaciones correspondientes al puesto de trabajo que desempeñe como si fuera de plantilla, excepto los"
modalidad de contratación,modalidad,de,contratación,modalidad,contratación,modalidad de contratación,No,No,Sí,No,Sí,Parcialmente encontrado,"de prueba, la persona trabajadora tendrá los derechos y obligaciones correspondientes al puesto de trabajo modalidad de contratación si fuera de plantilla, excepto los derivados de la resolución de la relación laboral, que"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"obligaciones correspondientes al puesto de trabajo que desempeñe como si fuera de plantilla, excepto los periodo de prueba resolución de la relación laboral, que podrá producirse a instancia de cualquiera de las partes"
puesto de trabajo,puesto,de,trabajo,puesto,trabajo,puesto de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,"los derivados de la resolución de la relación laboral, que podrá producirse a instancia de puesto de trabajo partes durante su transcurso. La resolución a instancia empresarial será nula en el caso de"
fuera de plantilla,fuera,de,plantilla,fuera,plantilla,fuera de plantilla,No,No,Sí,No,No,Parcialmente encontrado,"relación laboral, que podrá producirse a instancia de cualquiera de las partes durante su transcurso. fuera de plantilla instancia empresarial será nula en el caso de las trabajadoras por razón de embarazo, desde"
resolución a instancia,resolución,a,instancia,resolución,instancia,resolución a instancia,No,Sí,Sí,Sí,No,Parcialmente encontrado,"embarazo, desde la fecha de inicio del embarazo hasta el comienzo del período de suspensión resolución a instancia refiere el artículo 48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo"
trabajadoras por razón,trabajadoras,por,razón,trabajadoras,razón,trabajadoras por razón,No,No,Sí,No,Sí,Parcialmente encontrado,"del período de suspensión a que se refiere el artículo 48.4, o maternidad, salvo que trabajadoras por razón relacionados con el embarazo o maternidad. 3. Transcurrido el periodo de prueba sin que se"
razón de embarazo,razón,de,embarazo,razón,embarazo,razón de embarazo,No,Sí,No,Sí,No,Parcialmente encontrado,"de suspensión a que se refiere el artículo 48.4, o maternidad, salvo que concurran motivos razón de embarazo el embarazo o maternidad. 3. Transcurrido el periodo de prueba sin que se haya producido"
fecha de inicio,fecha,de,inicio,fecha,inicio,fecha de inicio,No,No,No,No,No,No encontrado,"el artículo 48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo o fecha de inicio el periodo de prueba sin que se haya producido el desistimiento, el contrato producirá plenos"
inicio del embarazo,inicio,del,embarazo,inicio,embarazo,inicio del embarazo,No,No,No,No,No,No encontrado,"48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo o maternidad. 3. inicio del embarazo de prueba sin que se haya producido el desistimiento, el contrato producirá plenos efectos, computándose"
comienzo del período,comienzo,del,período,comienzo,período,comienzo del período,No,No,No,No,No,No encontrado,"concurran motivos no relacionados con el embarazo o maternidad. 3. Transcurrido el periodo de prueba comienzo del período haya producido el desistimiento, el contrato producirá plenos efectos, computándose el tiempo de los servicios"
período de suspensión,período,de,suspensión,período,suspensión,período de suspensión,No,No,Sí,No,Sí,Parcialmente encontrado,"no relacionados con el embarazo o maternidad. 3. Transcurrido el periodo de prueba sin que período de suspensión el desistimiento, el contrato producirá plenos efectos, computándose el tiempo de los servicios prestados en"
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,"servicios prestados en la antigüedad de la persona trabajadora en la empresa. Las situaciones de periodo de prueba adopción, guarda con fines de adopción, acogimiento, riesgo durante el embarazo, riesgo durante la lactancia,"
situaciones de incapacidad,situaciones,de,incapacidad,situaciones,incapacidad,situaciones de incapacidad,No,No,Sí,No,No,Parcialmente encontrado,"afecten a la persona trabajadora durante el periodo de prueba, interrumpen el cómputo del mismo situaciones de incapacidad produzca acuerdo entre ambas partes."
fines de adopción,fines,de,adopción,fines,adopción,fines de adopción,No,No,Sí,No,Sí,Parcialmente encontrado,el cómputo del mismo siempre que se produzca acuerdo entre ambas partes. fines de adopción
violencia de género,violencia,de,género,violencia,género,violencia de género,No,No,Sí,No,No,Parcialmente encontrado,violencia de género
periodo de prueba,periodo,de,prueba,periodo,prueba,periodo de prueba,Sí,No,Sí,No,No,Encontrado en glosario,periodo de prueba
