Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
contrato fijo-discontinuo,Parcialmente encontrado,No,Sí,No,No,artículo . contrato fijo-discontinuo . el contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de
tiempo indefinido,No encontrado,No,No,No,No,artículo . contrato fijo-discontinuo. . el contrato por tiempo tiempo indefinido se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas
naturaleza estacional,No encontrado,No,No,No,No,"artículo . contrato fijo-discontinuo. . el contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza naturaleza estacional vinculados a actividades productivas de temporada, o para el desarrollo de aquellos que no tengan"
actividades productivas,Parcialmente encontrado,No,Sí,No,No,"el contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades actividades productivas temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza pero que, siendo"
prestación intermitente,Parcialmente encontrado,No,Sí,No,No,"de temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza pero que, siendo de prestación intermitente, tengan prestación intermitente ejecución ciertos, determinados o indeterminados. el contrato fijo-discontinuo podrá concertarse para el desarrollo de trabajos"
ejecución ciertos,Parcialmente encontrado,No,Sí,No,No,"de aquellos que no tengan dicha naturaleza pero que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o ejecución ciertos contrato fijo-discontinuo podrá concertarse para el desarrollo de trabajos consistentes en la prestación de servicios"
contrato fijo-discontinuo,Parcialmente encontrado,No,Sí,No,No,"que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o indeterminados. el contrato fijo-discontinuo podrá concertarse para el contrato fijo-discontinuo trabajos consistentes en la prestación de servicios en el marco de la ejecución de contratas"
trabajos consistentes,Parcialmente encontrado,No,Sí,No,No,"ejecución ciertos, determinados o indeterminados. el contrato fijo-discontinuo podrá concertarse para el desarrollo de trabajos consistentes en la prestación de trabajos consistentes el marco de la ejecución de contratas mercantiles o administrativas que, siendo previsibles, formen parte"
contratas mercantiles,Parcialmente encontrado,No,Sí,Sí,Sí,"trabajos consistentes en la prestación de servicios en el marco de la ejecución de contratas mercantiles o administrativas que, siendo contratas mercantiles parte de la actividad ordinaria de la empresa. asimismo, podrá celebrarse un contrato fijo-discontinuo entre"
actividad ordinaria,Parcialmente encontrado,No,Sí,Sí,Sí,"de contratas mercantiles o administrativas que, siendo previsibles, formen parte de la actividad ordinaria de la empresa. asimismo, podrá celebrarse actividad ordinaria fijo-discontinuo entre una empresa de trabajo temporal y una persona contratada para ser cedida, en"
contrato fijo-discontinuo,Parcialmente encontrado,No,Sí,No,No,"la actividad ordinaria de la empresa. asimismo, podrá celebrarse un contrato fijo-discontinuo entre una empresa de trabajo temporal y una contrato fijo-discontinuo para ser cedida, en los términos previstos en el artículo . de la ley /,"
trabajo temporal,Parcialmente encontrado,No,Sí,Sí,No,"asimismo, podrá celebrarse un contrato fijo-discontinuo entre una empresa de trabajo temporal y una persona contratada para ser cedida, en trabajo temporal previstos en el artículo . de la ley /, de de junio, por la que"
persona contratada,Parcialmente encontrado,No,Sí,Sí,No,"contrato fijo-discontinuo entre una empresa de trabajo temporal y una persona contratada para ser cedida, en los términos previstos en persona contratada . de la ley /, de de junio, por la que se regulan las empresas"
términos previstos,Parcialmente encontrado,No,Sí,No,No,"y una persona contratada para ser cedida, en los términos previstos en el artículo . de la ley /, de términos previstos por la que se regulan las empresas de trabajo temporal. . el contrato de trabajo"
trabajo temporal,Parcialmente encontrado,No,Sí,Sí,No,"la que se regulan las empresas de trabajo temporal. . el contrato de trabajo fijo-discontinuo, conforme a lo dispuesto en trabajo temporal ., se deberá formalizar necesariamente por escrito y deberá reflejar los elementos esenciales de la"
trabajo fijo-discontinuo,Parcialmente encontrado,No,Sí,No,No,"trabajo temporal. . el contrato de trabajo fijo-discontinuo, conforme a lo dispuesto en el artículo ., se deberá formalizar necesariamente trabajo fijo-discontinuo y deberá reflejar los elementos esenciales de la actividad laboral, entre otros, la duración del"
elementos esenciales,No encontrado,No,No,No,No,"y deberá reflejar los elementos esenciales de la actividad laboral, entre otros, la duración del periodo de actividad, la jornada elementos esenciales distribución horaria, si bien estos últimos podrán figurar con carácter estimado, sin perjuicio de su"
actividad laboral,Parcialmente encontrado,No,Sí,Sí,Sí,"elementos esenciales de la actividad laboral, entre otros, la duración del periodo de actividad, la jornada y su distribución horaria, actividad laboral estos últimos podrán figurar con carácter estimado, sin perjuicio de su concreción en el momento"
distribución horaria,No encontrado,No,No,No,No,"su distribución horaria, si bien estos últimos podrán figurar con carácter estimado, sin perjuicio de su concreción en el momento distribución horaria . mediante convenio colectivo o, en su defecto, acuerdo de empresa, se establecerán los criterios"
carácter estimado,No encontrado,No,No,No,No,"carácter estimado, sin perjuicio de su concreción en el momento del llamamiento. . mediante convenio colectivo o, en su defecto, carácter estimado empresa, se establecerán los criterios objetivos y formales por los que debe regirse el llamamiento"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"o, en su defecto, acuerdo de empresa, se establecerán los criterios objetivos y formales por los que debe regirse el convenio colectivo las personas fijas-discontinuas. en todo caso, el llamamiento deberá realizarse por escrito o por otro"
criterios objetivos,Parcialmente encontrado,No,No,Sí,No,"los que debe regirse el llamamiento de las personas fijas-discontinuas. en todo caso, el llamamiento deberá realizarse por escrito o criterios objetivos medio que permita dejar constancia de la debida notificación a la persona interesada con las"
personas fijas-discontinuas,Parcialmente encontrado,No,Sí,No,No,el llamamiento deberá realizarse por escrito o por otro medio que permita dejar constancia de la debida notificación a la personas fijas-discontinuas con las indicaciones precisas de las condiciones de su incorporación y con una antelación adecuada.
persona interesada,Parcialmente encontrado,No,Sí,Sí,No,"las condiciones de su incorporación y con una antelación adecuada. sin perjuicio de lo anterior, la empresa deberá trasladar a persona interesada legal de las personas trabajadoras, con la suficiente antelación, al inicio de cada año natural,"
indicaciones precisas,No encontrado,No,No,No,No,"incorporación y con una antelación adecuada. sin perjuicio de lo anterior, la empresa deberá trasladar a la representación legal de indicaciones precisas trabajadoras, con la suficiente antelación, al inicio de cada año natural, un calendario con las"
antelación adecuada,No encontrado,No,No,No,No,"la empresa deberá trasladar a la representación legal de las personas trabajadoras, con la suficiente antelación, al inicio de cada antelación adecuada un calendario con las previsiones de llamamiento anual, o, en su caso, semestral, así como"
representación legal,Parcialmente encontrado,No,Sí,Sí,No,"antelación, al inicio de cada año natural, un calendario con las previsiones de llamamiento anual, o, en su caso, semestral, representación legal los datos de las altas efectivas de las personas fijas discontinuas una vez se produzcan."
personas trabajadoras,Parcialmente encontrado,No,Sí,Sí,No,"cada año natural, un calendario con las previsiones de llamamiento anual, o, en su caso, semestral, así como los datos personas trabajadoras altas efectivas de las personas fijas discontinuas una vez se produzcan. las personas fijas-discontinuas podrán"
año natural,Parcialmente encontrado,No,No,Sí,Sí,"en su caso, semestral, así como los datos de las altas efectivas de las personas fijas discontinuas una vez se año natural personas fijas-discontinuas podrán ejercer las acciones que procedan en caso de incumplimientos relacionados con el"
llamamiento anual,No encontrado,No,No,No,No,"las altas efectivas de las personas fijas discontinuas una vez se produzcan. las personas fijas-discontinuas podrán ejercer las acciones que llamamiento anual caso de incumplimientos relacionados con el llamamiento, iniciándose el plazo para ello desde el momento"
personas fijas,Parcialmente encontrado,No,Sí,No,No,"en caso de incumplimientos relacionados con el llamamiento, iniciándose el plazo para ello desde el momento de la falta de personas fijas desde el momento en que la conociesen. . cuando la contratación fija-discontinua se justifique por"
personas fijas-discontinuas,Parcialmente encontrado,No,Sí,No,No,"el plazo para ello desde el momento de la falta de este o desde el momento en que la conociesen. personas fijas-discontinuas la contratación fija-discontinua se justifique por la celebración de contratas, subcontratas o con motivo de"
incumplimientos relacionados,Parcialmente encontrado,No,Sí,No,No,"este o desde el momento en que la conociesen. . cuando la contratación fija-discontinua se justifique por la celebración de incumplimientos relacionados o con motivo de concesiones administrativas en los términos de este artículo, los periodos de"
