Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
contrato por tiempo,contrato,por,tiempo,contrato,tiempo,contrato por tiempo,No,Sí,No,No,No,Parcialmente encontrado,"Artículo 16. Contrato fijo-discontinuo. 1. El contrato por tiempo indefinido contrato por tiempo para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas de temporada,"
realización de trabajos,realización,de,trabajos,realización,trabajo,realización de trabajo,No,No,Sí,Sí,No,Parcialmente encontrado,"1. El contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de realización de trabajos vinculados a actividades productivas de temporada, o para el desarrollo de aquellos que no tengan"
trabajos de naturaleza,trabajos,de,naturaleza,trabajo,naturaleza,trabajo de naturaleza,No,Sí,No,No,No,Parcialmente encontrado,"contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional trabajos de naturaleza actividades productivas de temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza"
periodos de ejecución,periodos,de,ejecución,periodos,ejecución,periodos de ejecución,No,No,Sí,No,Sí,Parcialmente encontrado,"naturaleza pero que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o indeterminados. periodos de ejecución podrá concertarse para el desarrollo de trabajos consistentes en la prestación de servicios en el"
desarrollo de trabajos,desarrollo,de,trabajos,desarrollo,trabajos,desarrollo de trabajos,No,Sí,No,No,No,Parcialmente encontrado,"fijo-discontinuo podrá concertarse para el desarrollo de trabajos consistentes en la prestación de servicios en desarrollo de trabajos la ejecución de contratas mercantiles o administrativas que, siendo previsibles, formen parte de la actividad"
prestación de servicios,prestación,de,servicios,prestación,servicios,prestación de servicios,Sí,Sí,No,Sí,No,Encontrado en glosario,"de trabajos consistentes en la prestación de servicios en el marco de la ejecución de prestación de servicios administrativas que, siendo previsibles, formen parte de la actividad ordinaria de la empresa. Asimismo, podrá"
ejecución de contratas,ejecución,de,contratas,ejecución,contratas,ejecución de contratas,No,Sí,No,Sí,No,Parcialmente encontrado,"en el marco de la ejecución de contratas mercantiles o administrativas que, siendo previsibles, formen ejecución de contratas actividad ordinaria de la empresa. Asimismo, podrá celebrarse un contrato fijo-discontinuo entre una empresa de"
empresa de trabajo,empresa,de,trabajo,empresa,trabajo,empresa de trabajo,No,Sí,Sí,No,No,Parcialmente encontrado,"empresa de trabajo temporal y una persona contratada para ser cedida, en los términos previstos empresa de trabajo 10.3 de la Ley 14/1994, de 1 de junio, por la que se regulan las"
empresas de trabajo,empresas,de,trabajo,empresas,trabajo,empresas de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"temporal. 2. El contrato de trabajo fijo-discontinuo, conforme a lo dispuesto en el artículo 8.2, empresas de trabajo necesariamente por escrito y deberá reflejar los elementos esenciales de la actividad laboral, entre otros,"
contrato de trabajo,contrato,de,trabajo,contrato,trabajo,contrato de trabajo,Sí,Sí,Sí,No,No,Encontrado en glosario,"lo dispuesto en el artículo 8.2, se deberá formalizar necesariamente por escrito y deberá reflejar contrato de trabajo de la actividad laboral, entre otros, la duración del periodo de actividad, la jornada y"
